AuthorID,Author,Date,Content,Attachments,Reactions
"169786952432746498","mithro_","2026-04-01T00:41:11.2290000+00:00","","","❤️ (2)"
"169786952432746498","mithro_","2026-04-04T00:53:26.8420000+00:00","Good news @everyone, April has started with a few very productive days for wafer.space!

GF has finished manufacturing the Run #1 wafers and they should be with the dicing house on Monday. Will keep you informed as that progresses.

I gave a talk at Hackware here in Singapore and the slides for the talk can be found at https://wafer.space/hw26 with the recording available @ https://www.youtube.com/watch?v=t6Z0_Krhshc

@Andrew Wingate has also arrived safely in Singapore to supervise the die sorting machine and he will be posting updates to the #die-sorter channel as things progress.

Thanks to help from @stuart, progress has also been made on getting the #cob packaging moving forward.","","❤️ (15),🥳 (5),🎉 (3),🚀 (4),🏭 (2),waferspace (4),🥇 (3),👍 (1)"
"169786952432746498","mithro_","2026-04-15T06:39:46.8420000+00:00","Hi @everyone!  

A couple of updates for Run #1:
 * We received the first 5 diced wafers last Friday and @Andrew Wingate is currently working on sorting the die. It is likely that the first round of packages will ship early next week.
 * The remaining 15 diced wafers will be delivered on this Friday.
 * Early parts of the chip on board packaging effort will hopefully start late next week.
 * Most people will receive multiple shipments with different items in them.
 * Hoping to have an Crowd Supply update with pictures and such in the next day or two.

The early bird pricing for Run #2 also **only has ~2 weeks left.** If you want to get the discounted price, you should **order as soon as possible** as things like credit card delays may mean your payment doesn't clear by the deadline.

Please reach out if you have any questions, concerns, or thoughts!","2026-04_media/wafer-space-run1-logo-on-silicon-7ABE7.png,2026-04_media/wafer-space-run1-reticle-BCAA2.png,2026-04_media/wafer-space-run1-wafer-9FAB8.png","❤️ (23),waferspace (11),🎉 (8),🔥 (8),💯 (5)"
"1125806083605287005","the_yasep","2026-04-15T15:09:54.7740000+00:00","Congratulations !!!","",""
"1125806083605287005","the_yasep","2026-04-15T15:11:29.3740000+00:00","What's the wafer diameter btw ?","",""
"492702620759228416","mattvenn","2026-04-15T15:18:53.9810000+00:00","300mm","","😮 (1),😲 (1)"
"169786952432746498","mithro_","2026-04-18T01:35:31.6720000+00:00","Actually 200mm wafers here.","","😮 (2)"
"492702620759228416","mattvenn","2026-04-18T05:28:48.6390000+00:00","Whoops","","🤭 (1)"
"169786952432746498","mithro_","2026-04-21T04:50:46.0390000+00:00","@everyone - Quick update from Run #1

Everyone on Run #1 should have gotten a FedEx shipment notification. 

These are the bare die from the first wafer that was used for testing the sorting process and definitely not handled delicately. We have marked them as ""for display purposes"". 

To help promote Run #2, please share photos and anything else!

I also fly to China late tonight to start work on the chip on board packaging stuff with @stuart","","waferspace (13),🎉 (16),🕺 (1),👍 (2),❤️ (1)"
"169786952432746498","mithro_","2026-04-23T14:14:17.0170000+00:00","@everyone - Another quick update from Run #1 

I'm getting a lot of notifications that the first round of packages from the run are being delivered. It would be great if people could confirm that they have received them. It's our first time doing international shipments of this type and I'd like to hear about any issues or problems that occurred.

These are just some initial bare die from the first wafer that we were doing a lot of testing with. The first test batch of chip-on-board packaged parts will likely go out late tomorrow (it will be  abit longer for people who have non-1x1 parts and custom PCBs but we are working on it). The final shipments which include larger batches of bare die suitable for your own wire bonding and hopefully higher reliability chip-on-board packaged parts and are likely to go out sometime the first week of May.

If everyone could all do me a favor and share photos, excitement and other details about your projects on social media and help promote the second run that is currently open at https://buy.wafer.space, it would be greatly appreciated! 

Tiny Tapeout also has an open shuttle targeting the second run for those who are just starting out too.","","waferspace (11),👍 (7),🔥 (2)"
"169786952432746498","mithro_","2026-04-23T14:30:49.8840000+00:00","","","👍 (7),🤣 (1),waferspace (3)"
"169786952432746498","mithro_","2026-04-26T01:29:09.5030000+00:00","@everyone - Just another quick update!

The first round of chip on board packages went out yesterday (only 1x1 parts using the standard cob PCB layout). These packages have ~25 of people's die mounted on the PCBs. This was our first attempt at doing this workflow and here are a bunch of things we are working to improve before we do bigger runs.

**Could everyone confirm when they have received their packages and try to test them as soon as possible?** It would be good to first confirm you got the expected die - I forgot to do a visual inspection of that before shipping.

From our tests with the Tiny Tapeout die, we had ~20% of the packaged die fail testing, ***likely*** to bond wire lifting off pads.  We have a bunch of pending changes which we hopefully will reduce that to something more like 5% or 1%. 

This version of the PCB also has a small error which caused the `PWR_AUX_1` trace not to be connected to the header.

We will probably be working on the non-1x1 die and custom PCB layout stuff this week.","2026-04_media/tiny-tapeout-cob-1C2F0.png,2026-04_media/tiny-tapeout-pre-epoxy-testing-71D86.png,2026-04_media/missing-pwr-aux-trace-AE1C4.png","😲 (4),❤️ (5),waferspace (3)"
"252198343764213760","dnaltews","2026-04-26T02:50:46.0680000+00:00","it'd be really cool if these updates landed on the wafer.space website in blogpost form one could point people at more easily than discord posts (when time permits, obviously, clearly you folks are busy)","","👍 (1)"
"169786952432746498","mithro_","2026-04-26T02:58:52.1050000+00:00","I would love to find someone to (potentially pay) to help do that and also post to Crowd Supply, LinkedIn, and such. I have a WIP @ https://github.com/wafer-space/wafer-space.github.io/pull/82 but keep getting distracted. I'm also terrible at marketing them as well","","👍 (2)"
