AuthorID,Author,Date,Content,Attachments,Reactions
"169786952432746498","mithro_","2026-02-15T03:07:00.7060000+00:00","@carlfk - I'm going to rework my home network so that the fpgas and IPs stay at 10.31.X.X rather than having to move to 10.41.X.X which should reduce the curn in the pici ansible","",""
"443147704126668801","carlfk","2026-02-15T03:08:08.3840000+00:00","im still curious what you are trying to do","",""
"169786952432746498","mithro_","2026-02-15T03:08:59.7880000+00:00","Oh, wait it looks like pici uses 10.21.X.X ?","",""
"443147704126668801","carlfk","2026-02-15T03:10:49.6560000+00:00","correct","",""
"169786952432746498","mithro_","2026-02-15T03:14:18.6030000+00:00","I'm trying to fit an ""isolated network"" of the fpgas.online hardware into my home network which is also trying isolate the supermicro BMC/coreboot hardware, the IoT network, the guest network and such. The goal is to prevent accidental exposure of my servers to devices which random people can connect too.","",""
"443147704126668801","carlfk","2026-02-15T03:16:25.1680000+00:00","the PIs and everyting else on the same PoE switch?","",""
"169786952432746498","mithro_","2026-02-15T03:17:27.2320000+00:00","Internet --> ten64.welland.mithis.com (gateway machine) --> Random networking hardware --> tweed --> PoE switch --> RPis","",""
"169786952432746498","mithro_","2026-02-15T03:17:50.4260000+00:00","@carlfk - And unlike in the US, I only have one public static IPv4 address rather than a small number of them.","",""
"443147704126668801","carlfk","2026-02-15T03:20:11.8610000+00:00","I suspect it will be easier to put tweed in place of ten64","",""
"443147704126668801","carlfk","2026-02-15T03:22:12.9060000+00:00","but if you have figured out how to tunnel to tweed, good.","",""
"169786952432746498","mithro_","2026-02-15T03:25:25.8710000+00:00","@carlfk - I can't do that because I need ten64 for my home network. As I said, unlike in Sunnyvale where I could give tweed a public IPv4 address I can't do that here.","",""
"169786952432746498","mithro_","2026-02-15T03:26:14.8170000+00:00","I also have the problem that tweed and the fpgas are a *long* way away from the internet ingress point, so there is a bunch of networking equipment between the gateway and tweed.","",""
"443147704126668801","carlfk","2026-02-15T03:30:01.2590000+00:00","long = too long for a run of cat5?","",""
"443147704126668801","carlfk","2026-02-15T03:30:34.3410000+00:00","im not really sure what the real limit is","",""
"443147704126668801","carlfk","2026-02-15T03:31:50.4370000+00:00","is outgoing byte count something to wory about?","",""
"443147704126668801","carlfk","2026-02-15T03:32:22.2330000+00:00","the home page of videos are not scaled server side - I send the full res and the player is shurnk","",""
"169786952432746498","mithro_","2026-02-15T03:57:56.6670000+00:00","The site has 1Gbs down / 100Mbit up","",""
"169786952432746498","mithro_","2026-02-15T03:58:22.1600000+00:00","I think a cat6 cable might just reach but it'll be a while before I can run that cable.","",""
