AuthorID,Author,Date,Content,Attachments,Reactions
"220639106915368960","tholin","2025-08-01T11:11:59.4730000+00:00","I know there was someone who was yearning for a transmission gate in the 5V 7-track SCL. Well, I made it in both _1 and _2 variants. I’m not sure how to characterize these, though. lctime can’t do it.","2025-08_media/image-754CB.png,2025-08_media/image-1BB3A.png","👍 (2)"
"220639106915368960","tholin","2025-08-01T11:13:46.2040000+00:00","I can characterize the delays from A -> Y when the EN = 1, ENB = 0. But I cannot characterize the turn on/off delays when switching the enables. So they’re treated like regular buffers by STA.","",""
"220639106915368960","tholin","2025-08-01T11:14:23.5430000+00:00","I can also make a version with the inverter to generate ENB built-in, but I believe the idea is that multiple of these can share one inverter.","",""
"220639106915368960","tholin","2025-08-01T11:16:33.1800000+00:00","I know a multi-bit flip-flop was also a thing that people wanted, so I may do that next.","",""
"220639106915368960","tholin","2025-08-01T11:20:03.6020000+00:00","I know a 8-to-1 mux was also on the list of desired standard cells. But that one is gonna take some doing. That’s a lot of logic.","",""
"220639106915368960","tholin","2025-08-07T14:36:07.2220000+00:00","Do we know what actually happens when a 3.3V FET is pushed into punch-through?","",""
"220639106915368960","tholin","2025-08-07T14:36:12.5610000+00:00","What kinda currents are to be expected?","",""
"220639106915368960","tholin","2025-08-07T14:36:23.4690000+00:00","Unfortunately, its not included in the SPICE models.","",""
"323371864074485771","mole99","2025-08-10T11:12:47.7250000+00:00","I don't think so, at least not on GF180MCU.
I assume that this is often not modeled since you are outside the safe operating range.","",""
"323371864074485771","mole99","2025-08-10T11:13:05.6270000+00:00","By the way, here are a some nice I/O cell symbols for IHP as inspiration: https://github.com/IHP-GmbH/IHP-Open-PDK/pull/630","",""
"220639106915368960","tholin","2025-08-10T11:24:39.7310000+00:00","I also see we don't have a IO pad cell that can switch between analog and digital IO. I wonder how difficult that would be to do.","",""
"220639106915368960","tholin","2025-08-10T11:25:46.4040000+00:00","The naive approach I feel like taking is it to take the existing digital bi-directional IO cell and cramming a transmission gate in there somewhere to switch an analog signal.","",""
"220639106915368960","tholin","2025-08-10T11:26:08.3330000+00:00","The digital output can already be fully disabled, of course.","",""
