AuthorID,Author,Date,Content,Attachments,Reactions
"596068704471482370","246tnt","2025-12-08T11:38:11.7580000+00:00","@Egor Lukyanchenko Yup works perfectly and matches the hacked up klayout version. Runtime is basically the same too.","","👍 (1)"
"709384666909507634","egorxe","2025-12-08T11:39:25.3330000+00:00","You should probably close the KLayout issue :).","",""
"596068704471482370","246tnt","2025-12-08T11:40:17.7150000+00:00","I was just doing that right after posting the above 😁","",""
"596068704471482370","246tnt","2025-12-08T11:55:09.8010000+00:00","@Tholin Well it shouldn't happen, so it's definitely a bug, but I'd obviously need way more details to know what's going on 😅","",""
"220639106915368960","tholin","2025-12-08T11:56:13.2310000+00:00","Unfortunately, I already deleted the files","",""
"220639106915368960","tholin","2025-12-08T11:56:36.8960000+00:00","But I remember the DRC errors were in the power grid","",""
"220639106915368960","tholin","2025-12-08T11:57:21.7460000+00:00","Two parallel, vertical straps on Metal4 were interrupted by a macro and generated Metal3 rects at the end, going to nowhere. And those were too close together.","",""
"220639106915368960","tholin","2025-12-08T11:57:25.8190000+00:00","No idea what was going on there.","",""
"596068704471482370","246tnt","2025-12-08T12:01:13.1740000+00:00","Oh ... mm, yeah, the template pdn is quite custom, maybe there is some config there messing things up.","",""
"596068704471482370","246tnt","2025-12-08T12:01:38.4920000+00:00","But in any case, you should just retry with the new antenna check and see how things turn out now.","",""
"596068704471482370","246tnt","2025-12-08T12:02:10.6720000+00:00","(Either pull it in manually or wait for it to be merged)","",""
"1401841055975870476","scafir","2025-12-08T12:15:15.7870000+00:00","Seems like the last update of the pdk causes some false positive on space to wide rules on klayout","",""
"1401841055975870476","scafir","2025-12-08T12:15:33.4630000+00:00","","general_media/space_to_wide_false_positive-36A67.gds",""
"1401841055975870476","scafir","2025-12-08T12:16:01.9130000+00:00","Is it me misunderstanding the rules or an actual error of the pdk?","",""
"596068704471482370","246tnt","2025-12-08T12:19:21.3270000+00:00","Definitely looks like a false positive to me","",""
"1401841055975870476","scafir","2025-12-08T12:32:44.5130000+00:00","Seems like ""without_touching_edges"" should be enabled at the separation check. I'll make a PR.","",""
