AuthorID,Author,Date,Content,Attachments,Reactions
"169786952432746498","mithro_","2025-09-04T21:56:58.9850000+00:00","* ""It has never been easier to design your own silicon chip and now you can get 1,000 parts manufactured for just $7k USD.""
* ""It has never been easier to design your own silicon chip and now we will manufactured 1,000 parts for just $7k USD.""
 * ""It has never been easier to design your own silicon chip and now wafer.space provides low cost manufacturing.""","",""
"169786952432746498","mithro_","2025-09-04T21:57:28.0630000+00:00","It has never been easier to design your own integrated circuit. What’s missing is an affordable, straightforward path to real silicon that yields enough parts to build real products. For US$7,000, wafer.space delivers 1,000 raw dies so you can prototype, test, and ship.","",""
"169786952432746498","mithro_","2025-09-05T19:19:55.1950000+00:00","If anyone has time, I'd love your thoughts on the content @ https://docs.google.com/document/d/19QPzdnAufjkO7qodL7bISBagTFwljFhvuoXiNcOIue8/edit?tab=t.0","",""
"323371864074485771","mole99","2025-09-06T08:32:28.7470000+00:00","One correction: GF180MCU (all caps) is the process, and gf180mcu is the open PDK

In the table maybe mention that Tiny Tapeout also offers other processes such as IHP SG13CMOS and SKY130?

How do you distribute full wafers if they contain proprietary designs? Or is that not a problem, since in the real world you could also simply decap a chip and reverse engineer it?

Otherwise, looks good! And ~1,000 bare dies are a nice unique selling point.","",""
"323371864074485771","mole99","2025-09-06T08:38:27.9170000+00:00","And one more thing: you mention top metal as if it were a separate layer, but in reality it is just a synonym for Metal5.","",""
"732347216412278825","urish","2025-09-06T08:38:58.0430000+00:00","IIRC it's also possible to mask out other designs from the water","",""
"732347216412278825","urish","2025-09-06T08:39:03.0630000+00:00","Wafer","",""
"732347216412278825","urish","2025-09-06T08:39:17.0610000+00:00","By paying some extra cost","",""
"169786952432746498","mithro_","2025-09-07T17:11:29.6190000+00:00","Basically, when people submit their designs they give me a license which allows me to share the wafers.","",""
"169786952432746498","mithro_","2025-09-10T23:19:18.5200000+00:00","I'd appreciate a copy-edit / suggestions on this notification email @ https://docs.google.com/document/d/1affLsGwvacdDOMPoBHibUlYm_ahU9vR2SBFj8qHtvH8/edit?tab=t.0","",""
"169786952432746498","mithro_","2025-09-30T01:11:38.3920000+00:00","Hackster.io has a post about wafer.space -- https://www.hackster.io/news/wafer-space-delivers-1-000-chips-of-your-own-design-starting-at-just-7-each-75bbf49fd8b0","","blobclap (2),👀 (1)"
