AuthorID,Author,Date,Content,Attachments,Reactions
"169786952432746498","mithro_","2026-02-05T04:33:29.5530000+00:00","https://crackhead.technology/anjoy-ssc338q-libtools/","",""
"492702620759228416","mattvenn","2026-02-05T19:04:23.5330000+00:00","What a domain name😆","","😆 (1)"
"492702620759228416","mattvenn","2026-02-09T16:09:28.1600000+00:00","Posted a fun thread on twitter about a recent FIB experiment I did with Zeptobars - https://x.com/matthewvenn/status/2020521149713600550","","❤️ (1)"
"732347216412278825","urish","2026-02-18T06:24:36.0560000+00:00","Tim, what's your fav animal?","",""
"214124211034259457","q3k_","2026-02-22T01:04:44.6740000+00:00","Hey there! Hope this is the right place to ask, got directed here by Matt. I threw an efabless OpenMPW GF180 die under the SEM today (not sure which shuttle this was, I was gifted this by a friend who wanted to get some SEM shots of it). Did not do any prep to the die other than cleaning, expected to see the topmost metal layer across whatever passivation later might be on top, same as with the SKY130 dies from an earlier OpenMPW run. However, the die was fully opaque to BSE and only very light contours of... CMP pads? Maybe PDN? were visible with SE imaging. Even at 30kV! Is this just that GF180 has one damn thick passivation layer on top, or am I missing something?

First photo is SE, second is BSE.

(The bright thing in the bottom left corner is copper tape for better sample conductivity. I cannot promise that this is standard procedure for sample prep. The bubbly thing to the right is conductive double-sided tape.)","2026-02_media/SE22.TIF-19B49.png,2026-02_media/BSE22.TIF-B2D05.png",""
"169786952432746498","mithro_","2026-02-22T02:13:17.2400000+00:00","@q3k - Cool! I would love more GF180MCU photos and such","",""
"169786952432746498","mithro_","2026-02-22T02:14:06.9330000+00:00","@q3k - Maybe look at the stack up diagrams? See https://gf180mcu-pdk.readthedocs.io/en/latest/analog/layout/inter_specs/inter_specs_3.html @Tim Edwards might know more.","",""
"1365118310701600900","rtimothyedwards_19428","2026-02-22T02:31:07.9260000+00:00","That's definitely Caravel;  I can identify the major blocks.  Where the layout is visible, it looks like the darker lines are the power distribution network;  The horizonal lines would be top level metal, and the vertical lines are the metal under that.  Not much else is visible.  As to what kind of passivation is on top of the chip, I really don't know.  I would not expect anything unusual.","2026-02_media/caravel_gf_sem-6BC34.png",""
"413903406588100618","zeptobars","2026-02-22T09:31:40.7390000+00:00","As we just discussed with Matt - this is likely top polyimide passivation layer, which is likely present on GF180.","",""
"413903406588100618","zeptobars","2026-02-22T09:34:05.0570000+00:00","Polyimide is all light elements, so weak back-scattered signal.","","👍 (1)"
