AuthorID,Author,Date,Content,Attachments,Reactions
"684463118709162093","chaask","2026-03-25T14:40:10.0130000+00:00","Does the wafer.space GF180 PDK have a Virtuoso compatible version. I am trying to do some analog design work, and i am comfortable inside Virtuoso. So just wondering, if we have that option.","",""
"376976238528692225","nmz787","2026-03-25T17:09:15.1940000+00:00","I haven't seen any","",""
"376976238528692225","nmz787","2026-03-25T17:09:25.2600000+00:00","the only DRC seems to be klayout","",""
"596068704471482370","246tnt","2026-03-25T17:29:47.3270000+00:00","Wouldn't that be distributed by Cadence directly ?","",""
"596068704471482370","246tnt","2026-03-25T17:30:11.8660000+00:00","I know for sky130 open pdk, Cadence is the one ditributing the matching PDK.","",""
"596068704471482370","246tnt","2026-03-25T17:30:25.2090000+00:00","It's still subject to NDA and such so no-one else can distribute it ...","",""
"684463118709162093","chaask","2026-03-25T19:37:31.9140000+00:00","I dont think cadence version is opensource. but generally mpw vendors or the foundry supply the closed source pdk under nda. is that possible with us.","",""
"684463118709162093","chaask","2026-03-25T19:38:49.9740000+00:00","will our mpw partner also be able do that @Tim 'mithro' Ansell .","",""
"169786952432746498","mithro_","2026-03-25T19:43:34.0820000+00:00","wafer.space doesn't care how you create the GDS but we don't supply access to any proprietary PDKs.

Your GDS also needs to be 100% clean by the wafer.space platform, not whatever the cadence or any proprietary PDK says. 

Wafer.space also does not support waivers from customers.","",""
"169786952432746498","mithro_","2026-03-25T19:46:19.7080000+00:00","Some people have access to a mostly compatible Cadence PDK through agreements with other entities and have successfully taped out.

As well, GF will *not* respond to requests for the PDK without other relationships with them already.","",""
"684463118709162093","chaask","2026-03-25T19:46:54.2090000+00:00","thanks tim.","",""
"169786952432746498","mithro_","2026-03-25T19:47:27.9170000+00:00","I'm unclear if Cadence tooling is able to load the open source file formats. They are old enough / simple enough they might work with a bit of work.","",""
"169786952432746498","mithro_","2026-03-25T19:49:39.0860000+00:00","Btw wafer.space also doesn't provide any direct support for tooling - open or closed.

If you need technical help in creating designs (with whatever tooling), the design help page has a number of companies willing to provide paid support services.","","👍 (1)"
"376976238528692225","nmz787","2026-03-25T20:48:43.0330000+00:00","my experience also is that the foundry provides the PDK, with support for any tools they expect users will want. I have never heard of tool vendors supplying a foundry PDK component","",""
"376976238528692225","nmz787","2026-03-25T20:49:35.3550000+00:00","for something like DRC, I don't think this is possible without some translator which surely Cadence/Synopsys isn't making for working with klayout","",""
"376976238528692225","nmz787","2026-03-25T20:49:53.3640000+00:00","OASIS and GDS are industry standards, so of course closed-source tools support them","",""
"376976238528692225","nmz787","2026-03-25T20:50:46.9970000+00:00","APR techfiles are mostly ASCII with grid definitions (pitches, CDs, spaces) so a translator is likely easier to code (I suppose even for AI)","",""
