AuthorID,Author,Date,Content,Attachments,Reactions
"270286460668739587","meinhard","2026-02-09T08:43:39.0290000+00:00","Hi, I‘m about to start preparing a PCB 🙂 What is the recommended way to include your chip-on-board-wire-bonded-pcb in a KiCAD project to have the labeled symbol in the schematic and your designed footprint as a placeholder in the layout? While I can open/edit your project, I’m in question on how to include it properly.","",""
"169786952432746498","mithro_","2026-02-10T05:57:45.9260000+00:00","@Andrew Wingate - You seem to have ideas / opinions on this.","",""
"169786952432746498","mithro_","2026-02-10T05:58:09.8970000+00:00","@Meinhard Kissich - I believe you should probably ask in the #cob channel and look at the information there.","",""
"756011607603019777","anfroholic","2026-02-10T06:05:29.9000000+00:00","Thanks @Tim 'mithro' Ansell 

Hey @Meinhard Kissich 
Looking at this, theres a lot of work I need to do to make this more accessible. 
In https://github.com/wafer-space/chip-on-board-wire-bonded-pcbs/tree/main/scratch/motherboards/motherboards you can see a couple simple examples. 

See them in [kicanvas](https://kicanvas.org/?repo=https%3A%2F%2Fgithub.com%2Fwafer-space%2Fchip-on-board-wire-bonded-pcbs%2Ftree%2Fmain%2Fscratch%2Fmotherboards%2Fmotherboards)

Kicad's symbol sharing is beyond atrocious. I recommend just opening the file and saving the symbols to your library however you see fit. And if you don't care about adding to your library, you can just copy/paste or whatever else suits you. 
The default pads just pass the pad number from the default template, and are also aliased to Tiny Tapeouts pin conventions as well. 

Hope that helps","",""
"756011607603019777","anfroholic","2026-02-10T06:06:55.4870000+00:00","@Tim 'mithro' Ansell It would be super cool if there was a way Kicanvas could post a view of the board in the preview like the other link above.","",""
"169786952432746498","mithro_","2026-02-10T06:09:20.1010000+00:00","@Andrew Wingate - Maybe ask an AI if it can make that happen? 😛","","😂 (1)"
"756011607603019777","anfroholic","2026-02-10T06:09:54.3860000+00:00","I don't have enough tokens","",""
"270286460668739587","meinhard","2026-02-10T07:06:17.2520000+00:00","Great, thanks for the support 🙂","",""
"270286460668739587","meinhard","2026-02-25T16:58:28.8500000+00:00","@Andrew Wingate After some refinement I'm quite happy with my board now. The Chip-on-Board repo mentions _WiP_. Should I wait for sending the board to manufacturing or is the Mezzanine connector pinout (i.e., [1]) already settled?

[1] https://github.com/wafer-space/chip-on-board-wire-bonded-pcbs/tree/main/74pad-70pin-mezzanine","",""
"169786952432746498","mithro_","2026-02-25T21:31:59.7040000+00:00","@Meinhard Kissich - Depends on how much your board costs and how much you care about if you have to do a respin.","","👍 (1)"
"270286460668739587","meinhard","2026-02-26T07:21:17.7790000+00:00","Okay 🙂","",""
"323371864074485771","mole99","2026-02-27T07:32:56.9940000+00:00","@Andrew Wingate Could you comment on whether the pinout of the CoB board is stable?
I believe at least Hirosh's and Meinhard's PCBs already depend on it.","",""
"756011607603019777","anfroholic","2026-02-27T07:35:01.0860000+00:00","Yeah, I've already said this to @asic destroyer and others I believe. 
@Meinhard Kissich we should not be having any changes to the COB for at least this run. 
What we have should be considered stable and we will discuss further improvements possibly for run #2","","💜 (4)"
