AuthorID,Author,Date,Content,Attachments,Reactions
"1413605821430104114","xintingjiang_36756","2025-11-21T19:40:43.1100000+00:00","When I run the DRC check using the provided GF180 project template in the Nix shell enviornment (with only the pad rings included) encountered about 104 errors. One example is shown in the attached image. I wanted to confirm whether we are expected to debug these errors ourselves, or if they may be related to the provided pad-ring macros.

Thanks!","2025-11_media/image-7DAE6.png",""
"169786952432746498","mithro_","2025-11-21T23:56:00.6390000+00:00","@Leo Moser (mole99)","",""
"323371864074485771","mole99","2025-11-22T07:16:51.7660000+00:00","@Evansika That looks like an error I had already fixed. Could you please verify that your PDK is up to date?","",""
"1413605821430104114","xintingjiang_36756","2025-11-22T16:00:52.0980000+00:00","Yes, it passed when i updated the pdk. Thanks!","","👍 (1)"
"1413605821430104114","xintingjiang_36756","2025-11-24T03:40:01.6220000+00:00","Oh i found that i still got 11 antenna violations with the empty template with pad frame. Are these critical?","2025-11_media/image-2E7D8.png",""
"323371864074485771","mole99","2025-11-24T07:34:31.8020000+00:00","@Evansika Did you update your template repo as well?
The antenna violations in the default template have been fixed with this PR: https://github.com/wafer-space/gf180mcu-project-template/pull/24","",""
"1413605821430104114","xintingjiang_36756","2025-11-24T20:06:08.6140000+00:00","Thanks for the heads up. Now I update the template as well as the pdk repo. But now I am encountering the following DRC issues(LVS and antenna errors are clean). I am running on my M4 MAC in the nix environment, when I launch the nix shell, there were 2 skip and 1 fail see attached, I am not sure if this has something to do with the drc errors.","2025-11_media/image-F9244.png,2025-11_media/get_attachment_url-ADECE.png",""
"803213471402688522","_luke_w_","2025-11-24T22:18:03.6580000+00:00","I also get magic/klayout XORs on my macbook but not on my Linux desktop","",""
"803213471402688522","_luke_w_","2025-11-24T22:18:59.5530000+00:00","for now just working around it by using the Linux machine when I care about DRC.  Is that an option for you OP?","",""
"803213471402688522","_luke_w_","2025-11-24T22:19:56.2310000+00:00","Also all of the magic DRCs I get are just complaints about filler cells being placed on top of themselves. As far as I'm aware this is harmless and other people have reported it too.","",""
"1413605821430104114","xintingjiang_36756","2025-11-25T03:23:47.3330000+00:00","yes it works on linux. We will run on Linux when it comes to drc. Thanks!","",""
"323371864074485771","mole99","2025-11-25T08:09:42.6660000+00:00","The difference between macOS and Linux is unexpected and strange.
But then again, we're running LibreLane `dev` with updated OpenROAD, so some issues might be expected.

@Evansika Could you open an issue in [gf180mcu-project-template](https://github.com/wafer-space/gf180mcu-project-template) so we can keep track of this?","","👍 (1)"
