AuthorID,Author,Date,Content,Attachments,Reactions
"1365118310701600900","rtimothyedwards_19428","2026-06-08T00:38:25.3340000+00:00","@namibj :  Well, I finally clawed my way back up out of that rabbit hole. . .  I am now on magic version 8.3.660, and I am happy to say that this version extracted a correct (as far as I can tell) R-C netlist of the `tinyqv_quarter_label_edited_01.gds` full chip layout.  Complete extraction took exactly 30 minutes on my desktop.","","ferrisCatOwO (1)"
"262706220073222144","namibj","2026-06-08T00:40:26.4570000+00:00","[Yeah extracting power parasitics out of the spice let's Xyce do singleton elimination on the matrix; apparently it's a trick where some node voltages can be calculated directly from fixed inputs instead of having to be iteratively solved for.]
(Somehow this was stuck in discord's edit buffer.)","",""
"262706220073222144","namibj","2026-06-08T00:43:23.9480000+00:00","I assume any sort of (mutual) inductance extraction isn't planned to become part of this toolkit?","",""
"1365118310701600900","rtimothyedwards_19428","2026-06-08T00:44:01.7400000+00:00","Not now, at any rate.","",""
"262706220073222144","namibj","2026-06-08T00:44:18.1290000+00:00","And what about thermal extraction to the spice?","",""
"1365118310701600900","rtimothyedwards_19428","2026-06-08T00:45:04.2360000+00:00","There is an open source tool that does thermal modeling;  I've forgotten where it is but I can look it up.","",""
"262706220073222144","namibj","2026-06-08T00:47:14.7710000+00:00","Not this week for me, for as I have to draw and a bit of tune and somewhat characterize a couple CML gates mostly just praying I can't fry the die with appropriate care in e.g. duty cycling.","",""
"262706220073222144","namibj","2026-06-08T00:48:53.9810000+00:00","I've asked because spice does tend to support inclusion of lumped network thermal modeling.","",""
"1365118310701600900","rtimothyedwards_19428","2026-06-08T00:53:35.0140000+00:00","First I need to rework the parasitic capacitances so that the coupling caps get properly redistributed along the resistor networks, instead of being redirected to the substrate as they are now.  Redirecting to the substrate preserves the signal propagation delay characteristics but eliminates all the cross-talk.","",""
"1365118310701600900","rtimothyedwards_19428","2026-06-08T00:55:43.9180000+00:00","@namibj :  I would be interested in knowing if you can take the full R-C extracted netlist now produced by magic for an entire chip design and run it through Xyce and actually get it to simulate.","",""
"262706220073222144","namibj","2026-06-08T00:57:51.6610000+00:00","I probably won't get around to it before the Run 2 deadline unless I'll try to do it as part of verifying a Run2 chip's design's integration.","",""
"262706220073222144","namibj","2026-06-08T00:59:28.6480000+00:00","Ehhh, does that claim still hold if it's a high speed differential pair?","",""
"1365118310701600900","rtimothyedwards_19428","2026-06-08T01:22:52.4060000+00:00","The claim is mainly valid for standard cell designs.","",""
"262706220073222144","namibj","2026-06-08T01:23:32.2960000+00:00","ok yeah I figured.","",""
"596068704471482370","246tnt","2026-06-08T06:30:18.3140000+00:00","@Tim Edwards BTW did that rework include making the new capacitor model work with extresist ? I know previously the new modelling  ( that you presented at FSiC 2024 IIRC ) was not used when combined with extresistor.","",""
"262706220073222144","namibj","2026-06-08T06:52:06.2580000+00:00","The slow/mildly buggy flattened-gds PEX I started this thread with had C and R extracted using at least supposedly tee-connected lumped components modeling. 

Not sure if that's answering the question?","",""
"596068704471482370","246tnt","2026-06-08T07:26:56.8640000+00:00","It doesn't.","",""
"1365118310701600900","rtimothyedwards_19428","2026-06-08T12:52:38.3920000+00:00","Actually that was an incorrect statement I made at the time.  The capacitance *does* use the new modeling, but what it does is to redirect the coupling capacitances to the substrate, which is the next problem I'm going to work on.","",""
"1365118310701600900","rtimothyedwards_19428","2026-06-10T17:58:52.7980000+00:00","@namibj :  FYI, the thermal analysis tool is this one:  https://github.com/peaclab/PACT","",""
"1365118310701600900","rtimothyedwards_19428","2026-06-10T18:01:28.5660000+00:00","It has a very interesting approach.  They note that thermal diffusion equations are basically the same equations as you use to solve a resistor network, so they convert a layout into a SPICE netlist and use a SPICE simulator to solve the equations, then convert that back into temperature.","",""
