AuthorID,Author,Date,Content,Attachments,Reactions
"254391919029780480","hipstair","2026-05-05T22:07:59.7360000+00:00","I'm running Gm/Id sweeps for analog design, specifically using the 3.3V transistors (and possibly 5V/6V as well), and not getting any noise for PMOS models (onoise_total id and 1overf both return 0). This is not the case for the NMOS models. Has anyone else ran into this before?","",""
"169786952432746498","mithro_","2026-05-06T10:30:17.2900000+00:00","@Tim Edwards - Any ideas?","",""
"1365118310701600900","rtimothyedwards_19428","2026-05-06T13:18:58.4500000+00:00","No, not really.  That's the first time I've heard of it.","",""
"169786952432746498","mithro_","2026-05-06T23:54:42.5220000+00:00","@Tim Edwards - Any idea of other people who might have done stuff using the noise models?","",""
"1365118310701600900","rtimothyedwards_19428","2026-05-07T00:12:02.4320000+00:00","We did essentially zero analog stuff for the two MPW runs at Efabless.  The one thing I can think of is the last Chipathon, which was run on GF180MCU and had some analog projects.  For that, the best people to ask would be Mehdi Saligane, Mitch Bailey, and Peter Kinget.","",""
"738396032295108721","bailey8889","2026-05-07T02:14:22.3300000+00:00","I asked on Element.","",""
"1340064544567070720","christoph_36502","2026-05-07T13:55:54.8890000+00:00","For me it does work just fine using ngspice.","",""
"262706220073222144","namibj","2026-05-08T01:36:25.3960000+00:00","@Brandon Hippe if you can share a testbench of that sort with @Christoph , he can probably verify if it works for him. 
Also, @Christoph might be so kind as to share a testbench + PDK revision hash + ngspice version + ngspice user/system config that ""works for him"".","",""
"254391919029780480","hipstair","2026-05-08T16:39:50.2180000+00:00","","2026-05_media/sweep-C3381.spice",""
"254391919029780480","hipstair","2026-05-08T16:40:11.5230000+00:00","This is the spice file I'm running","",""
"1340064544567070720","christoph_36502","2026-05-11T11:53:35.3340000+00:00","Try to reduce it first to a simple simulation without all the loops. Also your save statements inside the control block should not be prefixed by ""."" and be stated before the simulation command.","",""
"1340064544567070720","christoph_36502","2026-05-11T11:56:02.6450000+00:00","Here is what my working control section looks like: 

``` 
.control
save all
noise v(out,vss) vin dec 10 100 1e6 1
print inoise_total
print all
setplot noise1
gnuplot p1 inoise_spectrum
.endc
```","",""
