AuthorID,Author,Date,Content,Attachments,Reactions
"732347216412278825","urish","2025-11-24T19:46:03.8870000+00:00","15 minutes and 8 tiles left...","",""
"1167741026950197258","TTBot#6027","2025-11-24T19:48:50.3570000+00:00","New tapeout: Darryl Miles project from Eric Smith submitted DDR throughput and flop aperature test (https://github.com/dlmiles/ttgf25a-ddr-throughput-test)","",""
"1167741026950197258","TTBot#6027","2025-11-24T19:49:15.9990000+00:00","New tapeout: Darryl Miles project from Eric Smith submitted GF180MCU loopback tile with input skew measurement (https://github.com/dlmiles/ttgf25a-loopback-with-skew)","",""
"732347216412278825","urish","2025-11-24T19:50:21.0860000+00:00","10 minutes and 2 tiles left...","",""
"1167741026950197258","TTBot#6027","2025-11-24T19:51:05.3370000+00:00","New tapeout: @TheZoq2 submitted Quickscope (https://github.com/TheZoq2/tt-um-thezoq2-quickscope)","",""
"119531639519969281","thezoq2","2025-11-24T19:52:49.9680000+00:00","Oh damn, then my 4x2 extension certainly wont work lmao","",""
"119531639519969281","thezoq2","2025-11-24T19:53:01.4560000+00:00","Then we'll go with a 16 sample logic analyzer","",""
"1167741026950197258","TTBot#6027","2025-11-24T19:53:03.9440000+00:00","New tapeout: @Ken Pettit submitted easy PAL (https://github.com/kdp1965/ttgf-um-easy-PAL)","",""
"1167741026950197258","TTBot#6027","2025-11-24T19:55:54.5230000+00:00","New tapeout: @htamas submitted ROTFPGA v2 (https://github.com/htfab/ttgf0p2-rotfpga)","",""
"732347216412278825","urish","2025-11-24T19:56:11.6010000+00:00","4 minutes and no tiles left!","",""
"220639106915368960","tholin","2025-11-24T19:58:03.1530000+00:00","Damn. I was gonna speedrun it, but people beat me to it!","",""
"732347216412278825","urish","2025-11-24T19:59:09.1490000+00:00","What did you have in mind?","",""
"220639106915368960","tholin","2025-11-24T20:08:01.0760000+00:00","https://github.com/AvalonSemiconductors/tt_um_as_scrapcpu","",""
"732347216412278825","urish","2025-11-24T20:12:02.1210000+00:00","Would have been nice to have your 6-bit MCU 🙂","",""
"220639106915368960","tholin","2025-11-24T20:12:58.7530000+00:00","Its also on one of the cadence shuttles.","",""
"732347216412278825","urish","2025-11-24T20:13:37.7440000+00:00","Probably ttcad25a?","",""
"732347216412278825","urish","2025-11-24T20:13:52.6170000+00:00","Fab out is next month, so I've heard","",""
"220639106915368960","tholin","2025-11-24T20:41:43.1620000+00:00","Very good. I will finally know if my SCL works.","",""
