AuthorID,Author,Date,Content,Attachments,Reactions
"732347216412278825","urish","2025-11-24T12:58:25.7960000+00:00","","",""
"732347216412278825","urish","2025-11-24T12:58:26.4860000+00:00","I'm so happy the community seized the opportunity!","","💜 (1)"
"756011607603019777","anfroholic","2025-11-24T13:01:12.3550000+00:00","For sure!! 
Maybe next run you will need two 😄","",""
"756011607603019777","anfroholic","2025-11-24T13:01:39.9620000+00:00","This was only open for less than a month?","",""
"732347216412278825","urish","2025-11-24T13:04:04.1340000+00:00","We published the verilog template [on September 29](<https://github.com/TinyTapeout/ttgf-verilog-template/commit/7bedff2b710a3f24f70923b26b406cb43b804f9d>), but only announced the shuttle and opened it for submissions on Nov 6th","",""
"756011607603019777","anfroholic","2025-11-24T13:05:23.9820000+00:00","Wow, that's really great!!
I've also wondered how things will change when you all are getting ~1k dies? LIke you could actually *do things* I'm excited to see","",""
"732347216412278825","urish","2025-11-24T13:10:49.6800000+00:00","Have you submitted anything on the shuttle BTW?","",""
"756011607603019777","anfroholic","2025-11-24T13:13:28.6630000+00:00","I have not. I attended an event by @digshadow and created a simple design, but never followed through. 
I've played with a bunch of other people's projects as Tim has given his friend Carl a bunch to play with.","","👀 (1)"
"732347216412278825","urish","2025-11-24T13:23:07.2180000+00:00","What stops you from submitting the simple design you created now?","",""
"756011607603019777","anfroholic","2025-11-24T13:25:58.3390000+00:00","Lmao, way to put me on the spot. 
For one, it wasn't anything interesting enough for me to waste my time. 
For two, I wish I had more time.","",""
"756011607603019777","anfroholic","2025-11-24T13:26:33.3460000+00:00","Soon though, I wish to start playing with some motor driver kind of things, opamps and the like. 
Above my skill level at the moment","",""
"732347216412278825","urish","2025-11-24T13:26:38.8270000+00:00","I did the same for @Tim 'mithro' Ansell btw, still waiting for his answer 🙂","","💜 (1),😂 (1)"
"732347216412278825","urish","2025-11-24T13:27:24.6800000+00:00","What would you submit if you had more time? (note that the current shuttle is digital only )","",""
"169786952432746498","mithro_","2025-11-24T13:29:17.7340000+00:00","@urish - Being busy trying to make platform.wafer.space work prevented me from doing an actual design 🙂","",""
"756011607603019777","anfroholic","2025-11-24T13:29:58.7960000+00:00","again, probably playing with MOSFETs, current limiting and sensing. 
But I guess that is analog now that I think about it.","",""
"732347216412278825","urish","2025-11-24T13:31:54.2770000+00:00","Yes 🙂","",""
"732347216412278825","urish","2025-11-24T13:32:29.7210000+00:00","you could still implement the digital controller that would interface with the analog part","",""
"756011607603019777","anfroholic","2025-11-24T13:35:15.0700000+00:00","Ugh.. wish I had more time. 
Pretty much right now I see 10s of thousands of dies I need to sort. Not room for any more projects.","",""
"756011607603019777","anfroholic","2025-11-24T13:35:33.4950000+00:00","Someday though. 
I'm really looking forward to it.","","❤️ (1)"
