AuthorID,Author,Date,Content,Attachments,Reactions
"1071653002986926112","algofoogle","2026-01-31T22:02:14.9860000+00:00","Howdy folks.","",""
"536358435873226753","dmitrygr","2026-01-31T22:20:55.5300000+00:00","y'all and your risc5 stuff.... next time i'll submit  my cortex-m0-with-mmu that boots linux just to balance it out 😛","",""
"1071653002986926112","algofoogle","2026-01-31T22:23:16.2390000+00:00","Love it 🙂","",""
"1071653002986926112","algofoogle","2026-01-31T22:23:40.3510000+00:00","Good commitment to the GL boot!","",""
"1401841055975870476","scafir","2026-01-31T22:51:55.3030000+00:00","Going to bed now, thanks everyone for the design showoff!","","👍 (1),💤 (1)"
"1071653002986926112","algofoogle","2026-01-31T23:00:44.8970000+00:00","@Egor Lukyanchenko Very cool! Do you blow the eFuses at 5V? Also, you mentioned testing chips from Google -- Was that GF180 too or sky130?","",""
"1071653002986926112","algofoogle","2026-01-31T23:09:03.5170000+00:00","Gotta run. This has been interesting and exciting folks! Well done. Looking forward to seeing silicon 🙂","",""
"709384666909507634","egorxe","2026-01-31T23:11:30.4800000+00:00","@algofoogle (Anton Maurovic)  Yes, fuses are blown on 5V. GF180, there is no eFuse on sky130 as far as I know.","",""
"220639106915368960","tholin","2026-01-31T23:20:22.5170000+00:00","Full docs for my die:
https://avalonsemiconductors.github.io/WS2025/index.html#","",""
"691780627338625077","rebelmike","2026-01-31T23:25:25.2730000+00:00","Thanks all!  Really nice to see all the projects 🙂","",""
"270286460668739587","meinhard","2026-01-31T23:26:04.4600000+00:00","Thanks everyone, great to see the projects! 🙂","",""
