AuthorID,Author,Date,Content,Attachments,Reactions
"384390069412429834","polyfractal","2025-12-02T17:09:20.1750000+00:00","","",""
"384390069412429834","polyfractal","2025-12-02T17:09:21.3120000+00:00","is that something that could be done in a regular mpw shuttle, or would the fab need to do a dedicated run or something to handle the overlap?","",""
"169786952432746498","mithro_","2025-12-02T22:50:24.9640000+00:00","Depends what you mean by ""regular mpw shuttle"" - from the foundry point of view the wafer.space shuttle just looks like a production run with full mask set.","",""
"384390069412429834","polyfractal","2025-12-03T01:32:13.3100000+00:00","ah yeah, good point. How does wafer.space structure it then I guess? Each wafer is split into sub-groups of 1000 chips per slot? 

If that's the case, I guess it wouldn't be hard at all to have a design that spans a larger area. Although it could make dicing tricky","",""
"169786952432746498","mithro_","2025-12-03T02:18:12.8700000+00:00","The projects get laid out in a reticle and then the reticle is ""shot"" onto the wafer X number of times. There was a bunch of discussion about this on the #die-sorter channel between @Leo Moser (mole99) who is responsible for the reticle stitching tool and @Andrew Wingate who is doing the robot that will be picking the die from wafers and putting them into tape reels.","",""
"323371864074485771","mole99","2025-12-03T07:32:27.8830000+00:00","This is the current layout of the reticle. You can see that the smaller slot sizes are on the right side and the top.","2025-12_media/Bildschirmfoto_vom_2025-11-07_14-47-44-71FF2.png",""
"323371864074485771","mole99","2025-12-03T07:33:06.5280000+00:00","Since we cannot do any laser dicing (yet), we cannot split up any of the half slots into quarter slots atm (without cutting the full slots).","",""
"323371864074485771","mole99","2025-12-03T07:35:31.2370000+00:00","","2025-12_media/Bildschirmfoto_vom_2025-11-07_14-47-44-2-D2A2F.png",""
"323371864074485771","mole99","2025-12-03T07:35:51.6150000+00:00","For the second run, we can add another cut here. This increases the number of quarter slots to three and adds another 14 half slots.","",""
"169786952432746498","mithro_","2025-12-03T12:21:16.4690000+00:00","@Leo Moser (mole99) - MY EYES!!! 😝 -- The horrible fluro yellow/green is back! 😛","","😆 (1)"
"323371864074485771","mole99","2025-12-03T12:21:57.9710000+00:00","Well, that *is* the color of the boundary layer 😄","",""
