AuthorID,Author,Date,Content,Attachments,Reactions
"169786952432746498","mithro_","2026-04-28T05:26:44.6810000+00:00","@Leo Moser (mole99) - Forgive me if these things are stupid / don't make sense but I had some random thoughts / ideas about ways we should probably modify the ""default"" template / setup for the padring / pads based on random theories from being at the bond house.","",""
"169786952432746498","mithro_","2026-04-28T05:40:33.5830000+00:00","Firstly, the pads seem like they are currently very close to the edge of the die. Looking through the microscope they kinda look like they almost connected to it. I assume they must not be, otherwise nothing would work but it was concerning the first time I looked at them.

Could we add a bit more space between the pads and the edge/seal ring?

I know it reduces the available silicon area but I /think/ it should help have more margin there.","",""
"169786952432746498","mithro_","2026-04-28T05:41:35.7430000+00:00","Secondly, do you know if the top polyimide layer overlaps the metal pad edges? IE Is something like this possible? https://docs.google.com/drawings/d/1YPRHE-uZNg3iSm3SlMcJvfinUueOHtiQbLqJo35Pt_M/edit -- If so could we increase the amount of overlap?","",""
"323371864074485771","mole99","2026-04-28T06:31:30.4060000+00:00","Will take a closer look later!","",""
"596068704471482370","246tnt","2026-04-28T06:40:49.3030000+00:00","Changing padring would mean we have an issue for TT because changing silicon area means we might need to change the size of tiles (and worst case, even size of power gates meaning we'd need to re-design them ... meaning closing the shuttle)","",""
"596068704471482370","246tnt","2026-04-28T06:42:02.6200000+00:00","The passivation already looks like that drawing. The metal pad is 65.35 um x 68 um  and tha passivation opening is 60 x 60 um.","",""
"596068704471482370","246tnt","2026-04-28T06:46:24.2030000+00:00","Distance from guard ring to pads meets `GR.2` ( It's 10 um from the marking layer and 11 um away from the actual pad ).   That's more than twice the clearance between pad and first power ring.","",""
"169786952432746498","mithro_","2026-04-28T06:55:38.5790000+00:00","@tnt - I'm thinking more along the lines of providing more margin in the ""default - I just want something which works"" configuration of the template.","",""
"596068704471482370","246tnt","2026-04-28T06:56:39.0380000+00:00","But that would move the bonding pads, hence the bonding setup.","",""
"169786952432746498","mithro_","2026-04-28T06:56:43.3350000+00:00","But I also might be suggesting things which make no sense 😛","",""
"169786952432746498","mithro_","2026-04-28T06:58:09.4800000+00:00","@tnt - If I understand correctly, Tiny Tapeout/you are doing your own bonding (even if we are at the same place) - so that is not something that effects you?","",""
"596068704471482370","246tnt","2026-04-28T06:58:12.5560000+00:00","Do we have GDS from the chipathon or from the google GF runs to compare.","",""
"169786952432746498","mithro_","2026-04-28T06:58:43.4920000+00:00","@tnt - The Google GF shuttle GDS is at https://foss-eda-tools.googlesource.com/third_party/shuttle/gf180mcu","",""
"596068704471482370","246tnt","2026-04-28T06:59:23.0630000+00:00","Well one thing we were thinking about is to also offer the TT chips on the standard WS breakout for if people want to use in their own PCB. ( So you'd get the standard TT demo+breakout  and also TT chips on the WS breakout 😅  ).","",""
"596068704471482370","246tnt","2026-04-28T07:01:21.2310000+00:00","I think the repo above doesn't have seal ring and fill, this was added later by GF ?  Not sure if they sent back the altered gds ...","",""
"596068704471482370","246tnt","2026-04-28T07:01:34.8520000+00:00","( I can't check ... can't figure out how to actually download the files from the repo above .. )","",""
"596068704471482370","246tnt","2026-04-28T07:02:32.7230000+00:00","But let's see how it works out with the next set of wafers ...","",""
"596068704471482370","246tnt","2026-04-28T07:02:49.3370000+00:00","When do you think you'll start trying with those ?","",""
"169786952432746498","mithro_","2026-04-28T07:06:05.3660000+00:00","That would be cool!

I'm just throwing stuff out there. It might make sense to do some type of tests along these lines to see if they make any difference.","",""
"169786952432746498","mithro_","2026-04-28T07:06:56.9160000+00:00","I'm pretty sure if they did send back any altered gds it got lost inside efabless","",""
"596068704471482370","246tnt","2026-04-28T07:07:53.4360000+00:00","Someone here (on run 1, on this discord) getting one of the chip probably has equipment to do a cross section and SEM of the failure.","",""
"596068704471482370","246tnt","2026-04-28T07:08:12.1450000+00:00","Would be interested to see 😅","",""
"169786952432746498","mithro_","2026-04-28T07:27:18.3920000+00:00","I'm guessing someone like @azonenberg or @BreakingTaps will eventually look into. I will try and make sure they have some samples.

I'm also trying to figure out if there are any failure analysis labs with SEMs in the Shenzhen area that are within my price range that we can get stuff done with too.","",""
"812217062567051294","azonenberg","2026-04-28T08:40:44.0260000+00:00","I am absolutely capable of doign a sem/fib section but would need work's approval since it would be on their gear","",""
"812217062567051294","azonenberg","2026-04-28T08:40:55.7180000+00:00","i have a friend across town with a fib 200 she's trying to bring up but it's not yet in usable condition","",""
"384390069412429834","polyfractal","2026-04-28T12:47:55.7010000+00:00","parallel lapping and cross-sectioning my chip are on the eventual-todo list (time permitting, have to do it after-hours at work)

What failure in particular would I be looking out for?","",""
"596068704471482370","246tnt","2026-04-28T13:14:07.6660000+00:00","@BreakingTaps Bond pad shorted to GND.","","👍 (1),😮 (1)"
"812217062567051294","azonenberg","2026-04-28T14:55:34.4220000+00:00","is it just one pin on one chip? wire bonded or bare?","",""
"596068704471482370","246tnt","2026-04-28T14:56:12.3230000+00:00","@azonenberg No, I have 9 chips here, 6 have several failed bonds.","",""
"812217062567051294","azonenberg","2026-04-28T14:56:27.0950000+00:00","but randomly distributed, not the same bond pad on each?","",""
"812217062567051294","azonenberg","2026-04-28T14:56:45.9230000+00:00","any obvious pattern to failure locations?","",""
"812217062567051294","azonenberg","2026-04-28T14:56:50.7360000+00:00","e.g. power vs io","",""
"812217062567051294","azonenberg","2026-04-28T14:56:57.1880000+00:00","or one side of the package","",""
"596068704471482370","246tnt","2026-04-28T14:57:23.9250000+00:00","It's not the same bond no. But strangely they seem grouped on the same side of the chip ... it's not the same side on every chip but on a given chip I'll have 1 side perfect and another with all the failed bonds.","",""
"596068704471482370","246tnt","2026-04-28T14:58:33.9340000+00:00","( I'm only testing 2 sides because the samples I got have ""survivor bias"", they were the one passing the digital test which tests North/South side at the factory ... but the East/West were not tested at the factory ).","",""
"812217062567051294","azonenberg","2026-04-28T15:00:44.4320000+00:00","My first guess would be excessive force during the bonding process punching through layers","",""
"812217062567051294","azonenberg","2026-04-28T15:00:49.0770000+00:00","That should show nicely in a FIB section","",""
"596068704471482370","246tnt","2026-04-28T15:00:52.8350000+00:00","If @BreakingTaps has a multimeter, it's pretty easy to test .. Use diode more, put positive lead on GND on one of the cap, then probe along the connector for the IOs.  Good ones should show roughly 0.75V.","","😮 (1)"
"812217062567051294","azonenberg","2026-04-28T15:01:05.1930000+00:00","How wide is the bond pad?","",""
"596068704471482370","246tnt","2026-04-28T15:01:23.6050000+00:00","@azonenberg There is nothing underneath the pad. It would  need to be deformed to push inward to reach the power ring to be shorted to GND.","",""
"812217062567051294","azonenberg","2026-04-28T15:01:35.6370000+00:00","Substrate is grounded if it's punched hard enough","",""
"596068704471482370","246tnt","2026-04-28T15:01:58.7210000+00:00","True ... I didn't think about that.","",""
"596068704471482370","246tnt","2026-04-28T15:02:24.7820000+00:00","I did manage to clear a short using brute force. ( 8V / 3A to the IO ... now it works )","",""
"596068704471482370","246tnt","2026-04-28T15:03:12.6150000+00:00","","2026-04_media/2026-04-27_984x848_scrot-B4E3D.png",""
"596068704471482370","246tnt","2026-04-28T15:03:28.4390000+00:00","Pad passivation opening is  60 x 60 um.","",""
"596068704471482370","246tnt","2026-04-28T15:03:50.0930000+00:00","And as noted above, ~4.6 um from the GND power rail.","","😮 (1),🎉 (1),❤️ (1),🔥 (1),waferspace (1)"
"812217062567051294","azonenberg","2026-04-28T15:15:21.7510000+00:00","lol. the rest of the chip works?","",""
"812217062567051294","azonenberg","2026-04-28T15:19:24.3690000+00:00","I would be interested in seeing that die, tbh","",""
"812217062567051294","azonenberg","2026-04-28T15:19:38.9210000+00:00","there may be visible damage or melt marks","",""
"812217062567051294","azonenberg","2026-04-28T15:19:54.1000000+00:00","that might make an otherwise hard to find short more obvious","",""
