AuthorID,Author,Date,Content,Attachments,Reactions
"323371864074485771","mole99","2026-04-23T12:29:20.8260000+00:00","","",""
"323371864074485771","mole99","2026-04-23T12:29:22.0120000+00:00","I'd like to thank @Tim 'mithro' Ansell, @Andrew Wingate and @stuartfor handling everything that comes after the tapeout. Great work on the reticle sorter, and looking forward to the first CoB parts!","","❤️ (1),💜 (1)"
"323371864074485771","mole99","2026-04-23T12:29:49.0690000+00:00","I'll likely take some microscopy images tomorrow.","","waferspace (1)"
"323371864074485771","mole99","2026-04-27T17:10:07.5190000+00:00","Microscopy images are scheduled for tomorrow. In the meantime, the CoB have arrived.","","❤️ (1)"
"323371864074485771","mole99","2026-04-27T17:10:32.2490000+00:00","","2026-04_media/IMG_20260427_184228845_HDR-F7106.jpg,2026-04_media/IMG_20260427_184322264_HDR-6F743.jpg,2026-04_media/IMG_20260427_184445494_HDR-E063D.jpg,2026-04_media/IMG_20260427_184547306_HDR-9551A.jpg,2026-04_media/IMG_20260427_184634487-B38E9.jpg","❤️ (1)"
"384390069412429834","polyfractal","2026-04-27T17:21:12.4140000+00:00","!!!! so cool! really happy they went with clear epoxy too 🙂","","waferspace (1)"
"323371864074485771","mole99","2026-04-27T17:27:15.9530000+00:00","Yeah, that was definitely the right choice 😎","",""
"169786952432746498","mithro_","2026-04-27T17:28:06.7030000+00:00","@stuart has been playing with pink....","2026-04_media/image-17BEE.png","🫥 (1)"
"1184268085822238821","saladchap","2026-04-28T02:54:00.3520000+00:00","@Tholin PCBs have landed 🎉","2026-04_media/IMG_20260428_092158595-5F6BC.jpg","🎉 (1)"
"220639106915368960","tholin","2026-04-28T08:52:26.3210000+00:00","Ah heck, ""put new logo on PCB silkscreens"" is still on my todo list","",""
"220639106915368960","tholin","2026-04-28T08:52:33.0660000+00:00","Oh well, I'll live","",""
"220639106915368960","tholin","2026-04-28T08:53:49.1620000+00:00","Good to see that there was no showstopping DRC issues. Things got tight during routing.","",""
