AuthorID,Author,Date,Content,Attachments,Reactions
"732347216412278825","urish","2025-10-18T14:09:29.9190000+00:00","","",""
"732347216412278825","urish","2025-10-18T14:09:30.8330000+00:00","Pure poetry.","","💜 (1)"
"853313068871188530","peterkinget","2025-10-18T17:59:23.4090000+00:00","Beautiful, very versatile 👍 👍","",""
"853313068871188530","peterkinget","2025-10-18T18:04:41.0230000+00:00","What is the pin assignment? 74 bondpads ==> 74 bondfingers (on PCB), 10 of which are connected to the GND ring, so 64 signal pins including one VDD; do we need that many GND/VSS? How about one on each side, or even one, or even none; the designer can decide how many VSS they want, the inductance of going down to the ring vs to the bondfinger is not going to be that significantly different. 

Getting access to 74 pins that we can assign ourselves will take this to the next level.

If I counted correctly there are 74pins on the connector.","",""
"853313068871188530","peterkinget","2025-10-18T18:05:34.5930000+00:00","@Andrew Wingate See above; not sure if this shows in the regular COB channel.","",""
"596068704471482370","246tnt","2025-10-18T18:39:19.2060000+00:00","There are 70 pins on the connectors, the 4 ""outside"" ones are not electrically connected or something, datasheet of the connector says to ignore them.","",""
"853313068871188530","peterkinget","2025-10-18T23:50:47.6400000+00:00","Got it, so how about we shoot for 70pins: GND + 69 signal pins that the designers can place, including VDD. So that means we need to use 4 VSS pins. 

We will have to decide if we want to pre assign VSS to certain bondpads, likely we should. I would recommend bondpads in the corners; the regular bondwires to the bondfingers are longer and so less ideal for signals but that's not an issue for VSS since you are going to the VSS/GND ring which is close. 

Also, if you plan to put decoupling on the mezzanine board, you will have to decide which pin is VDD also and we all have to follow that convention. 

So @Andrew Wingate, do you think it is possible to have just 4 pins connected to the VSS ring, one in each corner? If we fix the VDD pin, we should put it in the middle of a side that will have the lowest bondwire inductance. If some projects want to do multiple VDDs they could use the neighboring pins and maybe you can add some footprints for zero Ohm resistors so they can be shorted. 

I am attaching a PDF to clarify what I am talking about. Top figure is changes to PCB; bottom is rough illustration of what the bonding diagram will look like. 

When drawing this rough bonding diagram I noticed that the angles in the corners get quite acute. We will have to check with the bonding house if they can support that. Ideally we would also rotate the pads (like in the photo on the wafter.space homepage) to be in line with the wires, that will improve bonding yield. Also moving the bondfingers a bit further out will help with improving the angles. Does this design meet the checks of the slides that @Tim 'mithro' Ansell had shared higher up in this channel?

What kind of bondwires are you going for? Gold or aluminum? 

Many thanks for all the work on this. This approach of a mezzanine board with a connector on the back  is a winner in my mind. Very flexible!","https://cdn.discordapp.com/attachments/1429068742108909638/1429255424867307561/V3_Mezzanine.pdf?ex=691b0c17&is=6919ba97&hm=5ee789159c59ce660cb1663546245c7b7096664180b86a805eb28e28d24efae7&",""
"756011607603019777","anfroholic","2025-10-18T23:54:49.1550000+00:00","Thank you @peterkinget 

@tnt  is correct, while there are 74 pads on the connector, only 70 are used electrically. 

>  What is the pin assignment? 74 bondpads ==> 74 bondfingers (on PCB)
I know that you wouldn’t want to use this COB as is, and I fully expect there will be a number of variations, even if the only difference is the silkscreen version number. 
For instance, @tnt  wants decoupling caps on their COB. This would be very bad for you. 
But you would may want to add a number of resistors for protection, or have components like leds on the oscillator that never make it to the mezzanine connector or to even create testpads for the extra 4 pins so you still have access. 
I have identified a zone where we can place any kind of passives--or any component that fits really-- to do with as you like. 
This is to say, you would have 74 bondpads, but only 70 signals actually make it to the mezzanine connector.  Ground/Signal/VSS can be wherever suits you. 

> What kind of bondwires are you going for? Gold or aluminum? 
This is outside my knowledge and @Tim 'mithro' Ansell would have to get back to you on that.","",""
"756011607603019777","anfroholic","2025-10-18T23:55:59.9320000+00:00","@peterkinget I watched your and @Matt Venn video yesterday. 
Very cool what you're doing!
https://www.youtube.com/watch?v=abu3u6UX6wE","","👍 (1)"
"853313068871188530","peterkinget","2025-10-19T00:05:52.9360000+00:00","OK, fair enough, did you share the latest design already. No rush, but let us know when you do and we will update the board a bit.","",""
"853313068871188530","peterkinget","2025-10-19T00:06:22.8990000+00:00","Thanks, and many thanks for Matt for hosting me!","",""
"756011607603019777","anfroholic","2025-10-19T00:07:21.4290000+00:00","I did not, I am embarrassed..
I will share. Keep in mind that this is likely very fluid, so I'm going to wait to nail things down until we know more.","","👍 (1)"
