AuthorID,Author,Date,Content,Attachments,Reactions
"323371864074485771","mole99","2025-11-07T11:55:27.1780000+00:00","","",""
"323371864074485771","mole99","2025-11-07T11:55:28.0640000+00:00","Yes, but the smaller the spacing, the more I/O we can get for the sub-projects.","",""
"169786952432746498","mithro_","2025-11-07T11:55:45.0940000+00:00","Damn trade offs 😛","",""
"756011607603019777","anfroholic","2025-11-07T11:58:58.4300000+00:00","75µm would yield 2x the bondpads, so as long as we think 2x is fine, we wouldn't have to do anything right now","",""
"169786952432746498","mithro_","2025-11-07T11:59:47.7350000+00:00","I think @mole99 is thinking of some type of higher I/O count design or what type of checks to put in the precheck?","",""
"756011607603019777","anfroholic","2025-11-07T12:00:47.3210000+00:00","actually looking at @Tholin pad drawing, I am wrong","https://cdn.discordapp.com/attachments/1436322685234974871/1436324503138472066/image.png?ex=691a65af&is=6919142f&hm=b0d0a6179a657bfb02679de00a3e14643405724f8d324e8ca3caa4a98b699fa1&",""
"323371864074485771","mole99","2025-11-07T12:01:27.6230000+00:00","No, I'm working on projects with a smaller die size. There you really want less spacing between the pads to get enough I/Os.","",""
"220639106915368960","tholin","2025-11-07T12:02:42.4270000+00:00","fyi this is a custom pad-out and not the standard one from the template","","👀 (1)"
"756011607603019777","anfroholic","2025-11-07T12:02:56.8140000+00:00","Correct, I *wrongly* assumed you could fit another pad in between each","",""
"220639106915368960","tholin","2025-11-07T12:03:13.1360000+00:00","This one has the standard placements of power and clock/reset
https://github.com/AvalonSemiconductors/as2650-ws/blob/main/padout.png","",""
"756011607603019777","anfroholic","2025-11-07T12:03:42.9040000+00:00","I'm only refering to pad size and spacing here","",""
"1184268085822238821","saladchap","2025-11-08T03:16:56.4340000+00:00","@Tim 'mithro' Ansell I haven't asked about pad spacing before but will try to find out","","👏 (1)"
"323371864074485771","mole99","2025-11-11T15:35:05.6250000+00:00","","https://cdn.discordapp.com/attachments/1436322685234974871/1437827986576638124/Bildschirmfoto_vom_2025-11-11_16-14-53.png?ex=691a97e9&is=69194669&hm=e983231d8371e2e82f4562c9fcebcc4fafb186762ab802a8738e8b5d3fec97d5&",""
"323371864074485771","mole99","2025-11-11T15:35:12.3870000+00:00","This is a quarter project with a 110um horizontal and a 73um vertical bondpad spacing.
Currently, it has 36 bondpads. Considering that people always want more I/Os we should really try to get the most out of it.
Decreasing the distance between pads to 15um would give us a whole lot more pads to work with!
From another vendor (university), I got a minimum distance of 30um. So perhaps 30um would be a better target?

@Tim 'mithro' Ansell should I create the padring with a 30um minimum spacing? Once the padring for the sub-slots has been finalized, @Andrew Wingate could create CoB PCB for it.","","👍 (1)"
"323371864074485771","mole99","2025-11-11T16:12:23.0210000+00:00","","https://cdn.discordapp.com/attachments/1436322685234974871/1437837370916601906/image.png?ex=691aa0a6&is=69194f26&hm=7dcd0986617daf5dbe01095959d767e8359b098a57d58f12c002bd63950a5c1c&",""
"323371864074485771","mole99","2025-11-11T16:13:24.7940000+00:00","With a minimum spacing of 30um, I can fit 54 bondpads. Of course, some of these will be used for power/ground.","",""
"756011607603019777","anfroholic","2025-11-11T21:27:14.0050000+00:00","@mole99  I'm about to hit the road and will be out for most of the evening. I don't understand how we will get these out of the wafer at least right now. 
Could some arrangement like this be suitable? We could go wider as long as we hit `reticle width` by the 3.88 height of the standard die
There is some optimal size we could go for, but if we divide things like this, then we can just have the dicing house cut them all and we still just deal with sorting. *which now that I'm thinking of it would mean more than 40 reels...something for later*
Thoughts @Tim 'mithro' Ansell?","https://cdn.discordapp.com/attachments/1436322685234974871/1437916605022474290/image.png?ex=691a41b1&is=6918f031&hm=f5a119a39e887dd47c5d8bf35f5ffa002c4c2a5654336d1610a9bd17fa795bed&,https://cdn.discordapp.com/attachments/1436322685234974871/1437916605647687701/image.png?ex=691a41b1&is=6918f031&hm=d40cfce4357d62590c2063f4cf8b82745de6c4935179cf601ff584108171f347&",""
"756011607603019777","anfroholic","2025-11-11T21:27:56.0100000+00:00","To rephrase, we could hit something a little larger than 1/4 pretty easily I think.","",""
"756011607603019777","anfroholic","2025-11-12T04:48:56.5390000+00:00","@Tim 'mithro' Ansell","",""
"323371864074485771","mole99","2025-11-12T08:48:17.9250000+00:00","@Andrew Wingate I've already arranged the dies on the reticle:","",""
"323371864074485771","mole99","2025-11-12T08:48:23.8540000+00:00","","https://cdn.discordapp.com/attachments/1436322685234974871/1438088026252120184/Bildschirmfoto_vom_2025-11-07_14-47-44.png?ex=691ae157&is=69198fd7&hm=aea009149dfb4578bbf86f58e51a5fbf0a015e7cf5cd97f9de1cc44f0b88b850&",""
"323371864074485771","mole99","2025-11-12T08:48:58.9910000+00:00","As it seems right now, GF does not allows us to use the full reticle, that's why we need to cut some of the large slots.","",""
"323371864074485771","mole99","2025-11-12T08:49:28.2410000+00:00","This gives us four different sizes: a full slot, two half slots, and a quarter slot.","",""
"323371864074485771","mole99","2025-11-12T08:49:43.3720000+00:00","If we need more of the smaller slots, we can add two more cuts here:","",""
"323371864074485771","mole99","2025-11-12T08:49:46.9300000+00:00","","https://cdn.discordapp.com/attachments/1436322685234974871/1438088374505181194/more_cuts.png?ex=691ae1aa&is=6919902a&hm=6db9ece0ec8677b3f45bcce2d2c6aac5d09ae025c5adbe8a27775ac383845b5d&",""
"756011607603019777","anfroholic","2025-11-12T08:53:08.9010000+00:00","I spoke with Tim earlier and he showed me this. I have to say that objectively I hate everything about it. Not anyone's fault really but this is a big change and has many significant drawbacks. 
If at all possible we should do something else. He said we can consider it next run, I'm just stating how I feel about this layout","",""
"756011607603019777","anfroholic","2025-11-12T08:55:20.9600000+00:00","Also sorry if that came across harsher than I wanted it. I am very tired and still have a lot to complete tonight","",""
"323371864074485771","mole99","2025-11-12T08:59:07.7990000+00:00","No worries! It would be great if you could explain later why this arrangement will complicate things for you downstream.
Good luck with completing your things and make sure to get some sleep afterwards :)","","💜 (1)"
