AuthorID,Author,Date,Content,Attachments,Reactions
"732347216412278825","urish","2025-11-17T07:16:11.6910000+00:00","","",""
"732347216412278825","urish","2025-11-17T07:16:15.0850000+00:00","Congrats Tim!","",""
"732347216412278825","urish","2025-11-17T07:16:40.9700000+00:00","How many bits? 

300x300 will make it useful for TT projects","",""
"596068704471482370","246tnt","2025-11-17T07:28:49.0250000+00:00","512 bytes AFAIR","","👍 (1)"
"1365118310701600900","rtimothyedwards_19428","2025-11-17T14:42:18.6400000+00:00","512 bytes was the largest of the four GF 5V SRAM macros.  I was thinking of expanding that to 1kB for another macro;  shouldn't be too hard.  But I'll get this one done first.","",""
"1365118310701600900","rtimothyedwards_19428","2025-11-17T15:04:03.5180000+00:00","@urish :  What size is a TT slot on GF180MCU?","",""
"596068704471482370","246tnt","2025-11-17T15:06:03.8720000+00:00","346.64 um x  160.72 um","",""
"732347216412278825","urish","2025-11-17T15:06:54.9070000+00:00","https://github.com/TinyTapeout/tt-support-tools/blob/main/tech/gf180mcuD/tile_sizes.yaml","",""
"596068704471482370","246tnt","2025-11-17T15:07:30.8590000+00:00","But that means in a 2x2 ( 711.20 um x 325.36 um ) you can fit a decent size SRAM and some logic.","","👍 (1)"
"1365118310701600900","rtimothyedwards_19428","2025-11-17T23:13:30.9020000+00:00","The SRAM block is now both DRC and LVS clean.  I will work tomorrow on squeezing out additional space at the bottom and then I will push to the repository.  Again, don't expect timing values at this point in the process.","","blobclap (1)"
"169786952432746498","mithro_","2025-11-18T02:29:38.1980000+00:00","@Tim Edwards - Super cool!","",""
