AuthorID,Author,Date,Content,Attachments,Reactions
"732347216412278825","urish","2025-09-30T17:32:16.6730000+00:00","","",""
"732347216412278825","urish","2025-09-30T17:32:17.4290000+00:00","Do tell more - since in the docs/tooling, we use gf180mcuD when referring to the PDK","",""
"732347216412278825","urish","2025-09-30T17:32:30.7290000+00:00","But when talking in general about the process, we usually shorten to GF180","",""
"169786952432746498","mithro_","2025-09-30T17:32:59.6700000+00:00","Yeah, don't shorten to GF180, fine to shorten gf180mcuD to GF180MCU though.","",""
"732347216412278825","urish","2025-09-30T17:36:09.2190000+00:00","GF180MCU is annoying to type 🙂","",""
"732347216412278825","urish","2025-09-30T17:36:28.3020000+00:00","We will also need to rethink our shuttle naming convention at some point","",""
"732347216412278825","urish","2025-09-30T17:36:54.3970000+00:00","ttgf26[abcdef...]   won't easily scale to multiple processes","",""
"323371864074485771","mole99","2025-09-30T18:13:47.6090000+00:00","To clear things up: GF180MCU is the process. gf180mcu is the PDK family and gf180mcuA/B/C/D are the PDK variants.","",""
"323371864074485771","mole99","2025-09-30T18:14:25.4210000+00:00","Same for SKY130, sky130 and sky130A/B.","",""
"323371864074485771","mole99","2025-09-30T18:15:59.9660000+00:00","IHP is a bit different though 😅 
There it's: SG13G2 (or SG13CMOS), ihp-sg13g2 and ihp-sg13g2 (family and variant are the same).","","👍 (1)"
"169786952432746498","mithro_","2025-09-30T19:40:22.9330000+00:00","GF180IC and GF180BCDLite would be potential future GF 180nm techs","",""
"169786952432746498","mithro_","2025-09-30T19:40:29.1540000+00:00","IC == Industry Compatible","",""
"732347216412278825","urish","2025-09-30T19:46:17.7230000+00:00","And I was sure it stands for ""Intelligent Creatures""","",""
"732347216412278825","urish","2025-09-30T19:46:36.0870000+00:00","or at least ""Intel's Competitor""","",""
"1071653002986926112","algofoogle","2025-09-30T23:31:22.9570000+00:00","Ahh I see…","",""
"1071653002986926112","algofoogle","2025-09-30T23:31:37.4030000+00:00","I just thought it was really cold 😉 🥶","",""
"169786952432746498","mithro_","2025-10-01T00:19:53.3040000+00:00","My understanding is that GF180IC allows designs which were targeted at ""other foundries standard 180nm process nodes (like say TSMC's 180nm node)"" to be manufactured with no changes (except changing GDS layer ids). It may have been used when things like second sourcing where required.","",""
"169786952432746498","mithro_","2025-10-01T00:21:39.8880000+00:00","BCDLite is a cost optimized version of GF's BCD process technology. BCD (bipolar-CMOS-DMOS) technology allows to drive discrete high voltage components (several hundred of operating voltage) at high frequency while keeping high integration with advanced CMOS technology nodes.","",""
"1071653002986926112","algofoogle","2025-10-01T00:21:43.4080000+00:00","Well no joke, that sounds pretty cool to me. Bill Mensch could be interested in something like that especially since his 6502 IP is “custom layout” but retargetable, as I understand","",""
"169786952432746498","mithro_","2025-10-01T00:22:14.5030000+00:00","But this is all hearsay and gossip, not necessarily the actual truth 🙂","","👍 (1)"
