AuthorID,Author,Date,Content,Attachments,Reactions
"169786952432746498","mithro_","2025-09-04T21:24:52.3550000+00:00","@Tholin / @Tim Edwards - I'm hoping to work with @Leo Moser (mole99) to put together something using previous MPW designs to send to GF for testing very soon.","",""
"220639106915368960","tholin","2025-09-04T21:26:22.4060000+00:00","Like, this month?","",""
"169786952432746498","mithro_","2025-09-04T21:55:43.8320000+00:00","Yes","",""
"169786952432746498","mithro_","2025-09-04T21:55:58.8960000+00:00","Hopefully that isn't a surpise to @Leo Moser (mole99)  🙂","",""
"220639106915368960","tholin","2025-09-04T22:08:41.1180000+00:00","Its was a surprise to me, heh","",""
"220639106915368960","tholin","2025-09-04T22:09:15.3450000+00:00","Would you also be interested in sending one of the WiP custom padframes to GF for testing?","",""
"169786952432746498","mithro_","2025-09-04T22:52:31.8070000+00:00","Sure! I believe @Leo Moser (mole99) is busy this week with finishing iHP related stuff?","",""
"220639106915368960","tholin","2025-09-04T23:03:57.5040000+00:00","I have a padframe that should be working.","",""
"220639106915368960","tholin","2025-09-04T23:05:02.9970000+00:00","I can take that, populate the project area with a copy of one of my GFMPW designs and we'll see if everything still works as before.","",""
"220639106915368960","tholin","2025-09-04T23:05:43.9020000+00:00","Would allow me to do some fixes as well. The RISC-V core on my multi-project die is just a few adjustments/bugfixes away from being able to boot Linux.","",""
"220639106915368960","tholin","2025-09-05T00:03:23.9140000+00:00","@Tim 'mithro' Ansell Would this be of interest to you in general? Linux-capable CPU core on gf180?","",""
"169786952432746498","mithro_","2025-09-05T00:04:26.9840000+00:00","A bit weird but I definitely wouldn't say no.","",""
"169786952432746498","mithro_","2025-09-05T00:08:21.7380000+00:00","The uclinux on Tiny Tapeout is a pretty good demo to show people.","",""
"323371864074485771","mole99","2025-09-05T15:54:12.9330000+00:00","The idea is to get early feedback from GF, especially regarding the sealring, as the corner of the sealring is simply ""best-effort"" since we don't have any rules for it in the PDK. Another issue is fill generation, for which we currently only have a partial implementation in magic.

I'm just finishing up my IHP tapeout and will be at ORConf right after that. After ORConf, I will have one full week to create a test reticle and work on fill. I will also upload the template repository for wafer.space designs.
I would appreciate if you could use the template to build your chip @Tholin. It automatically adds the sealring after GDS streamout.","",""
"220639106915368960","tholin","2025-09-05T16:01:37.2970000+00:00","Alright, will do","",""
"220639106915368960","tholin","2025-09-05T16:02:08.3790000+00:00","I'm rushing some bugfixes to my multi-project die right now, and then I will tape that out a second time.","",""
"220639106915368960","tholin","2025-09-05T16:03:10.7660000+00:00","Not gonna do anything new. The multi-project die is a whole heap of designs that I already know the characteristics of, which is good.","",""
"323371864074485771","mole99","2025-09-05T16:11:42.4490000+00:00","Thanks! I'll let you know after ORConf once it's pushed.
Being able to make comparisons between previous shuttles is definitely good.","",""
"1365118310701600900","rtimothyedwards_19428","2025-09-05T18:21:57.6650000+00:00","@Tholin :  I'm glad you're working on a 3.3V standard cell library for GF180MCU.  I have come to the conclusion that the OSU standard cells are invalid and probably will never be synthesizable.  I think it is the same old story with academic development---At one time in the past, they had expertise in standard cell design, but that expertise has been lost, and now all they do is academic excercises like CharLib where they are concerned about simulation efficiency and accuracy, and nobody has noticed that the layouts they're passing to the tool are unworkable for a variety of reasons (such as, for example, having a cell height that is not divisible by any track height).","",""
"220639106915368960","tholin","2025-09-05T18:27:06.5960000+00:00","Yeah! I do need to keep working on it sometime. Its on hold for now until after the first wafer.space shuttle.","",""
"323371864074485771","mole99","2025-09-06T08:15:15.9280000+00:00","@Tholin Just so you know, final submission will be in early December, so there may still be time to work on it :)","",""
"220639106915368960","tholin","2025-09-06T15:13:36.2070000+00:00","True, but my SCL is 3.3V and I do wish to tape out one more 5V chip on the first wafer.space shuttle.","",""
"220639106915368960","tholin","2025-09-06T15:14:08.9100000+00:00","Second and onwards I will be playing with 3.3V. Lets uhhh...make sure that the 5V stuff we have already works first.","",""
"220639106915368960","tholin","2025-09-06T15:14:46.1160000+00:00","Oh, that *just* reminds me that I should absolutely create a test layout for the extra 5V cells I’m making.","",""
"169786952432746498","mithro_","2025-09-08T23:45:49.6940000+00:00","@everyone - The CrowdSupply page which will allows you to purchase wafer.space slots will be live in the next day or two. I am looking for people who want to purchase a slot to be beta testers.","","‼️ (4),🚀 (4)"
"374977737334456320","ombudsman","2025-09-09T01:43:37.3690000+00:00","Hey @Tim 'mithro' Ansell which pdk will we be using?","",""
