AuthorID,Author,Date,Content,Attachments,Reactions
"262706220073222144","namibj","2026-07-12T00:57:25.1060000+00:00","the big one is up to ""Extracting VSS"" now.","",""
"262706220073222144","namibj","2026-07-12T01:25:16.0540000+00:00","yeah so that's definitely not the linear solver I want to use with that behavior.... _I think ?_","2026-07_media/Xyce_log_2026-07-12T00_33_4400_00-2D05C.cat",""
"262706220073222144","namibj","2026-07-12T01:25:26.9760000+00:00","","2026-07_media/tb_fl_mcpu32.xyce-25C34.prn",""
"262706220073222144","namibj","2026-07-12T01:41:49.2560000+00:00","@Tholin results","",""
"262706220073222144","namibj","2026-07-12T01:42:35.8760000+00:00","If you have amendments to this file, now's the time, to get results before sleepy time.","2026-07_media/tb_fl_mcpu32_currents_v2-17849.xyce",""
"262706220073222144","namibj","2026-07-12T01:54:06.7480000+00:00","on second thought, I'm gonna take the scarce hours of cold to sleep sooner than later, not gonna be that long anyways, and afterwards the big circuit should maybe be done.","",""
"262706220073222144","namibj","2026-07-12T01:54:43.4360000+00:00","(done extracting, that is)","",""
"262706220073222144","namibj","2026-07-12T17:19:20.3230000+00:00","@Tholin errrrr, this got 87 mA?","2026-07_media/tb_fl_mcpu32_currents_v2.xyce-4A72A.prn",""
"220639106915368960","tholin","2026-07-12T17:20:24.8080000+00:00","Oh","",""
"220639106915368960","tholin","2026-07-12T17:20:59.3170000+00:00","I wonder if its because the latches have initialized into a metastable state","",""
"220639106915368960","tholin","2026-07-12T17:21:27.9160000+00:00","87 mA doesn’t feel like a short","",""
"220639106915368960","tholin","2026-07-12T17:22:04.0510000+00:00","I wish I could simulate a few clock cycles","",""
"220639106915368960","tholin","2026-07-12T17:22:22.7770000+00:00","The best thing I can suggest for a DC analysis is pulling clk_n high","",""
"262706220073222144","namibj","2026-07-12T17:24:36.3890000+00:00","it should be solving until they stabilize; I'm running with the other solver from earlier again to check though.","",""
"262706220073222144","namibj","2026-07-12T17:24:54.1860000+00:00","Feel free to compare the voltages between the two `.prn` files to see if they may be meaningfully different.","",""
