AuthorID,Author,Date,Content,Attachments,Reactions
"323371864074485771","mole99","2026-04-16T13:47:32.1010000+00:00","","",""
"323371864074485771","mole99","2026-04-16T13:47:33.6700000+00:00","Often these issues arise because certain cells are optimized away and thus they cannot be found in subsequent steps. Does your design make use of the reset pad?","",""
"1447738536638943333","dorythecat_v2","2026-04-16T13:48:37.3470000+00:00","It does not!","",""
"1447738536638943333","dorythecat_v2","2026-04-16T13:48:42.6750000+00:00","So that might be it?","","🤞 (1)"
"1447738536638943333","dorythecat_v2","2026-04-16T13:49:06.2090000+00:00","How do you recommend I make it so that it isn't optimized away?","",""
"323371864074485771","mole99","2026-04-16T13:49:44.0700000+00:00","You should be able to use the `(* keep *)` attribute on the module instantiation, if you want to explicitly keep it.","",""
"1447738536638943333","dorythecat_v2","2026-04-16T13:55:38.2700000+00:00","```No instance analog[1\].pad found.      ```","",""
"1447738536638943333","dorythecat_v2","2026-04-16T13:55:43.4840000+00:00","Any idea about this one?","",""
"1447738536638943333","dorythecat_v2","2026-04-16T13:55:52.6810000+00:00","I swear to god I can't stop getting errors 😭","",""
"323371864074485771","mole99","2026-04-16T13:56:56.9400000+00:00","The same thing. If you don't use it in your design it will be optimized away and LibreLane complains when creating the padring.","",""
"1447738536638943333","dorythecat_v2","2026-04-16T13:57:16.3820000+00:00","thing is putting keep doesn't fix it this time xd","",""
"1447738536638943333","dorythecat_v2","2026-04-16T13:58:39.8600000+00:00","It seems like it expects at least one analog to put on the pad... hmmm","",""
"1447738536638943333","dorythecat_v2","2026-04-16T13:59:21.7790000+00:00","Not that either huh","",""
"1447738536638943333","dorythecat_v2","2026-04-16T14:00:27.4540000+00:00","Ahhh the issue is my pad definitions alr lol","",""
