AuthorID,Author,Date,Content,Attachments,Reactions
"732347216412278825","urish","2026-07-17T06:23:20.1150000+00:00","","",""
"732347216412278825","urish","2026-07-17T06:23:21.4500000+00:00","Quick! 🤞 it'll come DRC clean","",""
"596068704471482370","246tnt","2026-07-17T06:28:41.2470000+00:00","🤞","",""
"596068704471482370","246tnt","2026-07-17T06:31:00.3090000+00:00","Is there a list / view of the final project list that made it ?","","👍🏼 (1)"
"1161210755169919007","sudonet","2026-07-17T06:40:05.6170000+00:00","i'm also keen to know what projects made it into the shuttle","","👍🏼 (1)"
"768095480264917023","ghaithalsabagh","2026-07-17T06:50:18.9760000+00:00","yeah something like that one for run 1 https://github.com/wafer-space/ws-run1 would be awesome","",""
"169786952432746498","mithro_","2026-07-17T07:35:13.0240000+00:00","I'm sure @Leo Moser (mole99) will generated a https://github.com/wafer-space/ws-run2 once we have everything confirmed with GF.","","👍 (1)"
"323371864074485771","mole99","2026-07-17T07:45:59.8750000+00:00","Absolutely. First, we need to confirm that our reticle is manufacturable. Afterwards, I'll create the repository for ws-run2.","",""
"596068704471482370","246tnt","2026-07-17T07:48:39.0620000+00:00","What kind of time frame does GF usually take ?  ( like ... a day, a week, a month )","",""
"596068704471482370","246tnt","2026-07-17T07:49:39.9890000+00:00","Also does the final layout use 2 half rows/cols ?","",""
"323371864074485771","mole99","2026-07-17T07:57:39.8300000+00:00","We are actively communicating right now, but it depends on the issue.","","👍 (1)"
"323371864074485771","mole99","2026-07-17T07:58:04.7370000+00:00","For the ws-run2 shuttle, we added these additional cuts.","2026-07_media/more_cuts-B66FE.png",""
"596068704471482370","246tnt","2026-07-17T08:00:37.0850000+00:00","Huh, but in that diagram it looks like you're cutting in the middle of full size projects ?","",""
"1161210755169919007","sudonet","2026-07-17T08:03:19.7730000+00:00","it sure does","",""
"691780627338625077","rebelmike","2026-07-17T08:12:52.3230000+00:00","So 9 quarter slots, 18 1x0p5 and 9 0p5x1?","",""
"691780627338625077","rebelmike","2026-07-17T08:13:32.3650000+00:00","Plus 18 full size","",""
"1161210755169919007","sudonet","2026-07-17T08:13:42.0840000+00:00","looks like it","",""
"1161210755169919007","sudonet","2026-07-17T08:13:55.1160000+00:00","if that cut is intentional","",""
"351484320432521226",".leonmc","2026-07-17T08:14:00.3360000+00:00","Why is that surprising? It wouldn't make much sense to add a cut on top of an existing cut.","",""
"1161210755169919007","sudonet","2026-07-17T08:14:44.0820000+00:00","fair point","",""
"596068704471482370","246tnt","2026-07-17T08:15:13.7880000+00:00","@Leon I would have expected the image underneath to use the right size of projects for the tiling. So actually show 9 quarter slots, 18 1x0p5, 9 0p5x1 and 18 full sizes.","",""
"596068704471482370","246tnt","2026-07-17T08:15:48.0160000+00:00","Rather than show full size dies sliced in half.","",""
"351484320432521226",".leonmc","2026-07-17T08:15:49.4780000+00:00","Ah, I assumed the image was from run 1, and they hadn't generated a corresponding image for run 2 yet","",""
"323371864074485771","mole99","2026-07-17T08:16:28.9020000+00:00","That number is correct. The image is only for illustration and doesn't yet show run 2 :)","","👍 (2)"
"1161210755169919007","sudonet","2026-07-17T08:16:43.1440000+00:00","`:)`","",""
"1161210755169919007","sudonet","2026-07-17T08:22:18.9420000+00:00","damn that's a lot of half-heights","",""
