AuthorID,Author,Date,Content,Attachments,Reactions
"413143556103077898","kcolley","2026-07-16T22:46:48.3030000+00:00","","",""
"413143556103077898","kcolley","2026-07-16T22:46:50.1200000+00:00","Very cool! Documentation of instruction format could use some improvement though. It took me a while to figure out that this architecture **CAN** in fact read memory, as the opcode is actually only 3 bits (not 4 like in the readme) and the top bit is actually the ""read memory bit"". Predicates aren't defined either, so I'm still a bit confused on what bits to set for the C/Z/Invert predicate bits to do something logical, or if there's a way to make an unconditional instruction.","",""
"413143556103077898","kcolley","2026-07-16T22:48:10.1620000+00:00","And if I'm correct the only way to branch is by writing to the PC register? Which combined with predicates instructions allows for conditional branching, nice","","✅ (1)"
"413143556103077898","kcolley","2026-07-16T22:51:37.9830000+00:00","Also I think there's no way to add reg + reg, you can only add reg + imm or reg + mem?","","✅ (1)"
"1161210755169919007","sudonet","2026-07-16T23:52:07.1110000+00:00","documentation, indeed, needs improvement","",""
"1161210755169919007","sudonet","2026-07-16T23:52:49.0330000+00:00","the opcode is actually 3-bit, as you stated","",""
"1161210755169919007","sudonet","2026-07-16T23:56:01.8730000+00:00","but there is a modifier for the ADD/ADC mnemonics in line 35 of as16.v: `ADD, ADC : {carry, result} = grf_dout + OR_q + (!IR_q[8] & C_q);`","",""
"413143556103077898","kcolley","2026-07-17T00:02:15.0360000+00:00","Though bit 8 is just one of the normal opcode bits, specifically the low bit that distinguishes between ADD and ADC. So still a 3-bit opcode","","✅ (1)"
"1161210755169919007","sudonet","2026-07-17T00:02:35.7270000+00:00","exactly.","",""
"413143556103077898","kcolley","2026-07-17T00:23:51.9080000+00:00","Oh also it looks like you can only read and write to constant memory addresses? No array indexing or stack?","",""
"413143556103077898","kcolley","2026-07-17T00:24:05.8880000+00:00","Unless you do some self modifying code shenanigans, I guess...","",""
"1161210755169919007","sudonet","2026-07-17T00:27:47.9170000+00:00","well, `EA_ED` does let you add a reg to an offset to form an address...","",""
"413143556103077898","kcolley","2026-07-17T00:29:17.0860000+00:00","Ah, missed that","","👍 (1)"
"413143556103077898","kcolley","2026-07-17T00:29:42.3810000+00:00","I also don't see how sram is connected to anything in the core module. Seems unconnected?","","✅ (1)"
"1161210755169919007","sudonet","2026-07-17T00:29:50.7920000+00:00","exactly","",""
"1161210755169919007","sudonet","2026-07-17T00:30:10.5700000+00:00","kinda just hardwired it outside from the cpu","",""
"413143556103077898","kcolley","2026-07-17T00:30:36.5210000+00:00","So you're planning to use an external SRAM chip and ignore the internal SRAM you're generating?","",""
"1161210755169919007","sudonet","2026-07-17T00:30:44.1280000+00:00","yep","",""
"1161210755169919007","sudonet","2026-07-17T00:31:03.2310000+00:00","just going to treat the as16 as a microprocessor","",""
"1161210755169919007","sudonet","2026-07-17T00:31:50.3400000+00:00","besides, i kinda rushed the design in those 3 days","",""
"413143556103077898","kcolley","2026-07-17T00:32:08.2270000+00:00","Gotcha, yeah that was a very quick window haha","",""
"1161210755169919007","sudonet","2026-07-17T00:36:08.0170000+00:00","overall, i'm kinda happy for my first tapeout","","👍 (1)"
"413143556103077898","kcolley","2026-07-17T01:02:57.4860000+00:00","Yeah looks like it'll be a fun chip to play around with!","",""
"413143556103077898","kcolley","2026-07-17T01:02:57.7110000+00:00","congrats 🙂","",""
"1161210755169919007","sudonet","2026-07-17T01:11:47.6240000+00:00","thx","",""
"1161210755169919007","sudonet","2026-07-17T01:12:04.0870000+00:00","i'm not sure how i'm going to wirebond it","",""
"1161210755169919007","sudonet","2026-07-17T01:12:19.5740000+00:00","as i didn't choose for COB packaging","",""
"1161210755169919007","sudonet","2026-07-17T01:13:50.9660000+00:00","i'll probably have to find some national facility to do it for me as an ""academic institution""","",""
"1161210755169919007","sudonet","2026-07-17T01:24:13.0470000+00:00","also i'm not sure about pinout","",""
