AuthorID,Author,Date,Content,Attachments,Reactions
"732347216412278825","urish","2026-09-20T14:47:19.3380000+00:00","","",""
"732347216412278825","urish","2026-09-20T14:47:20.6940000+00:00","Thanks for the TT shoutout @BreakingTaps !","","💜 (1)"
"169786952432746498","mithro_","2026-09-20T15:06:19.2610000+00:00","I like how he calls writing cocotb test benches the easy way and the FPGA version the ""real"" way of testing 😛","",""
"169786952432746498","mithro_","2026-09-20T15:07:06.8370000+00:00","Every professional ASIC designer I know would probably use the exact opposite definition 🙂","",""
"384390069412429834","polyfractal","2026-09-20T15:15:58.0030000+00:00","haha can tell I came from programming land I guess 😄","","😂 (1)"
"384390069412429834","polyfractal","2026-09-20T15:16:06.9440000+00:00","of course! ❤️","",""
"378916678056280065","bonkedbygod","2026-09-20T19:23:56.6820000+00:00","what a beautiful video! how did you make these electrical propagation graphics?","2026-09_media/image-0F590.png",""
"384390069412429834","polyfractal","2026-09-20T19:36:19.8580000+00:00","thanks! Blender + Librelane basically. I ran the code snippets through a librelane build to get the final GDS, some python to extract the layers and turn them into 3D shapes, then cocotb/ngspice simulations to get the ""activity"" pulses. Some more python to key the animation in blender and off to render","","🔥 (1)"
"169786952432746498","mithro_","2026-09-21T01:37:46.3180000+00:00","Also awesome that you featured @psychogenic! His channel really should have a few 100k more followers than it does!","","💯 (1),❤️ (1)"
"169786952432746498","mithro_","2026-09-21T01:38:09.1490000+00:00","@BreakingTaps - Can't wait to see your next one.","",""
"937144360284348487","psychogenictech","2026-09-21T02:18:36.0100000+00:00","I saw! 
Actually got a light bump in subscribers today and I'm quite certain it's from the mention.  Thanks @BreakingTaps  🙂","2026-09_media/Screenshot_from_2026-09-20_22-17-03-14DBB.png","👍 (1),💜 (1)"
"169786952432746498","mithro_","2026-09-23T00:30:28.2390000+00:00","@BreakingTaps - It looks like your video is at 270k views so far!","",""
"384390069412429834","polyfractal","2026-09-23T00:52:39.0480000+00:00","yeah! not terrible! although YT changed how they count views recently, so it's probably closer to 100-150k ""real"" views under the old system 🙂","",""
"169786952432746498","mithro_","2026-09-23T00:55:46.6610000+00:00","@BreakingTaps - How does that compare to other videos?","",""
"169786952432746498","mithro_","2026-09-23T00:56:06.3240000+00:00","I did see various YouTubers complaining about that or something.","",""
"384390069412429834","polyfractal","2026-09-23T01:02:26.6860000+00:00","upper middle of the pack I think? not a knockout viral banger, but not bad. especially for a pretty technical topic I'm not displeased.

Yeah a view used to be anyone that stayed 30 seconds or longer. now it's just anyone who clicks on the video. So if you bounce after 2s it still counts. Doesn't _really_ matter since it's kind of a vanity metric anyway (watch time is more important generally) but now all the analytics are messed up since the historical numbers don't match. just kinda irritating","",""
