AuthorID,Author,Date,Content,Attachments,Reactions
"323371864074485771","mole99","2026-07-15T12:34:16.2980000+00:00","","",""
"323371864074485771","mole99","2026-07-15T12:34:17.1410000+00:00","That is strange. Are you sure you are using the exact same precheck version?

Is your design proprietary? If so, could you DM me the DRC violations so I can take a look?","",""
"1484537281934131200","dburnett_98395","2026-07-15T12:34:43.7740000+00:00","Not proprietary","",""
"323371864074485771","mole99","2026-07-15T12:34:46.2700000+00:00","The project name would also suffice for a first look.","",""
"1484537281934131200","dburnett_98395","2026-07-15T12:34:49.4190000+00:00","2026-07-15 12:16:43 +0000: Memory Usage (11687104K) : DRC RESULT: FAILURE (5 violation(s))                                                                                                              
2026-07-15 12:16:43 +0000: Memory Usage (11687104K) : Violated Rules:                                                                                                                                   
2026-07-15 12:16:43 +0000: Memory Usage (11687104K) :   'M3.3'               :     2 violation(s)                                                                                                       
2026-07-15 12:16:43 +0000: Memory Usage (11687104K) :   'MT.1'               :     3 violation(s)","",""
"1484537281934131200","dburnett_98395","2026-07-15T12:35:11.3340000+00:00","project CRUD","",""
"1484537281934131200","dburnett_98395","2026-07-15T12:36:00.8510000+00:00","This was a benchmark we submitted before applying the manual PDN fixes we always have to apply; the ""real"" GDS is still chugging along under project CRD2","",""
"1484537281934131200","dburnett_98395","2026-07-15T12:59:48.8330000+00:00","As for versions, the student generating the full GDS and doing the hand fixes isn't responding. I think he might have fallen asleep (it's 9am here and the team has been up all night fixing a precheck sealring issue)","",""
"323371864074485771","mole99","2026-07-15T13:14:20.6170000+00:00","Did you make sure that the PDK of the precheck is up to date? Maybe there was a mismatch.","",""
"1484537281934131200","dburnett_98395","2026-07-15T13:44:10.2650000+00:00","That's what I'm waiting on a response for","",""
"1484537281934131200","dburnett_98395","2026-07-15T13:45:02.0480000+00:00","Oh sorry I see what you're asking, yes I'll ask about that too. Unlikely but I agree worth a check","",""
