AuthorID,Author,Date,Content,Attachments,Reactions
"262706220073222144","namibj","2026-09-07T14:54:02.1160000+00:00","","",""
"262706220073222144","namibj","2026-09-07T14:54:06.0130000+00:00","I'm actually surprised you haven't yet tried pulsed illumination to combat the severe slow-down of pausing at each position....
If you have a PI5 on the camera it should manage over 20 fps.... (at full resolution) <https://forums.raspberrypi.com/viewtopic.php?p=2227660#p2227660>.

The trick would require rather effective strobe-centric illumination though; for continuos motion along the 3040px direction you'd be looking at flashing for about 13 microseconds duration with a full frame worth of photons.

""Just"" needs pulse-shaped excitation or an active reverse current pulse on end-of-pulse to rapidly stop the glow.

Oh, also, that's math with 0% overlap between images; I'm assuming you're doing substantial overlap for post-processing alignment and such purposes.

The harder part I guess is that 99.9% to 99.99% of light need to happen within that short single-line-duration of the frame.
So dark surroundings and driving the strobe to be very much dark at the other times.
Thankfully I think a simple series resistor (current limiting) drive with a simple half-bridge would do. The active-low drive discharges the stray capacitance in the LEDs and the rest of the circuit to prevent them from emitting light.

Also probably annoying to look at with this meager frame rate the only-half-the-lanes setup causes 🙁","",""
"169786952432746498","mithro_","2026-09-08T00:33:51.5440000+00:00","@namibj - I have the random idea of treating the microscope / camera more like a satellite continuously moving over the earth and using a lot of the signal processing those guys use to generate images.","",""
"262706220073222144","namibj","2026-09-08T00:34:22.6840000+00:00","I mean you can do some of that","",""
"262706220073222144","namibj","2026-09-08T00:34:57.0420000+00:00","but there are some issues about noise scaling with signal amplitude of a pixel that discourage shoving the deblurring to software","",""
"262706220073222144","namibj","2026-09-08T00:35:47.0410000+00:00","but like you can move it continuosly","",""
"262706220073222144","namibj","2026-09-08T00:36:02.9000000+00:00","this kind of strobe isn't hard for the tiny spot size of a microscope","",""
"262706220073222144","namibj","2026-09-08T00:36:36.5590000+00:00","(I don't think it exceeds what LEDs can be reasonably convinced to output, even with fairly poor illumination optical economy.)","",""
"262706220073222144","namibj","2026-09-08T00:37:33.2410000+00:00","the ultra mode of strobe light are diode-pumped Q-switched Nd:YAG","",""
"262706220073222144","namibj","2026-09-08T00:38:01.0780000+00:00","they do from 10 to 1000 Hz and 5~50 ns pulse duration at pretty high efficiency","",""
"262706220073222144","namibj","2026-09-08T00:38:20.1500000+00:00","but that's not needed for these lower frame rates 🙂","",""
"169786952432746498","mithro_","2026-09-08T00:39:45.9360000+00:00","There is a bunch of fancy maths that lets you take the continuous stream of the pixel data, the information about the rough velocity, and the relative pixel position to do super resolution / reverse convolution reconstruction of what things must look to produce the pixel data.","",""
"262706220073222144","namibj","2026-09-08T00:39:53.3960000+00:00","Like I'm talking about fitting about 500x more LED die in there as would normally be needed, but with overall less harsh thermal management solution.","",""
"169786952432746498","mithro_","2026-09-08T00:40:50.4340000+00:00","","2026-09_media/image-0750C.png",""
"262706220073222144","namibj","2026-09-08T00:40:50.5080000+00:00","Yeah you can do, it's just that some of the sample noise of the image sensor with a photodiode well that integrates during sampling interval is increased at increased count","",""
"262706220073222144","namibj","2026-09-08T00:40:59.5120000+00:00","which blurs over","",""
"169786952432746498","mithro_","2026-09-08T00:41:24.5700000+00:00","@namibj - Yeah, you are talking about a different thing to what I'm talking about. I'm just rambling 🙂","",""
"262706220073222144","namibj","2026-09-08T00:41:38.0710000+00:00","yeah doesn't need to be 1:1, can do 1:10 easily","",""
"169786952432746498","mithro_","2026-09-08T00:41:58.0340000+00:00","Microscope objectives are expensive 😉","",""
"262706220073222144","namibj","2026-09-08T00:42:04.8990000+00:00","I've done a bunch of research years back in multiframe blind deconvolution","",""
"262706220073222144","namibj","2026-09-08T00:42:38.4270000+00:00","well this doesn't need one to be free of distortion","",""
"262706220073222144","namibj","2026-09-08T00:43:07.8680000+00:00","just flat field and low enough chromatic abberation","",""
"262706220073222144","namibj","2026-09-08T00:43:45.7390000+00:00","if you use 3 pulses of colored LED and a monochrome sensor you don't need the low chromatic abberation but your color repdouction will be wonky","",""
"424865332075954196","infosecdj","2026-09-10T10:07:37.1570000+00:00","This sounds really useful, and I am looking forward to seeing such a system running. Unfortunately, I don't have neither time nor energy to invest into *one more* project at time moment 🥲","",""
"262706220073222144","namibj","2026-09-12T15:33:23.0540000+00:00","If I understood the illumination geometry better I could probably do some math about it","",""
