AuthorID,Author,Date,Content,Attachments,Reactions
"596068704471482370","246tnt","2026-07-17T07:17:33.7070000+00:00","","",""
"596068704471482370","246tnt","2026-07-17T07:17:34.4100000+00:00","I'm not sure it will change anything at all.","",""
"290925586266980352","osvel","2026-07-17T07:20:33.7320000+00:00","Yeah right, I think namibj told me earlier that the substrate is not really simulated properly.","",""
"290925586266980352","osvel","2026-07-17T07:22:00.6640000+00:00","I've drawn my tap cells like those generated in klayout (on one side, made of psd/psc) but I feel like I don't really know what I am doing and hoping that simulations can later spot my issues.","",""
"596068704471482370","246tnt","2026-07-17T07:23:37.1980000+00:00","I wouldn't count on it.","",""
"596068704471482370","246tnt","2026-07-17T07:23:51.4750000+00:00","But wether that matters or not depends a lot of what you're doing.","",""
"596068704471482370","246tnt","2026-07-17T07:25:06.8360000+00:00","My understanding is it's mostly about tiny noise and cross talk between circuits, catching stray substrate currents. If you're circuit isn't super low noise or that sensitive, should be just fine","",""
"596068704471482370","246tnt","2026-07-17T07:25:24.9620000+00:00","Just my 2 ct.","",""
"290925586266980352","osvel","2026-07-17T07:32:33.6300000+00:00","Appreciate all cents i can get 🙂 I'm fine with a bit of noise. Its mostly latch-up I want to be sure I avoid, but maybe its not such a large problem. I have been browsing some designs and I think my method is fine.","",""
"596068704471482370","246tnt","2026-07-17T07:39:59.3540000+00:00","Latchup you should be fine. The DRC will check there are enough taps and if there are wired to the proper rail it's all good.","",""
