AuthorID,Author,Date,Content,Attachments,Reactions
"797470890765582377","deempak","2026-07-01T13:24:35.6050000+00:00","Can i add custom chip art on the top and bottom right corner ( similar to the wafer space logo and qr in the left ) ? Or can i only add inside the pad ring ?","",""
"384390069412429834","polyfractal","2026-07-01T16:29:16.7850000+00:00","yep, you can! I have a little image on the bottom right of mine. I think the top right may be reserved for an arrow this time around (to help the wirebonding alignment) so I think we can't use that corner","2026-07_media/image-44729.png",""
"797470890765582377","deempak","2026-07-01T18:18:45.6500000+00:00","Hey sure got it thank you much Will use only the bottom right","","👍 (1)"
"323371864074485771","mole99","2026-07-01T18:27:22.9750000+00:00","You are also free to replace the wafer.space logo on the top left. The precheck only checks the bottom left and the top right, if you have CoB enabled.","",""
"384390069412429834","polyfractal","2026-07-02T21:55:05.7570000+00:00","hah, I was skimming an old Adapteva parallela forum post looking for something and saw @tnt. Guess I shouldn't be surprised 🙂","",""
"596068704471482370","246tnt","2026-07-02T21:57:28.1950000+00:00","@BreakingTaps Good old times 😅","","😁 (1)"
"384390069412429834","polyfractal","2026-07-04T04:50:04.0100000+00:00","Chinese open source 55nm PDK? https://github.com/openecos-projects/icsprout55-pdk

(Found via https://mp.weixin.qq.com/s/hDV_g7wtZvxg2IIAZ1XvGA)","","😅 (1)"
"596068704471482370","246tnt","2026-07-04T05:02:09.3570000+00:00","@BreakingTaps It was mentionned at FSiC last year but ... Not really open. If you look at it there is not much there. You get a standard cell library but only abstract view, no GDS. No DRC rules or any device simulation model.  So you can ""assemble"" a chip with purely digital design but nothing more, nothing custom, ...","","👍 (1)"
"596068704471482370","246tnt","2026-07-04T05:02:49.9850000+00:00","So you can do basically the same you can do with a FPGA.","",""
"384390069412429834","polyfractal","2026-07-04T05:04:14.0000000+00:00","ah, welp","",""
"384390069412429834","polyfractal","2026-07-04T05:04:35.5890000+00:00","maybe some day we'll get a 50-65nm open PDK","",""
"756011607603019777","anfroholic","2026-07-04T15:50:02.3450000+00:00","I'll just leave this here....
-# Sometimes I feel I should not be allowed to use tools","2026-07_media/chip_top-0BC67.png","❤️ (8),🤣 (1)"
"756011607603019777","anfroholic","2026-07-04T15:50:50.4960000+00:00","It's DRC clean btw","",""
"384390069412429834","polyfractal","2026-07-04T16:41:21.9360000+00:00","haha that's amazing. i can't imagine making it DRC clean too 😄","","💜 (2)"
"1146677029178179584","myyerrol","2026-07-05T01:02:03.7310000+00:00","Next week at FSiC 2026, we'll be introducing the latest updates on the ics55 pdk, eda tools, and design platform, etc. We have also upgraded the ics55 pdk from tier1 to tier 0. Moving forward, we're planning the roadmap, restructuring the repo based on sky130, gfmcu180, ihp130, and will be gradually releasing the remaining files over the next some months.","",""
"509798510170865675","essen__","2026-07-05T01:28:36.1890000+00:00","Maybe we should indeed re-evaluate your permission to use tools 🤣","","💯 (2)"
"169786952432746498","mithro_","2026-07-07T14:54:31.5900000+00:00","Are you connected to ics55 in some way?","",""
