AuthorID,Author,Date,Content,Attachments,Reactions
"797470890765582377","deempak","2026-07-10T15:49:25.3510000+00:00","Hello 
I have a few questions 
Is the precheck that happens on the platform same the one we can run locally from the GitHub? 
And if i upload gds now can i change it before the 15th . 
What about the chip id does the platform add it  later ?","",""
"691780627338625077","rebelmike","2026-07-10T15:54:03.0040000+00:00","Yes you can make revisions. Though possibly not after you hit submit for manufacture. It runs the precheck without you doing that though, and yes I believe the precheck is the same as the one in GitHub.
The platform populates the id automatically","",""
"797470890765582377","deempak","2026-07-10T15:54:11.8070000+00:00","Or if there is any doc for this information can anyone link that for me please","",""
"797470890765582377","deempak","2026-07-10T15:54:29.2170000+00:00","Thank you 😊","",""
"797470890765582377","deempak","2026-07-10T15:56:50.5000000+00:00","Where do i get the Project Id it asks while creating a project","",""
"691780627338625077","rebelmike","2026-07-10T15:59:24.8560000+00:00","The four character one? You just choose your own id","",""
"797470890765582377","deempak","2026-07-10T16:00:06.5000000+00:00","Yea, thank you 😊","",""
"323371864074485771","mole99","2026-07-10T16:56:59.5370000+00:00","FYI, you can still submit a new revision for manufacturing until the tapeout deadline.","",""
"691780627338625077","rebelmike","2026-07-10T17:11:34.6820000+00:00","Cool, I was slightly scared of that button 😆","",""
"323371864074485771","mole99","2026-07-10T18:10:56.0360000+00:00","Haha, no need to be scared 😄 
Submit early, submit often!","",""
"262706220073222144","namibj","2026-07-11T13:40:14.4480000+00:00","I assume it works essentially like the equivalent on TinyTapeout does?","",""
"323371864074485771","mole99","2026-07-11T15:21:10.5790000+00:00","That's correct.","",""
"509798510170865675","essen__","2026-07-12T01:52:57.3440000+00:00","~~Oh the subject of project ID, how is that macro generated ? Is it the ""dummy"" filled by the wafer space backend ?~~ Answered my own question 😅 It is done by the `GenerateID` step, as part of the precheck.","","👍 (1)"
"169786952432746498","mithro_","2026-07-12T10:59:13.4870000+00:00","@Deepak - The platform is suppose to give you the command line it ran, so you can replicate a failing run locally.","",""
