AuthorID,Author,Date,Content,Attachments,Reactions
"1447738536638943333","dorythecat_v2","2026-04-15T14:50:46.5580000+00:00","Just found this while purusing this, but, have you looked perhaps into something like MOPA fiber lasers? I don't know nor thinkg you all have a budget for this but it could be interesting to get multiples of slots for big projects imo","",""
"169786952432746498","mithro_","2026-04-18T01:35:14.7390000+00:00","@digshadow is my expert on lasers.","",""
"643551115920670720","digshadow","2026-04-18T03:37:54.0420000+00:00","@Dory yeah that was basically what I wanted to explore more. I actually did laser dicing essentially for open sauce last year by making my own 1"" wafers out of larger wafers using a conventional 50w fiber. For this year I'm hoping to try to laser dice an art / tech demo ""garage gold MPW."" As part of that I'm going to experiment a bit with a 10W 355 and a few other things. I can share more details if you are particularly interested, but probably the discussion will mostly happen on the fossf-silicon discord (basically the SF chaper of hacker fab, DM if you want a link)","",""
"262706220073222144","namibj","2026-04-20T12:09:08.7980000+00:00","Share how close you manage to get to the scribe lines of Run1!","",""
"169786952432746498","mithro_","2026-04-20T12:12:43.3870000+00:00","The current scribe lines at 60um","",""
"169786952432746498","mithro_","2026-04-20T12:16:03.1760000+00:00","Examples of the actual dicing -","2026-04_media/AP1GczPWjcpHHlmQtAKnD7kFVMhoVQr0z26zb4RRTV-DFD89.png,2026-04_media/AP1GczMtcNotsONnDAnM4w6hdKKAlHPp106WvH3Iqn-F7D49.png","❤️ (4),waferspace (2)"
"591049455499739147","crockpotveggies","2026-04-26T20:09:21.7360000+00:00","@digshadow do you think you'll have some results to share prior to closing Run 2? I'm still interested in finding a way to do 2x2 or similar cuts","",""
"643551115920670720","digshadow","2026-04-26T20:57:13.2270000+00:00","@J-Lo sorry can you clarify results? You mean doing laser dicing? That's only getting moved forward as a low priority project. Although I will add that if someone was really interested in that, it probably wouldn't take a lot of money to make it move a lot faster","",""
"643551115920670720","digshadow","2026-04-26T21:01:14.2130000+00:00","I would also go so far due to a combination of factors that the open sauce project is getting considered canceled now. There have been a number of technical barriers to get sputtering back online and I haven't found at least one other person that was really excited to join me for an open semi conductor booth","",""
"643551115920670720","digshadow","2026-04-26T21:01:33.2970000+00:00","I will see if I can get things over the edge, but it's kind of teetering right now as the application deadline approaches","",""
