AuthorID,Author,Date,Content,Attachments,Reactions
"488155070052171816","rahulbhagwat","2026-07-12T11:38:22.4180000+00:00","I was talking to a small foundry about pricing for their 350 nm node recently, and some of the cost was NRE (to create the mask etc.)

Got me thinking about if we can reduce mpw costs with open nodes if we do some of this work ourselves? even technically it would be cool to have the mask preparation flow be open sourced for open PDKs.

Did some reading online and looks like usually foundries do this themselves as it's highly specialized and they don't want to give manufacturing tool specific data out but it would be cool to still have this option available for open PDKs.

Does anyone have any info about this?","",""
"488155070052171816","rahulbhagwat","2026-07-12T11:39:06.8010000+00:00","looks like there's also a standardised mask set format spec
https://store-us.semi.org/products/p04400-semi-p44-specification-for-open-artwork-system-interchange-standard-oasis-%C2%AE-specific-to-mask-tools","",""
"596068704471482370","246tnt","2026-07-12T12:27:26.1630000+00:00","(1) we don't even have enough info about the open process to generate the mask. Sometimes we don't even know what those masks are.
(2) Even if we did, there is no way the foundry would even let you ... a bad mask could cause issues bringing their production line down.","","👍 (1)"
"596068704471482370","246tnt","2026-07-12T12:29:30.4400000+00:00","ATM they even wince at minor antenna violations ... so I don't see them just accept raw masks blindly.","",""
"488155070052171816","rahulbhagwat","2026-07-12T12:58:25.2120000+00:00","that's interesting, i never thought about how design mistakes could bring down a production line, but makes sense.","",""
"728516105680846892","chips4makers","2026-07-22T12:42:04.9610000+00:00","You also need to be aware that the shapes you design are not the ones that will be put on the mask. The shapes will go through [OPC](https://en.wikipedia.org/wiki/Optical_proximity_correction) before put on the mask to correct for the 2D (non-linear) low-pass filtering of lithography.
You don't have the information to be able to do the OPC and I don't think you will be able to get that information.","",""
"728516105680846892","chips4makers","2026-07-22T12:43:03.0370000+00:00","BTW, although it is called *optical* proximity correction it also takes into account other processing effects like etch.","",""
"728516105680846892","chips4makers","2026-07-22T12:44:00.6060000+00:00","And even if you would be able to do it, I don't think a fab will ever except masks not from a qualified mask supplier.","",""
"262706220073222144","namibj","2026-07-22T12:50:33.9780000+00:00","The OPC aspects would likely be among the least secret aspects there, going by that the wavelength of light is known, AFAIK the type of mask (negative/positive/phase-shift??) is documented (or was that just for sky130, not gf180mcuD?), and it takes only a few test features if done explicitly or likely just a couple dies I guess distributed well across the reticle and wafer scanned under an electron microscope being compared with the actual (post-OPC-editing) masks responsible for the studied shapes, to calibrate a model for like https://opg.optica.org/oe/fulltext.cfm?uri=oe-33-17-37229 or https://arxiv.org/html/2606.00228v1 (the latter literally has https://github.com/laiyao1/LithoGRPO linked in the abstract!)","",""
"728516105680846892","chips4makers","2026-07-22T12:58:49.2830000+00:00","Both the exact exposure conditions (NA, conventional/annular/quadruple illumination) and the resist are considered trade secrets and are critical to be able to do OPC.","",""
"728516105680846892","chips4makers","2026-07-22T12:59:15.8390000+00:00","resist = photosenstive layer.","",""
"728516105680846892","chips4makers","2026-07-22T13:22:38.4630000+00:00","I don't see anything of substance in that repo; only shotcounting analysis.","",""
