AuthorID,Author,Date,Content,Attachments,Reactions
"659826909286498314","andreus1943","2026-09-07T18:37:16.0210000+00:00","Hi, I have a question about the early-bird pricing. If I purchase it now, would I still be able to add the CoB service later?

I need more time to confirm whether my design will fit the standard padframe power pads. If possible, could you also share the contact information for the CoB service provider so I can request a quote for a custom CoB solution for my design?

Thanks!","",""
"262706220073222144","namibj","2026-09-07T19:07:21.7780000+00:00","You can contact @stuart for custom COB.","",""
"1184268085822238821","saladchap","2026-09-09T04:00:35.3270000+00:00","Thanks @namibj 

To close off this question - afaik wafer.space won't offer the ability to 'add on' the standard COB service at a later date, but people can contact me if they need to do this. This is also generally applicable if you need a custom PCB to bond your die to","",""
"262706220073222144","namibj","2026-09-09T06:14:48.5700000+00:00","Do you do/handle the COB service for wafer.space ? If so, could one order with-COB option now and if it turns out to not fit the standard mezzanine apply something like, say, 1000$ of the add-on option's 1500$ price towards the bill of your customized solution?

If such isn't possible, it'd apparently obviously be great if at least this add-on option if not also the undiced wafer option can be ordered after the slot purchase and at least up to the purchase deadline. I'm assuming @Tim 'mithro' Ansell 's business plan expects to be able to order extra wafers along with the primary lot if enough customers buy 2000$ undiced wafers, and still ensure it's profitable?
Or I'd assume a backing/pledge option ""COB add-on, only needed if the slot was purchased bare-dies"" to the crowdsupply campaign would be possible?

(As I just looked at it: why's the crowdsupply deadline more than one full day past the wafer.space website's claimed final clean GDS deadline?)","",""
"169786952432746498","mithro_","2026-09-09T06:26:52.1480000+00:00","I don't really want to support people ""adding cob to an order later"" as it creates a lot of room for things to go wrong.

I'm very happy to ship your bare die to @stuart (or anyone else) and he does whatever you agree with him.","",""
"169786952432746498","mithro_","2026-09-09T06:28:19.4660000+00:00","All deadlines are in the AoE timezone (IE ""Anywhere on Earth"" - https://www.timeanddate.com/time/zones/aoe). I think CrowdSupply tries to display the dates in your own timezone in some way?","",""
"262706220073222144","namibj","2026-09-09T07:23:42.3670000+00:00","Ohhh, fair.

Tbf I'm not really aware of how slot pledges get matched to platform.wafer.space submissions, so might not be particularly robust to handle the assignment of an individual cob-add-on- pledge to the corresponding slot while ensuring no one can claim someone else's pledge as well as no one but the slot owner on platform.wafer.space can trigger the dies getting send off to COB (despite the die's owner not wanting them to be COB'd).","",""
"262706220073222144","namibj","2026-09-09T07:26:57.9590000+00:00","Per attached evidence, the crowd supply deadline is 48 hours past the clean GDS deadline.","2026-09_media/Screenshot_2026-09-09-09-25-19-30_40deb401-9C603.jpg,2026-09_media/Screenshot_2026-09-09-09-25-35-32_40deb401-8E41C.jpg,2026-09_media/Screenshot_2026-09-09-09-25-48-10_40deb401-D4599.jpg",""
"169786952432746498","mithro_","2026-09-09T07:35:13.0240000+00:00","It is currently a manual process with human verification.","",""
"262706220073222144","namibj","2026-09-09T07:41:26.6180000+00:00","(figured as much, though that if anything probably makes allowing late-buys of COB-service harder)","",""
"169786952432746498","mithro_","2026-09-09T08:39:19.6120000+00:00","@namibj - At some point there will be something like ""login in with CrowdSupply"" or ""link your CrowdSupply order"" functionality","",""
