AuthorID,Author,Date,Content,Attachments,Reactions
"1550031311388020736","sim6572","2026-09-17T07:00:49.2170000+00:00","Hello all,
I am an RTL designer with some knowledge on RTL GDSII flow. I am createding a chip with GP180 using LibreLane  flow. Chip seems ready for manufacturing because LibreLane flow ended without errors. However, an ASIC created using this RTL is already in production, but it was created by an external company using my RTL with proprietary PDK and commercial EDA tools. I successfully run my proven in use test cases  on the netlist with SDF coming from my open source flow, so I double-checked the outcome of the open source flow is correct. What concerned me s lot Is the speed degradation. Commercial ASIC is running at 75 MHz, my open source version is instead only 10 MHz capable at High temperature. So 7.5x degradation. I could expect something less performant  but not likes this. I have seen part of the gap is due to primitives, open-source libraries is offering less primitives and the ones equivalent are up to 2x slower, but where is coming from the other part of the gap? Can be explained by less optimized tools? Do you have any similar experience where you can compare the same device realized with proprietary ASIC flow and open source flow? Thanks for any hint.","",""
"323371864074485771","mole99","2026-09-17T07:08:27.9030000+00:00","Hi @Simo6572,

Was your previous chip created using the same GF180MCU process and a proprietary PDK, or did you use a different process?

Note that the foundry-provided standard cell library in the open-source PDK uses the high-voltage transistors, which are slow. Tholin made a community-created standard cell library using the low-voltage transistors, which is much faster running at 3.3V. However, it hasn't been tested yet (the wafers are coming out of the fab this week).","","👀 (1)"
"169786952432746498","mithro_","2026-09-17T07:25:13.1630000+00:00","@Simo6572 - I'm guessing you are likely using something like GF180IC or GF180BCDLite with something like 1v8 standard cells in the proprietary case while using 5v standard cells and the much cheaper GF180MCU in the open source case.","",""
"169786952432746498","mithro_","2026-09-17T07:27:13.9700000+00:00","@Simo6572 - You should also confirm what type of area / performance you have set things up at.","",""
"169786952432746498","mithro_","2026-09-17T07:33:50.2740000+00:00","@Simo6572 - There is some information about the various 180nm process technologies that GF has and where GF180MCU fits in regard to that @ https://wafer.space/gf180","",""
"169786952432746498","mithro_","2026-09-17T07:34:09.7720000+00:00","You could also easily give it a go on SKY130 and see how that compares.","",""
"169786952432746498","mithro_","2026-09-17T08:03:05.1480000+00:00","It is also probably worth inspecting the output from Yosys of your RTL to see if it is doing something silly with your design.","",""
"262706220073222144","namibj","2026-09-17T08:07:32.6730000+00:00","also you need to tell librelane what you need in terms of performance and it'll try to get there. If you ask for 10 MHz it's not gonna try to pass timing in the slow corner at 75.","",""
"1550031311388020736","sim6572","2026-09-17T08:07:47.4830000+00:00","Chip in production is using different process ( anyway is 180nm process) with 3.3v IO and 1.8v Digital core. First GF180MCU flow completed was all 5V. I have just seen right now I can have 3.3v IO and 1.8V     with GF180MCU so I am going to update and re run my flow to compare apples with apples 🙂 Moreover, switching to 1.8v core I found additional  RAM sizes available that are fitting much better my needs","",""
"596068704471482370","246tnt","2026-09-17T08:10:40.5810000+00:00","GF180mcu doesn't have any 1.8V device.","",""
"596068704471482370","246tnt","2026-09-17T08:11:02.2300000+00:00","You can run the standard cells at 1.8V but if you concern is speed, you won't like the resul.t","","ferristhumbsup (1)"
"1550031311388020736","sim6572","2026-09-17T08:17:13.7780000+00:00","So the lib files I can see in the PDK are only about 3.3V standard cells supplied using 1.8V? In this case of course no sense doing that to improve speed and I will select 3.3V for both IO and Core","",""
"596068704471482370","246tnt","2026-09-17T08:23:08.2450000+00:00","They are about 5.0V standard cells supplied using 1.8V.","","😆 (1)"
"262706220073222144","namibj","2026-09-17T08:25:06.3340000+00:00","there are 3v3 SCL but not from global foundries","",""
"262706220073222144","namibj","2026-09-17T08:25:21.0520000+00:00","(on gf180mcuD, and as far as you don't have to sign an NDA to get them)","",""
"1550031311388020736","sim6572","2026-09-17T08:25:44.7660000+00:00","Yes sure, I just relaxed step by step the constrains until I found a value not generating violations in the flow. Later on I will increase again step by step, but when I am sure nothing can be improved in the flow increasing frequency target means RTL changes, adding pipelines and so on","",""
"262706220073222144","namibj","2026-09-17T08:26:07.1120000+00:00","ok just checking","",""
"1550031311388020736","sim6572","2026-09-17T08:26:54.5220000+00:00","Thanks very useful info","",""
"1550031311388020736","sim6572","2026-09-17T09:45:11.3180000+00:00","Assumption is almost correct. Commercial version is 1.8v core and 3.3v IO but a different 180nm proprietary process  while open source version I prepared was 5v. I am preparing now a 3.3v version using gf180mcuD.  Area of commercial version is about 4 mm2 while the first open source version was about 12 mm2 ( but part of the gap was surely due to the size of the ram module available in 5v rams, because to have the needed 1024x10 I used 4 modules). Anyway area is not the major concern until chip can stay in the largest die available for the shuttle. Moreover, 3.3 library provider different macro size for RAM that are better fitting my needs. Frequency is a different story, 10MHz is not enough, may be I can accept same relaxation and not exactly 75MHz, but I must be close to that or this open source chip will be never built because useless","",""
"169786952432746498","mithro_","2026-09-17T09:50:44.3340000+00:00","If your design is open source, then other people can probably also look into it.","",""
"1550031311388020736","sim6572","2026-09-17T09:58:58.9700000+00:00","My RTL is not open-source at all 😅  as well as there are a lot of info I cannot share here about process and companies involved in the commercial version. At the moment this is an investigation to understand the feasibility to build in-house the first prototype of future ASICs as prove of concept ( that is currently done with FPGA based boards)","",""
"262706220073222144","namibj","2026-09-17T10:40:05.0280000+00:00","You'll have to use the Avalon Semiconductors 3v3 SCL to have a good chance; there's an SRAM compiler giving much better density than the foundry open PDK macros offer by @Chips4Makers aka Staf Verhaegen .

Note that the Avalon 3v3 SCL isn't currently too production-ready but that's mostly because there may be bugs left that haven't yet been caught through extracted SPICE behavioral sanity checking.
For purposes of determining if you can do an RTL on a wafer.space slot at least near a target speed, it should suffice.","",""
"323371864074485771","mole99","2026-09-17T10:53:26.4570000+00:00","Note that you can also use Tim Edwards' SRAM macros, which are shrinked versions of the foundry ones.","","👍 (1)"
"323371864074485771","mole99","2026-09-17T10:53:46.5170000+00:00","The project template allows you to choose the 3.3V SCL and SRAMs: https://github.com/wafer-space/gf180mcu-project-template#select-different-ip-libraries","","👍 (1)"
"262706220073222144","namibj","2026-09-17T11:07:21.7820000+00:00","I'm not saying the shrunk foundry SRAM are wrong 😉

But Staf's periphery is far better at least at these sizes.
And should be much more amenable to learning how to be 10bit wide.","",""
"1550031311388020736","sim6572","2026-09-17T18:40:44.5570000+00:00","Thanks to all but RAMs is not my major concern, I am wasting a bit of chip area but there is no timing violations related to menories trying to increase frequency. Switching from 5v to 3.3v max frequency increased by 50% and I am now at 15 MHz, of course still far from 75 MHz target. I guess I should start modifying my RTL. Of course is someone has some idea to further challenge the flow Is more than welcome. Thanks","",""
"262706220073222144","namibj","2026-09-17T21:16:37.1890000+00:00","If you haven't yet I'd suggest you try the recommended above (by mole99) way of using the Avalon SCL.

But yeah, do expect to need RTL work.

Assuming the librelane synth flow is mildly at a disadvantage to your tuned commercial flow, maybe try synthesizing for IHP SG13G2 or SG13CMOS5L (they are the same CMOS SCLs but the 5L has two less metal layers and lacks a bunch of fancy analog stuff to be like only 40% the cost to fab).","",""
