AuthorID,Author,Date,Content,Attachments,Reactions
"1550031311388020736","sim6572","2026-09-17T07:00:49.2170000+00:00","Hello all,
I am an RTL designer with some knowledge on RTL GDSII flow. I am createding a chip with GP180 using LibreLane  flow. Chip seems ready for manufacturing because LibreLane flow ended without errors. However, an ASIC created using this RTL is already in production, but it was created by an external company using my RTL with proprietary PDK and commercial EDA tools. I successfully run my proven in use test cases  on the netlist with SDF coming from my open source flow, so I double-checked the outcome of the open source flow is correct. What concerned me s lot Is the speed degradation. Commercial ASIC is running at 75 MHz, my open source version is instead only 10 MHz capable at High temperature. So 7.5x degradation. I could expect something less performant  but not likes this. I have seen part of the gap is due to primitives, open-source libraries is offering less primitives and the ones equivalent are up to 2x slower, but where is coming from the other part of the gap? Can be explained by less optimized tools? Do you have any similar experience where you can compare the same device realized with proprietary ASIC flow and open source flow? Thanks for any hint.","",""
"323371864074485771","mole99","2026-09-17T07:08:27.9030000+00:00","Hi @Simo6572,

Was your previous chip created using the same GF180MCU process and a proprietary PDK, or did you use a different process?

Note that the foundry-provided standard cell library in the open-source PDK uses the high-voltage transistors, which are slow. Tholin made a community-created standard cell library using the low-voltage transistors, which is much faster running at 3.3V. However, it hasn't been tested yet (the wafers are coming out of the fab this week).","",""
"169786952432746498","mithro_","2026-09-17T07:25:13.1630000+00:00","@Simo6572 - I'm guessing you are likely using something like GF180IC or GF180BCDLite with something like 1v8 standard cells in the proprietary case while using 5v standard cells and the much cheaper GF180MCU in the open source case.","",""
"169786952432746498","mithro_","2026-09-17T07:27:13.9700000+00:00","@Simo6572 - You should also confirm what type of area / performance you have set things up at.","",""
"169786952432746498","mithro_","2026-09-17T07:33:50.2740000+00:00","@Simo6572 - There is some information about the various 180nm process technologies that GF has and where GF180MCU fits in regard to that @ https://wafer.space/gf180","",""
"169786952432746498","mithro_","2026-09-17T07:34:09.7720000+00:00","You could also easily give it a go on SKY130 and see how that compares.","",""
"169786952432746498","mithro_","2026-09-17T08:03:05.1480000+00:00","It is also probably worth inspecting the output from Yosys of your RTL to see if it is doing something silly with your design.","",""
"262706220073222144","namibj","2026-09-17T08:07:32.6730000+00:00","also you need to tell librelane what you need in terms of performance and it'll try to get there. If you ask for 10 MHz it's not gonna try to pass timing in the slow corner at 75.","",""
"1550031311388020736","sim6572","2026-09-17T08:07:47.4830000+00:00","Chip in production is using different process ( anyway is 180nm process) with 3.3v IO and 1.8v Digital core. First GF180MCU flow completed was all 5V. I have just seen right now I can have 3.3v IO and 1.8V     with GF180MCU so I am going to update and re run my flow to compare apples with apples 🙂 Moreover, switching to 1.8v core I found additional  RAM sizes available that are fitting much better my needs","",""
"596068704471482370","246tnt","2026-09-17T08:10:40.5810000+00:00","GF180mcu doesn't have any 1.8V device.","",""
