AuthorID,Author,Date,Content,Attachments,Reactions
"384390069412429834","polyfractal","2026-02-09T17:12:00.7780000+00:00","I should start working on my new designs in earnest I guess! A lot sooner than I was thinking for some reason...probably best not to repeat the frantic finish-in-one-month sprint like the first run 😅","",""
"169786952432746498","mithro_","2026-02-10T05:57:23.0980000+00:00","I have a spreadsheet @ https://docs.google.com/spreadsheets/d/1KD2Mn7s7WoZ738tmH0LNp_uvDCJVLOdqiyMbqEh0ApU/edit?gid=0#gid=0 - but expect dates to change as I have yet to get confirmation for the wafer out date from GF.","",""
"323371864074485771","mole99","2026-02-10T09:45:18.6880000+00:00","That's a good resolution, but it never works out. In practice, you always end up making last-minute changes 😆","",""
"596068704471482370","246tnt","2026-02-10T10:00:14.9680000+00:00","Did GF confirm fab out now ?","",""
"384390069412429834","polyfractal","2026-02-10T23:26:46.9100000+00:00","😭 😂","",""
"169786952432746498","mithro_","2026-02-14T03:43:03.3610000+00:00","I /think/ I got the wafers out late date yesterday but I won't be able to confirm until Monday that is what the date provided actually is.","",""
"1386929896323944612","thorben_61995","2026-02-17T16:05:27.4950000+00:00","In Run 2, will there be an opportunity to purchase larger slots than 1x1, like 2x1 or 2x2? Or would it mess up all the dicing/sorting?","",""
"169786952432746498","mithro_","2026-02-17T21:58:15.7490000+00:00","They do mess up the dicing / sorting. I have been focusing on smaller slots. Do you actually have the funds for bigger slots?","",""
"1386929896323944612","thorben_61995","2026-02-18T12:01:26.3390000+00:00","That's a pity. Yes, we have funds for bigger prototypes and the 1x1 slot could not fit everything that I wanted. But of course I understand that it makes limited sense to accomodate larger slots if only one person is interested... Anyone else in need of more area in future runs?","",""
"169786952432746498","mithro_","2026-02-22T02:15:01.1080000+00:00","What was your limit? There is plenty of work to improve things like typical place and route density and such","",""
"1386929896323944612","thorben_61995","2026-02-23T16:06:05.7440000+00:00","I already had a utilization of 65% with >400k standard cells (w/o the macros) and it fit about half the logic I wanted, so PnR improvements won't get me there. Proprietary synthesis would probably compress the logic quite a bit, but working with proprietary tools is not an option for this project. Except for larger slots I currently don't really see a solution. If it helps, I think we would be able to pay a reasonable premium for a larger slot and would not necessarily need as many samples.","",""
"596068704471482370","246tnt","2026-02-23T16:22:42.5200000+00:00","Options I can think off the top of my head are :
* Switch to laser dicing
* Run more wafers and dice those just to separate those particular dies
* Switch an entire row / col to the larger format","","❤️ (1)"
"323371864074485771","mole99","2026-02-23T16:37:20.1990000+00:00","Laser dicing would give us a lot of flexibility in mixing different slot sizes.","","waferspace (1)"
"596068704471482370","246tnt","2026-02-23T16:54:38.4680000+00:00","Who's doing the dicing ATM ? Is it GF themselves ?","",""
"323371864074485771","mole99","2026-02-27T07:48:11.9850000+00:00","@Tim 'mithro' Ansell","",""
"169786952432746498","mithro_","2026-02-27T07:55:10.3530000+00:00","So far I have not found a cost effective laser dicing place.","",""
