AuthorID,Author,Date,Content,Attachments,Reactions
"1152597572385525871","jonathan_ha_25034","2025-12-04T14:47:35.7470000+00:00","Hi everyone, we are building our toplevel module out of several designs by using macros. We only have one clock input which is routed to all macros, but they do not run at the same clock frequency. Of course, the timing analysis finds Setup Violations in some macros if the toplevel period is smaller than the period of the macro. But how should we go about this? STA finds Setup Violations in the TT corners and then errors out. Is this fine if we know that the macro will never be used at this frequency or do we at least have to fix all errors?","",""
"169786952432746498","mithro_","2025-12-04T22:21:36.4550000+00:00","I'm pretty sure the precheck does **not** do any timing analysis.","",""
"169786952432746498","mithro_","2025-12-04T22:23:34.2180000+00:00","You might be able to do something trickly like put in a clock buffer per macro and use sdc to set the maximum frequency on the clock buffer output....","",""
"169786952432746498","mithro_","2025-12-04T22:24:00.0860000+00:00","The Tiny Tapeout people like @tnt and @urish might have some other ideas?","",""
"596068704471482370","246tnt","2025-12-04T22:26:54.9700000+00:00","The pre-check doesn't do any STA indeed so if you're confident that the violations are false positives you can ignore it.  But you could also write a custom SDC that just sets up the constraints correctly for each submodule.","",""
"1152597572385525871","jonathan_ha_25034","2025-12-05T08:06:53.6840000+00:00","The precheck runs without problems. I was just concerned about the ""make librelane"" flow, since this one ends with an error due to Setup Violations in the tt corner in this case. Does an error prevent some part of the flow from being run? From the log files it seems that every step was executed","",""
"596068704471482370","246tnt","2025-12-05T08:08:35.4100000+00:00","No, STA errors won't prevent anything from running, they're just informations.","",""
"596068704471482370","246tnt","2025-12-05T08:08:45.3720000+00:00","If you get something in the `final` subdir, then all the steps ran.","",""
"709384666909507634","egorxe","2025-12-05T08:11:59.4640000+00:00","You can add ""Checker.SetupViolations: null"" to the substituting_steps section of config.yaml to stop the LibreLane from failing a flow on timing violations.","",""
"1152597572385525871","jonathan_ha_25034","2025-12-05T08:13:22.0130000+00:00","Okay, thanks very much. I will try that 🙂","",""
"596068704471482370","246tnt","2025-12-05T08:16:19.8430000+00:00","Oh, looks like my info is outdated, I wasn't even aware that flow failed on STA violation now, sorry about that.","","👍 (1)"
