AuthorID,Author,Date,Content,Attachments,Reactions
"1498420485531111548","robtaylor_52029","2026-05-03T18:29:19.7680000+00:00","I see in the [Run 1 density report](https://github.com/wafer-space/ws-run1/blob/density-report/reticle_density_report.md#user-content-fnref-38-4e4d12f3ff508dfac98a29f0039cc54f) that sram1024x8 (OCD) is the best density. I can't see this in the template. Is [RTimothyEdwards/gf180mcu_ocd_ip_sram]( https://github.com/RTimothyEdwards/gf180mcu_ocd_ip_sram) the source of these? are they well tested? @Tim Edwards","",""
"596068704471482370","246tnt","2026-05-03T18:53:38.5960000+00:00","They're not tested at all yet.","","😕 (1)"
"262706220073222144","namibj","2026-05-03T20:13:57.4750000+00:00","If you need them to be tested faster you can probably coordinate with the owner of the preliminary COBs to write a testbench?","",""
"1498420485531111548","robtaylor_52029","2026-05-03T20:28:07.8960000+00:00","can do. who's that?","",""
"596068704471482370","246tnt","2026-05-03T20:41:59.5180000+00:00","It's @Tim Edwards . He's at Latch Up conference ATM.","","❤️ (1)"
"1365118310701600900","rtimothyedwards_19428","2026-05-03T22:05:31.0340000+00:00","I'll be home by Tuesday.  But I don't have any packaged parts yet.  Just the ""for display only"" bare die.","","❤️ (1)"
"262706220073222144","namibj","2026-05-03T22:30:01.4050000+00:00","I think the idea is that, presuming you'd be somewhat tight on time around now to spend on writing that sram-focused testbench, @Rob Taylor could speed up the sram testing by communicating with you to determine how the testing could be reasonably set up in the place that you'd have to test the COBs that I assume are due in a few days (going by the others who shared their shipping timelines), and then writing that testbench for you so you'd at least not start from scratch with it even if you have to tune/adapt it a bit to your equipment in live testing/live debugging.","",""
"169786952432746498","mithro_","2026-05-04T02:16:45.9700000+00:00","@Tim Edwards didn't use the standard pad layout in his chips, so it'll probably be a bit longer before he gets packaged parts.","","❤️ (1)"
"1498420485531111548","robtaylor_52029","2026-05-04T07:15:21.2250000+00:00","@Tim Edwards i think just consider that there's an offer of help if needed when you need it 🙂","",""
"1498420485531111548","robtaylor_52029","2026-05-04T07:16:16.0240000+00:00","would like to use the OCD blocks in the next tapeout, but its no sweat if that's not tractable","",""
