AuthorID,Author,Date,Content,Attachments,Reactions
"319853768550121473","thecomputerguy","2026-04-26T23:17:35.3580000+00:00","While working on https://github.com/MidstallSoftware/aegis/pull/21, I've seen all of these DRC issues and I am stuck:

```
26-Apr-2026 21:54:06 | ERROR   | Violated rules are : {'M1.2b', 'V2.2a', 'M2.1', 'M4.2a', 'M1.2a', 'V1.1', 'M1.1', 'M3.2a', 'V2.1', 'M2.2a', 'M3.1', 'V1.3c', 'V1.2a'}
```

I'm not sure what I am doing wrong but it would be nice to have some help. I've been running my DRC via `nix build .#checks.aarch64-linux.luna-1-gds-verify` and producing the GDS via `nix build .#luna-1-tapeout`.","",""
"262706220073222144","namibj","2026-04-27T01:24:01.2520000+00:00","Try opening the gds in KLayout; `KLAYOUT_PATH=$PDK_ROOT/$PDK/libs.tech/klayout klayout`, then just open the file via the menu; you can then trigger the DRC by clicking run full drc in","2026-04_media/image-B2F54.png",""
"262706220073222144","namibj","2026-04-27T01:24:58.4420000+00:00","you might have to hit the rightmost one of these that says sky130a for me here (the drop-down button on the right edge of it) and select the option that isn't just ""default"".","2026-04_media/image-01F21.png",""
"262706220073222144","namibj","2026-04-27T01:25:43.6350000+00:00","then maybe press that full Torx-shaped button with the T in the shape once after seelcting, before the DRC option in the main menu bar becomes available.","",""
"262706220073222144","namibj","2026-04-27T01:26:46.8830000+00:00","You can then press on any individual line of the report and the offending segments show up in the layout view window as black lines; you can adjust colors and such on the right side of the report window.","",""
"319853768550121473","thecomputerguy","2026-04-27T02:48:55.6250000+00:00","Huh? What would that do?","",""
"319853768550121473","thecomputerguy","2026-04-27T02:49:19.7230000+00:00","Shouldn't I have this information in the log I got from KLayout running through the GDS?","",""
"262706220073222144","namibj","2026-04-27T02:59:13.9820000+00:00","Oh yeah if you have the log file you should be able to open it and view, like this:","2026-04_media/image-DE59E.png",""
"319853768550121473","thecomputerguy","2026-04-27T03:00:40.4010000+00:00","Huh?","",""
"262706220073222144","namibj","2026-04-27T03:00:41.9570000+00:00","run DRC (custom), unselect all (make sure you're not gonna overwrite your nice log), top right file -> open, select the log, enjoy.","",""
"262706220073222144","namibj","2026-04-27T03:01:43.9730000+00:00","I'm assuming you don't want to search for the offending coordinates/shapes in the text files by hand, to try and make sense of what exactly the DRC log entries are blaming/complaining about.","",""
"319853768550121473","thecomputerguy","2026-04-27T03:01:48.4060000+00:00","Do I have to use the GUI for this?","",""
"262706220073222144","namibj","2026-04-27T03:03:26.2080000+00:00","The DRC complaints only narrow down to which cell, and I'm not sure if they blame specific instances of a cell or only ""all"".","",""
"262706220073222144","namibj","2026-04-27T03:08:08.4120000+00:00","The engine itself only really operates on (polygonal, for efficciency, but it might as well be literal as the outcome wouldn't change, just the runtime/memory usage) rasterized/bitmap-view of the GDS layers at the native coordinate quantization ""pixel size"", as the rules rely heavily on performing boolean operations between/across layers to determine things.

It unfortunately doesn't know what source shape caused the problem, only what edge/edge-pair (as in, location) caused the problem. If there are edges at that location from more than one layer you have to guess based on the rule's description which of the options it was.","",""
"262706220073222144","namibj","2026-04-27T03:08:45.9080000+00:00","Technically you can reason about the files without the GUI.
Have you found the file yet?","",""
"319853768550121473","thecomputerguy","2026-04-27T03:11:04.0730000+00:00","I think so","",""
"319853768550121473","thecomputerguy","2026-04-27T03:11:50.1470000+00:00","```
result-4/netlist.spice
result-4/v2spice.log
result-4/raw_netlist.spice
result-4/drc_output/contact.drc
result-4/drc_output/metal1.drc
result-4/drc_output/luna_1_metal4.lyrdb
result-4/drc_output/luna_1_via4.lyrdb
result-4/drc_output/metaltop.drc
result-4/drc_output/via1.drc
result-4/drc_output/layers_def.drc
result-4/drc_output/drc_run_2026_04_26_21_21_23.log
result-4/drc_output/luna_1_geom.lyrdb
result-4/drc_output/luna_1_metal5.lyrdb
result-4/drc_output/luna_1_via2.lyrdb
result-4/drc_output/luna_1_metal2.lyrdb
result-4/drc_output/metal5.drc
result-4/drc_output/metal2.drc
result-4/drc_output/luna_1_metal3.lyrdb
result-4/drc_output/luna_1_via3.lyrdb
result-4/drc_output/via2.drc
result-4/drc_output/luna_1_contact.lyrdb
result-4/drc_output/geom.drc
result-4/drc_output/via4.drc
result-4/drc_output/luna_1_via1.lyrdb
result-4/drc_output/luna_1_metal1.lyrdb
result-4/drc_output/via3.drc
result-4/drc_output/luna_1_metaltop.lyrdb
result-4/drc_output/metal3.drc
result-4/drc_output/metal4.drc
result-4/drc.log
result-4/gds_check.log
```
I think it might be one of the `.drc` files?","",""
"262706220073222144","namibj","2026-04-27T03:12:11.4280000+00:00","given it's named ""output"", I'd presume so.","",""
"262706220073222144","namibj","2026-04-27T03:12:58.0160000+00:00","can you show the first few hundred bytes or so of one of them, I'd start with the `rc_run_2026_04_26_21_21_23.log`?","",""
"319853768550121473","thecomputerguy","2026-04-27T03:13:49.0520000+00:00","That file is quite small","",""
"319853768550121473","thecomputerguy","2026-04-27T03:13:51.5330000+00:00","","2026-04_media/message-D9C0B.txt",""
"262706220073222144","namibj","2026-04-27T03:14:01.9270000+00:00","This is one of the drc result formats that I've encountered; I'm not sure if this is the one you'd have.","2026-04_media/sky130_drc-516D3.txt",""
"319853768550121473","thecomputerguy","2026-04-27T03:14:43.6330000+00:00","Oh, that's the `.lyrdb` files I have","",""
"262706220073222144","namibj","2026-04-27T03:14:49.1730000+00:00","yeah I know it's not the same PDK","",""
