AuthorID,Author,Date,Content,Attachments,Reactions
"509798510170865675","essen__","2026-07-14T19:03:42.4450000+00:00","","",""
"509798510170865675","essen__","2026-07-14T19:03:43.2650000+00:00","Do you want pictures to fuel your fantasies ?","",""
"265875544552243200","vpro","2026-07-15T12:54:28.7930000+00:00","🥹","",""
"509798510170865675","essen__","2026-07-15T13:24:40.5170000+00:00","I have actually never tried there salsa, I will follow your sub-conscience's suggestion. 🫡","",""
"265875544552243200","vpro","2026-07-15T13:43:50.2490000+00:00","you totally should! they have a lot of unique flavours, worth trying them to see which one you like most","","👍 (1)"
"509798510170865675","essen__","2026-07-15T13:45:47.5010000+00:00","Any recommendations of what to start with ?","",""
"265875544552243200","vpro","2026-07-15T13:49:36.2820000+00:00","I personally really enjoyed the Chipotle Garlic they had","",""
"265875544552243200","vpro","2026-07-15T13:49:44.9930000+00:00","huge fan of smoky flavours and whatnot","",""
"265875544552243200","vpro","2026-07-15T13:50:19.2300000+00:00","if you're not a fan of canned salsa, they also have a fresh batch they make sometimes","","👍 (1)"
"509798510170865675","essen__","2026-07-15T14:13:47.2530000+00:00","Thanks, will give it a try. 🍴","","👍 (1)"
"509798510170865675","essen__","2026-07-18T00:55:03.1950000+00:00","@vpro","2026-07_media/rn_image_picker_lib_temp_10133b60-2a6b-440-8863B.jpg",""
"265875544552243200","vpro","2026-07-18T01:15:25.4480000+00:00","incredible","",""
"265875544552243200","vpro","2026-07-18T01:15:45.1190000+00:00","yes the fresh salsa is the bomb, it's quite like the restaurant salsa","","👍 (1)"
"509798510170865675","essen__","2026-07-18T01:44:12.9270000+00:00","I have actually never had HEB salsa, you have hyped me up. 👍","",""
"265875544552243200","vpro","2026-07-18T01:45:58.8160000+00:00","I certainly hope it lives up to expectations now 😭","",""
"509798510170865675","essen__","2026-07-18T02:39:07.3440000+00:00","It was great!","",""
"509798510170865675","essen__","2026-07-18T02:40:01.6550000+00:00","( And I dare not imagine just how hot the max spice version is, since mid seems to be my current limit )","",""
"509798510170865675","essen__","2026-07-18T02:40:14.6840000+00:00","I need to build up my tolerance 🔥 w 🔥","",""
"509798510170865675","essen__","2026-07-18T02:42:17.9780000+00:00","Unfortunately they seemed to be out off most of the more interesting flavors, and had only the classics in stock. But I will really be looking out for the Chipotle Garlic, it sounds intriguing.","",""
"509798510170865675","essen__","2026-07-18T17:09:35.8410000+00:00","@vpro In case we need another reason to prove HEB is the greatest grocery store in the history of the parallel universes: https://blog.haskell.org/enterprise-haskell-at-h-e-b/ 🤣","",""
