AuthorID,Author,Date,Content,Attachments,Reactions
"509798510170865675","essen__","2026-08-05T15:36:23.9660000+00:00","","",""
"509798510170865675","essen__","2026-08-05T15:36:24.6060000+00:00","I have 3 options now: 
option 1: order the correct footprint and try again later
option 2: yolo make the 0603 fit the 1206 footprint with some wire gaping wire
option 3: option 1 + work on another of my devboards board I have been procrastinating on assembling for a while.","",""
"509798510170865675","essen__","2026-08-05T15:36:30.8070000+00:00","","2026-08_media/IMG_20260805_103204_HDR-00990.png",""
"509798510170865675","essen__","2026-08-05T15:40:28.1010000+00:00","Option 2 it is !","",""
"509798510170865675","essen__","2026-08-05T16:37:53.5530000+00:00","Anyways, looks like I need to reset the ""days since last PCB fuck-up"" counter","",""
"509798510170865675","essen__","2026-08-05T22:35:26.7810000+00:00","Well this is unfortunate ...","2026-08_media/9f70386a-2408-4db0-b1e4-d11b1daf3cb1-31186.png",""
"509798510170865675","essen__","2026-08-05T22:35:49.3290000+00:00","I guess that is what prototypes are for 😅","",""
"262706220073222144","namibj","2026-08-07T18:41:03.6360000+00:00","oh I made like triple sure about upside/backside and each line between the manufacturer datasheet and the board footprint with the net labels attached, on the adapter board between ""RJ45"" and shrouded 0.1"" pitch header and shrouded 0.05"" pitch header I did to use the RJ45-tailed version of the Tag-Connect 6-pad noclip cable with a black magic debug probe (and also offer ragular 0.1"" pitch header pinout in case of use with something like JLink or such).

Those connectors are unusually evil in terms of footprint ambiguity.","",""
"262706220073222144","namibj","2026-08-07T18:42:21.6310000+00:00","If you're lucky that can be made to work with bending of the front pins and depending on nuances sufficcient application of solering-tolerant insulation to keep them from shorting in the process....","",""
"509798510170865675","essen__","2026-08-07T18:48:14.5540000+00:00","Oh, we are in agreement about them being evil 😈","",""
"509798510170865675","essen__","2026-08-07T18:49:29.9380000+00:00","Yeah, I could absolutely get away with some bending/rework/fly wires, but I decided to just order the correct footprint and wait a few more days 😅","",""
"262706220073222144","namibj","2026-08-07T19:04:10.3820000+00:00","connector or board?","",""
"509798510170865675","essen__","2026-08-07T19:06:35.1260000+00:00","Connector 😉","",""
