AuthorID,Author,Date,Content,Attachments,Reactions
"169786952432746498","mithro_","2026-01-19T03:29:33.4140000+00:00","@Xobs - FYI","","👍 (2)"
"443147704126668801","carlfk","2026-01-26T15:20:37.4830000+00:00","MicroPython v1.10-308-g421dcd2 on 2020-01-03; fomu with vexriscv","",""
"443147704126668801","carlfk","2026-01-26T15:21:44.3040000+00:00","this is from fomu-workshop tar or something I have from years ago","",""
"443147704126668801","carlfk","2026-01-26T15:23:28.7520000+00:00","if I am runing some py code, and then ^c, it stops but I don't get KeyboardInterrupt like I do on uP on Pico","",""
"443147704126668801","carlfk","2026-01-26T15:24:20.2640000+00:00","really I want to know where uP print('foo') data is buffered","",""
"443147704126668801","carlfk","2026-01-26T15:24:56.8320000+00:00","this code consumes it: https://github.com/CarlFK/dolly/blob/main/logr/consume1.py","",""
"443147704126668801","carlfk","2026-01-26T15:25:36.9020000+00:00","but s.reset_input_buffer()
doesn't seem to do much as the next while loop spits out a bunch of lines","",""
"443147704126668801","carlfk","2026-01-26T15:26:12.8430000+00:00","if I put a sleep(.5), then s.reset_input_buffer() seems to work.","",""
"443147704126668801","carlfk","2026-01-26T15:27:01.7130000+00:00","so I'm guessing I need to wait for the print() data to get into the buffer that cP can reset_, but I'm wonderin where it is pooling up","",""
"691780627338625077","rebelmike","2026-01-26T15:30:27.8010000+00:00","If you can find the source for the build, you'll probably want to look in `ports/<whatever it's called>/uart_core.c`","",""
"691780627338625077","rebelmike","2026-01-26T15:31:12.9060000+00:00","Ctrl-C handling is port specific, as it requires the uart driver to be able to flag a Ctrl-C character has been seen before uP has processed the buffer","",""
"443147704126668801","carlfk","2026-01-26T16:26:05.5460000+00:00","#tomu channel on irc.freenode.net  https://workshop.fomu.im/en/latest/help.html","",""
"443147704126668801","carlfk","2026-01-26T16:26:36.7320000+00:00","I can't find the uP fomu port","",""
"443147704126668801","carlfk","2026-01-26T16:27:46.2660000+00:00","yes I can.  https://github.com/im-tomu/micropython/tree/fomu/ports/fomu","",""
"443147704126668801","carlfk","2026-01-26T16:49:42.2020000+00:00","// Send string of given length
void mp_hal_stdout_tx_strn(const char *str, mp_uint_t len) {
https://github.com/im-tomu/micropython/blob/fomu/ports/fomu/src/uart-core.c","",""
"443147704126668801","carlfk","2026-01-26T16:50:10.7410000+00:00","is this how uP print() gets sent  up the usb serial ?","",""
"443147704126668801","carlfk","2026-01-26T16:50:45.6970000+00:00","I'm still curious where stuff is buffered","",""
"691780627338625077","rebelmike","2026-01-26T18:12:52.0690000+00:00","Yes, that's how the output gets to the serial, I don't think there's any other buffering.  That function just loops until it's managed to give all the characters to `usb_write`, and it is called directly from `mp_print_*` functions (via the `MP_PLAT_PRINT_STRN` macro).","",""
"443147704126668801","carlfk","2026-01-26T18:38:12.0030000+00:00","Somewhere is a 256 byte buffer, and then I think a 2nd larger one.   which may be on the Linux/host and then cPython","",""
"443147704126668801","carlfk","2026-01-26T18:39:53.1320000+00:00","cPython/linux I open the connection, serial.in_waiting shows  0, sleep .1' in_waiting is either 256 or 294 (256 + len(one line of data)","",""
"169786952432746498","mithro_","2026-01-26T21:12:01.5930000+00:00","@carlfk - It would be awesome to update micropython on the Fomu....","",""
"169786952432746498","mithro_","2026-01-26T21:12:11.5170000+00:00","@jimmo might be able to help with that....","",""
"169786952432746498","mithro_","2026-01-26T21:12:59.5400000+00:00","@carlfk - I also found a couple more of the EVT Pi hat boards. I'd love to get them onto https://fpgas.online and convince people to play with them...","",""
"443147704126668801","carlfk","2026-01-26T21:19:17.1240000+00:00","what is a EVT Pi hat board ?","",""
"169786952432746498","mithro_","2026-01-26T21:20:50.5080000+00:00","That blue RPi Hat board which has the same hardware in an easier to look at form factor","",""
"443147704126668801","carlfk","2026-01-26T21:23:42.1790000+00:00","ah - fomu","",""
"594656356594614312","jimmo_","2026-01-26T21:29:57.3600000+00:00","it looks like fomu does some buffering on the usb endpoint too? (i.e. in usb_write - as far as i can tell multiple calls can be coalesced into one endpoint transmission, as opposed to usb_send)","",""
"169786952432746498","mithro_","2026-01-26T21:31:41.1490000+00:00","@Xobs might be able to explain how the USB core works more....","",""
"169786952432746498","mithro_","2026-01-26T21:32:38.5770000+00:00","The ""eptri"" is a keyword there","",""
"169786952432746498","mithro_","2026-01-27T01:30:34.4160000+00:00","@carlfk - maybe we should do a Fomu like this -> https://www.hackster.io/news/the-arduino-uno-now-in-extra-large-7a15236d9e8a","","😆 (2)"
"261705597529882627","xobs","2026-01-27T03:44:50.8310000+00:00","The canonical documentation for eptri is what's generated by lxsocdoc: https://rm.fomu.im/usb.html","",""
"691780627338625077","rebelmike","2026-01-27T07:45:28.8760000+00:00","There’s also https://shop.pimoroni.com/products/pico-jumbo?variant=42095185821779","",""
"169786952432746498","mithro_","2026-01-27T21:19:07.1220000+00:00","Makes me also think of https://monster6502.com/","",""
