AuthorID,Author,Date,Content,Attachments,Reactions
"746955286274900120","tishamdhar","2026-05-06T03:17:51.1640000+00:00","I am interested in designing a metering ASIC for energy. Design block suggestions and toolchains welcome. Looking to use Tiny Tapeout or Wafer Space given space required.","",""
"384390069412429834","polyfractal","2026-05-11T21:46:52.7770000+00:00","world's least optimized pixel array 😂","2026-05_media/image-B049D.png,2026-05_media/Screenshot_2026-05-11_144447-6B6D8.png",""
"262706220073222144","namibj","2026-05-11T23:26:12.2430000+00:00","Are you doing photoelectronics for Run2/3?","",""
"262706220073222144","namibj","2026-05-11T23:27:28.4470000+00:00","(also that's why back illumination and what microlenses are for)","",""
"384390069412429834","polyfractal","2026-05-12T00:36:48.6030000+00:00","If I can get a bit more of it done in the next week or two, yep! Would love to tape this out for Run2.  it's an ""event pixel"" design, where each pixel fires asynchronously when its threshold is breached. They register changes in a scene rather than a clocked frame","",""
"262706220073222144","namibj","2026-05-12T00:50:44.0460000+00:00","ahhhhh.
I was about to say, at that lack of density, might almost go for SPAD (but the DRCs likely prevent the necessary field-smoothing rounding).","",""
"384390069412429834","polyfractal","2026-05-12T01:32:24.8390000+00:00","I should be able to get density higher, ALIGN freaked out once I added the photodiode into the circuit. Either needs some tweaks, or just pull the diode out and hand-place them. but otoh 32x32 is plenty for demonstration and it'll probably make the rest of the project easier so 🤷‍♂️ 🙂","",""
"384390069412429834","polyfractal","2026-05-12T01:33:03.9450000+00:00","SPADs would be neat though!","",""
"384390069412429834","polyfractal","2026-05-12T01:34:19.7620000+00:00","think I saw a paper somewhere with a SPAD done in skywater 130? or maybe even GF 180? will try to find it","",""
"262706220073222144","namibj","2026-05-12T02:39:46.2600000+00:00","I'm just a little sad that silicon's indirect bandgap means you can't just use a photodiode for bidirectional communications like you can with e.g. a 405nm-pumped COTS blue LED (load modulation in photovoltaic biasing severely varies how much shunt current in the diode produces electroluminescence; this is fairly easy to separate at the end with the 405nm source and can be used as a back-channel there).
Unless you happen to know some clever trick that'd allow one to do vertical surface emitting data back channel from on top of a gf180mcuD die to some ""beefier"" system. I mean I guess tbf things like osram/ams's `PLPVYL1 940A_E` 20~60ct/each (depending on quantity) VCSEL do exist... (wish there was a SPICE for it, or even just capacitance information, but oh well....)","",""
"262706220073222144","namibj","2026-05-12T02:41:27.6700000+00:00","ohhh, it even hits nicely into peak Si photodiode A/W efficiency....","",""
"384390069412429834","polyfractal","2026-05-12T04:57:48.5060000+00:00","could abuse resistive elements or even just big gates and emit IR 😅  

I think porous silicon can be used to make an LED without any other materials, but it's a pretty crapp LED iirc (and far red)","",""
"262706220073222144","namibj","2026-05-12T05:00:17.5920000+00:00","tho apparently you can just buy VCSEL for so cheap if you buy ones marketed to lower power IR illumination; I should get one next time and try to measure capacitance.","",""
"376976238528692225","nmz787","2026-05-14T20:09:04.2490000+00:00","AnalogCoder: Analog Circuit Design via Training-Free Code Generation
https://arxiv.org/pdf/2405.14918

LADAC: Large Language Model-driven Auto-Designer for Analog Circuits
https://www.techrxiv.org/doi/full/10.36227/techrxiv.170473941.10097233/v1


Tutorial and Perspectives on MAGICAL: A Silicon-Proven Open-Source Analog IC Layout System
https://par.nsf.gov/servlets/purl/10356326","",""
"376976238528692225","nmz787","2026-05-14T20:09:12.6770000+00:00","@BreakingTaps  ^","",""
"376976238528692225","nmz787","2026-05-14T20:09:17.9190000+00:00","ever come across them?","",""
"384390069412429834","polyfractal","2026-05-14T20:11:03.3730000+00:00","I've seen MAGICAL before! MAGICAL and ALIGN were both funded by the same DARPA program and were sort of sibling projects. After looking over them, it seemed that MAGICAL is abandoned/not-very-active and looked harder to extend to other PDKs (the paper or project had a note about how it was difficult to port).

Dunno about the other two, will take a look!","",""
"169786952432746498","mithro_","2026-05-18T18:47:27.5330000+00:00","Stupid idea, but could the metal layers be used as reflectors and/or diffraction gratings/etc ?","",""
"262706220073222144","namibj","2026-05-18T18:48:29.5780000+00:00","sure, kinda static tho","",""
"262706220073222144","namibj","2026-05-18T18:48:50.2560000+00:00","and I at least don't know how good the absolute scale tolerance of the litho is","",""
"384390069412429834","polyfractal","2026-05-18T19:10:37.3800000+00:00","I was actually looking into using the metal lines as gratings / structural color recently. Unfortunately the min pitch is pretty large. M1 could get you some mid-visible color, but M2+ is all pretty far red. 🙁 

I wonder if you could throw a resistive element under a metal reflector layer and use the thermal expansion though? be sort of like a deformable mirror but fully monolithic 🤔","",""
