AuthorID,Author,Date,Content,Attachments,Reactions
"691780627338625077","rebelmike","2026-06-07T17:40:08.7080000+00:00","Repo here: https://github.com/MichaelBell/prbs31","",""
"691780627338625077","rebelmike","2026-06-07T17:40:20.1780000+00:00","Realised we should probably go to a thread to reduce spam","",""
"262706220073222144","namibj","2026-06-07T17:42:00.6260000+00:00","yeah thread good.

And no, I am after a power-of-two number of outputs per cycle, probably 32.","","👍 (1)"
"262706220073222144","namibj","2026-06-07T17:43:49.8840000+00:00","the fastest data latches are planned to be quarter the output baudrate; the VCO is supposed to run at half the output baudrate","",""
"262706220073222144","namibj","2026-06-07T17:45:01.2040000+00:00","I'll know more about what those mean in GHz in a few hours when I have drawn some cells and did a bit of PEX on them to see what GBW I can hope for once I include the need for loads and at least some amount of routing parasitics.","",""
"262706220073222144","namibj","2026-06-07T17:45:57.5760000+00:00","the PRBS has to in all cases reliably keep up with the baudrate though.","",""
"262706220073222144","namibj","2026-06-07T17:46:33.8380000+00:00","basically up to where it produces substantial BER at the output data bit latches or such","",""
"262706220073222144","namibj","2026-06-07T17:48:07.3240000+00:00","I _think_ I can hope for approximately 15 Gbit/s tops, I _hope_ 10GBASE-KR is decently practical to hit with some amount of margins overall.","",""
"262706220073222144","namibj","2026-06-07T17:49:01.8190000+00:00","Faster would require inductive peaking throughout many parts of the serializer and I do not have infrastructure for planning/simulating the interactions of so many inductors in close proximity.","",""
"691780627338625077","rebelmike","2026-06-07T17:50:00.0380000+00:00","OK, I'll keep one more bit to give you the 32 bits.

This is using Tholin's 3v3 library, clock report says fmax of 348MHz at the worst corner.  So that hopefully won't bottleneck you.","",""
"262706220073222144","namibj","2026-06-07T17:51:04.0170000+00:00","(I can get about 28 GHz GBW out of the transistors and I only ""need"" 1.12x the bitrate to theoretically make it behave.... but it'd be unusable without a decent bit of inductive peaking around the final MUX's.)","",""
"262706220073222144","namibj","2026-06-07T17:51:54.4150000+00:00","How pessimistic is that estimate?
I'm aiming for the tt corner btw.","",""
"691780627338625077","rebelmike","2026-06-07T17:53:08.0670000+00:00","I would normally say fairly pessimistic, though Tholin's library is not well characterised so it's all a bit finger in the air!  nom_tt_025C_3v3 is saying 460MHz","",""
"262706220073222144","namibj","2026-06-07T17:54:09.7750000+00:00","ohhh yeah those numbers I like a good deal more.
I assume it could be told to be somewhat faster if that's put as a constraint? Just in case the serializer predictions come to desire a bit more.","",""
"262706220073222144","namibj","2026-06-07T17:54:55.4280000+00:00","also notably I don't care about how it gets initalized it just can't be all-0's.","",""
"691780627338625077","rebelmike","2026-06-07T17:55:38.5250000+00:00","I can ask but given how simple everything is I don't know whether that would actually change anything.  Removing `en` would probably help if you don't need it.","",""
"262706220073222144","namibj","2026-06-07T17:55:39.3310000+00:00","wait","",""
"262706220073222144","namibj","2026-06-07T17:56:14.2960000+00:00","that code snipped you gave me there, in #analog , that only computes one bit per cycle.","",""
"262706220073222144","namibj","2026-06-07T17:57:19.1290000+00:00","I don't need enable the clock feed to that section is from the serializer anyways; what it would possibly want/need is selecting the user input of the digital tt mux instead","",""
"262706220073222144","namibj","2026-06-07T17:59:50.0950000+00:00","This is iirc not the right view of the polynom, but it's an LFSR with vaguely similar tap structure in some view and the correct output width:

```verilog
module prsg31_stream32 (
    input  wire        clk,
    input  wire        rst,   // synchronous, active-high
    input  wire        en,
    output reg  [31:0] out
);

    reg [31:0] lfsr;

    always @(posedge clk) begin
        if (rst) begin
            lfsr <= 32'hffff_ffff;
            out  <= 32'hffff_ffff;
        end else if (en) begin
            lfsr[31:16] <= lfsr[30:15] ^ lfsr[27:12];
            lfsr[15:4]  <= lfsr[14:3]  ^ lfsr[11:0];
            lfsr[3:1]   <= lfsr[2:0]   ^ lfsr[30:28] ^ lfsr[27:25];
            lfsr[0]     <= lfsr[30]    ^ lfsr[12];

            out[31:16]  <= lfsr[30:15] ^ lfsr[27:12];
            out[15:4]   <= lfsr[14:3]  ^ lfsr[11:0];
            out[3:1]    <= lfsr[2:0]   ^ lfsr[30:28] ^ lfsr[27:25];
            out[0]      <= lfsr[30]    ^ lfsr[12];
        end
    end

endmodule
```","",""
"691780627338625077","rebelmike","2026-06-07T18:02:24.8280000+00:00","Ah, you want 32 cycles per clock?  That makes sense.  I hadn't found a spec - just read wikipedia 😄
It's possible this does the right thing: https://github.com/mgwang37/PRBS/blob/master/Verilog/prbs_generator.v#L336-L372","",""
"262706220073222144","namibj","2026-06-07T18:03:15.3200000+00:00","I sent you spec from the 802.3","",""
"262706220073222144","namibj","2026-06-07T18:04:57.5660000+00:00","see DM btw for link","",""
"691780627338625077","rebelmike","2026-06-07T18:05:53.0860000+00:00","Thanks - got it.","",""
"691780627338625077","rebelmike","2026-06-07T18:07:36.9510000+00:00","I need to go get some food and stuff, I'll be back later.  But theoretically that shouldn't slow things down too much I think, just increase area a bit.","",""
