AuthorID,Author,Date,Content,Attachments,Reactions
"756011607603019777","anfroholic","2026-02-14T07:38:27.1170000+00:00","Just got the test sliced wafers in today. 
It's hard to see, but there's a lot of dies on there","2026-02_media/20260213_224742-83973.jpg,2026-02_media/20260213_225928-38FA7.jpg,2026-02_media/20260213_224910-4C407.jpg","👏 (1),❤️ (1),waferspace (1)"
"756011607603019777","anfroholic","2026-02-14T07:42:55.3460000+00:00","My printer has been trudging away making parts. The gripper is going to be how the maching grabs each feeder when it's that feeder's turn. It's used for stability and location purposes. More coming on that soon","2026-02_media/20260213_224355-23CCA.jpg,2026-02_media/20260214_010354-D9100.jpg",""
"756011607603019777","anfroholic","2026-02-14T07:44:56.8190000+00:00","Also have the feeders more or less designed. Just a few last minor changes and I think we can start rocking on those. I've got some video, but discord doesn't like large files.","2026-02_media/20260214_010141-9841F.jpg,2026-02_media/20260214_014105-58E7A.jpg,2026-02_media/20260214_013918-44C4A.jpg,2026-02_media/20260214_010153-E9FCB.jpg,2026-02_media/20260214_010149-F6C6B.jpg,2026-02_media/20260214_010159-D588B.jpg","❤️ (1)"
"840182560252624916","logic_destroyer","2026-02-15T17:26:44.6750000+00:00","wafers from run 1?","",""
"732347216412278825","urish","2026-02-15T17:32:34.4170000+00:00","nope, run 1 hasn't returned yet","","❤️ (1)"
"169786952432746498","mithro_","2026-02-15T23:26:09.5340000+00:00","We got some blank wafers diced so that Andrew can verify the die sorting machine.","","👍 (4)"
"756011607603019777","anfroholic","2026-02-16T11:50:31.6460000+00:00","","2026-02_media/image-5D2D0.png",""
"756011607603019777","anfroholic","2026-02-16T11:51:06.4360000+00:00","","2026-02_media/image-3F8DB.png","❤️ (2)"
"169786952432746498","mithro_","2026-02-17T22:04:37.1470000+00:00","What is the light blue circle thing?","",""
"169786952432746498","mithro_","2026-02-17T22:05:01.7360000+00:00","In that first picture. I know its the reel in the second one....","",""
"756011607603019777","anfroholic","2026-02-17T22:08:56.4580000+00:00","I'm thinking of having a carousel that all the feeders are hanging on. 
It spins around to index. This way also in the future we could just add another for faster/more die support","",""
"756011607603019777","anfroholic","2026-02-17T22:09:18.0710000+00:00","I'll have much more to show on Wed probably","",""
"443147704126668801","carlfk","2026-02-18T06:14:39.3720000+00:00","","2026-02_media/rn_image_picker_lib_temp_0a71baaf-50f7-484-1C938.jpg","😮 (1)"
"443147704126668801","carlfk","2026-02-18T06:35:12.5270000+00:00","","2026-02_media/2000_0000_000017-6AA9D.JPG",""
"443147704126668801","carlfk","2026-02-18T06:43:53.6960000+00:00","","2026-02_media/2000_0000_000019-FCD0B.JPG",""
"443147704126668801","carlfk","2026-02-18T06:47:12.5130000+00:00","","2026-02_media/2000_0000_000020-EA2BA.JPG",""
"756011607603019777","anfroholic","2026-02-21T18:22:38.6370000+00:00","Hey all, 
I've got a number of components on order so we'll see how things go when I get them. 
A few small changes, I think the chandelier will be direct driven, I have a motor on the way. 

I made the first rev chandelier carousel thing. There's quite a lot of things I don't like, but overall I'm liking the direction. 
I have made some changes to the feeders as there wasn't room for the toolhead with the cover tape where it was, so moved it back futher. 
Probably a lot more, but that's what I have in my mind at the moment.","2026-02_media/image-B2795.png,2026-02_media/20260221_121554-0B9E0.jpg,2026-02_media/20260221_121612-3BF24.jpg,2026-02_media/20260221_121527-B41BC.jpg,2026-02_media/20260221_121535-7AF16.jpg","❤️ (1)"
"840182560252624916","logic_destroyer","2026-02-21T22:31:34.0100000+00:00","crazy","",""
"756011607603019777","anfroholic","2026-02-26T04:20:30.1190000+00:00","I have been trying to figure the best way to get the dies off the tape and a friend shared this video with me. 
It seems I'm going to need to make a thing that pokes from the bottom afterall. 
https://youtu.be/oeSME_ZADe4?si=8j41BsaHpf3qu-0T&t=30","","❤️ (1)"
