AuthorID,Author,Date,Content,Attachments,Reactions
"323371864074485771","mole99","2025-12-11T13:59:34.2540000+00:00","","",""
"323371864074485771","mole99","2025-12-11T13:59:35.4040000+00:00","Hi Andrew, atm the only output is the stitched GDS.
Please let me know what other data you require besides the manifest and the tile map. Both file formats are subject to change, however major changes take time, and the goal is to stitch the final reticle by end of next week.

The tile map grad is based on the smallest slot size, i.e., the quarter slot. This means that half-slot projects are two tiles large and full-slot projects are 2x2 tiles. The shuttle assignment from the [online platform](https://platform.wafer.space/shuttles/G801/assign) needs to be converted to this format.

What output would you need for the dicing plan?","",""
"323371864074485771","mole99","2025-12-11T13:59:50.6490000+00:00","@Tim 'mithro' Ansell Could you give Andrew access to the current shuttle assignment on the platform?","",""
"169786952432746498","mithro_","2025-12-11T14:00:48.3500000+00:00","Let me finish the update to platform.wafer.space first - should be done in an hour or two","","👍 (1)"
"756011607603019777","anfroholic","2025-12-11T14:02:08.2690000+00:00","Next week or something is fine. 
Thanks for getting back to me. 
I don't particularly care about the format. 
Get your stuff done, we can sort it later","",""
"756011607603019777","anfroholic","2025-12-11T14:02:27.1220000+00:00","I'm about to go to bed, so no rush on today either","",""
"323371864074485771","mole99","2025-12-11T14:04:13.3740000+00:00","I will be doing some work on the reticle stitcher anyways, so if you have any requests, just let me know.","",""
"323371864074485771","mole99","2025-12-11T14:04:21.3270000+00:00","Have a good night!","","💜 (1)"
"756011607603019777","anfroholic","2025-12-11T14:09:37.3600000+00:00","I think I'm looking at being able to create a few packages for various jobs. 
A slicing plan for the dicing house `die size`   `reticle location`
Logistics `project name`    `?mouser number?`   `cob option`  when these are on reels and whatnot they need to be easily differentiated when sent around

I understand some data may not actually be in the stitcher, but will be nice if it's compiled somewhere/how","","👌 (1)"
"169786952432746498","mithro_","2025-12-11T18:40:47.4850000+00:00","@Andrew Wingate - You need to login to https://platform.wafer.space","",""
"756011607603019777","anfroholic","2025-12-12T03:14:23.5500000+00:00","I do have an account. 
It's linked to my github if that helps.","",""
"169786952432746498","mithro_","2025-12-12T03:21:24.2660000+00:00","Try and access https://platform.wafer.space/shuttles/G801/assign/","",""
"756011607603019777","anfroholic","2025-12-12T03:21:53.2570000+00:00","Cool, yes I can access it","",""
"169786952432746498","mithro_","2025-12-12T03:23:30.5560000+00:00","Try not to change anything 😛","","👀 (1)"
"756011607603019777","anfroholic","2025-12-12T03:24:37.1950000+00:00","> ocd_sram_test
🤣","",""
"169786952432746498","mithro_","2025-12-12T03:25:06.3680000+00:00","OCD == On Circuit Debug?","",""
"756011607603019777","anfroholic","2025-12-12T03:25:33.8560000+00:00","Yeah, that's exactly what I thought 😜","",""
"323371864074485771","mole99","2025-12-12T05:41:15.5210000+00:00","OCD = Open Circuit Design","",""
"756011607603019777","anfroholic","2025-12-12T05:54:27.9160000+00:00","Sharing is Caring ;)","",""
"323371864074485771","mole99","2025-12-12T07:37:00.9720000+00:00","It's Tim E's company :)
http://opencircuitdesign.com/","",""
"756011607603019777","anfroholic","2025-12-12T07:42:08.4090000+00:00","That went right over my head lol","",""
