AuthorID,Author,Date,Content,Attachments,Reactions
"656941144025858076","ugnas_","2026-04-15T06:58:12.6580000+00:00","Hi, guys, amazing project! I have been following your progress quietly for some time, and I truly believe you are transforming the IC landscape.","",""
"656941144025858076","ugnas_","2026-04-15T06:59:39.8460000+00:00","Sorry if it is off-topic. I am a bit digital designer myself but have not touched any wafer or anything in my life yet 😁","",""
"656941144025858076","ugnas_","2026-04-15T07:00:38.1520000+00:00","I have dreamed about building a SoC myself and a pretty complex one, but honestly do not have an idea how it works in corporate industry.","",""
"656941144025858076","ugnas_","2026-04-15T07:03:17.6710000+00:00","Are there any companies or individuals capable of developing an H.264 encoder ASIC from an existing IP core without requiring a multi-million-dollar budget? Since you have more experience in this field, could you recommend how to find a smaller, less corporate provider to work with?","",""
"1447738536638943333","dorythecat_v2","2026-04-15T07:18:26.6350000+00:00","For companies, you could try something like chipfoundry, or other manufacturers, who offer this service, though it tends to be pretty expensive. Otherwise, you can always try to go for individuals freelancing or even students in need of a thesis xd","",""
"656941144025858076","ugnas_","2026-04-15T07:19:36.5870000+00:00","Thanks!","",""
"656941144025858076","ugnas_","2026-04-15T07:20:54.3630000+00:00","I think is is almost impossible to find someone who freelances in such industry 😁  The community is still too small..","",""
"1447738536638943333","dorythecat_v2","2026-04-15T07:23:42.8730000+00:00","I mean I'm just a student but I've designed chips before for fun so I don't see how getting paid for doing something I enjoy is not a good thing","",""
"1447738536638943333","dorythecat_v2","2026-04-15T07:24:20.8430000+00:00","If you want some help, if not with the chip itself, with resources so you can learn too how to design your own chips (which, if you have FPGA experience isn't really that hard). I'd be glad to lend a hand :D","","❤️ (1)"
"169786952432746498","mithro_","2026-04-15T07:47:08.1660000+00:00","I would not start doing H.264, start with something simple like MJPEG or similar","",""
"656941144025858076","ugnas_","2026-04-15T07:48:22.9380000+00:00","Yeah, thats understandable encoders are very complex. We already have an IP block purchased for FPGA use, I hope we can reuse that.","",""
"709384666909507634","egorxe","2026-04-17T12:24:55.4860000+00:00","If the license for your FPGA IP core allows porting it to another technology (which usually is not the case), it should be doable. But I doubt that GF180MCU is fast enough for H.264 to encode video at any useful speed.","",""
"812217062567051294","azonenberg","2026-04-22T14:50:50.5280000+00:00","also if its a commercial FPGA IP it almost certainly make use of FPGA-specific primitives and might even be an encrypted blob","",""
"812217062567051294","azonenberg","2026-04-22T14:50:55.4690000+00:00","good luck getting that working on ASIC","",""
"169786952432746498","mithro_","2026-04-23T14:17:58.5280000+00:00","I'm not sure how low resolution H.264 allows, maybe you could do a 64x64 pixel H.264 encoder for ants? 😛","",""
"709384666909507634","egorxe","2026-04-23T14:25:11.2480000+00:00","I'm quite sure there are better codec options for that 🙂 .","",""
"220639106915368960","tholin","2026-04-28T12:39:01.0380000+00:00","This is still a thing that can happen? :flop:","2026-04_media/image-893C8.png",""
