AuthorID,Author,Date,Content,Attachments,Reactions
"169786952432746498","mithro_","2025-11-19T20:47:14.7220000+00:00","","",""
"169786952432746498","mithro_","2025-11-19T20:47:15.8650000+00:00","I think @Leo Moser (mole99) mentioned we need to look into why antenna violations are appearing.

OpenROAD is suppose to produce DRC clean results and I believe it should be doing so for GF180MCU.","",""
"538398807986274304","rzioma","2025-11-19T21:43:39.3780000+00:00","I have a similar issue: 11 net and 10 pin violations.

Couldn’t fix them regardless of parameters I have tried so far.","",""
"538398807986274304","rzioma","2025-11-19T21:44:56.2380000+00:00","AntennaRepair step reports that it fixed all the issues, but antenna check afterwards finds the same issues 🤷‍♂️","",""
"538398807986274304","rzioma","2025-11-19T21:49:42.2750000+00:00","Also I can’t seem to find a way to enable pass that does INSERT_ECO_DIODES","",""
"323371864074485771","mole99","2025-11-20T08:19:15.3020000+00:00","Before the second shuttle, I would like to investigate why these antenna violations occur. This can be either a limitation of OpenROAD or a misconfiguration in LibreLane. I will need to compare this with ORFS to see if it produces fewer or no antenna violations when using the open source PDKs.
A small number of low-ratio antenna violations will most likely not cause any problems. Tiny Tapeout has been doing this from the start.

Nevertheless, there are a few things you can do to reduce the antenna violations.

1. You can increase the number of antenna insertion iterations and the margin to overfix them.

These are the default values:

```yaml
GRT_ANTENNA_ITERS: 3
GRT_ANTENNA_MARGIN: 10 # %
```

2. You can manually insert antenna diodes.

```yaml
# https://librelane.readthedocs.io/en/latest/reference/api/steps/index.html#librelane.steps.ECODiode
INSERT_ECO_DIODES:
 - target: ""bidir[0].pad/A""
 - target: ""bidir[1].pad/A""
```

For this to take effect, you also need to add the `Odb.InsertECODiodes` step to the flow.

```yaml
meta:
  version: 3
  flow: Chip
  substituting_steps:
    ...
    +OpenROAD.GlobalRouting: Odb.InsertECODiodes
    ...
    
    (or after detailed routing)
    
    ...
    +OpenROAD.DetailedRouting: Odb.InsertECODiodes
    ...
```","",""
"169786952432746498","mithro_","2025-11-20T11:32:22.5320000+00:00","@Leo Moser (mole99) - OpenROAD has a pretty big CI system","",""
"169786952432746498","mithro_","2025-11-20T11:32:53.5140000+00:00","https://dashboard.precisioninno.com/trends","","❤️ (1),👍 (1)"
"538398807986274304","rzioma","2025-11-20T11:58:52.5360000+00:00","","2025-11_media/image-9E495.png",""
"538398807986274304","rzioma","2025-11-20T11:59:48.9310000+00:00","@Leo Moser (mole99) it looks adding `DRT_ANTENNA_REPAIR_ITERS: 10` did the trick!
Those elusive antennas were result of Detailed Routing. I think that explains why cranking up `GRT_ANTENNA_MARGIN` wouldn't do much for me.","","👍 (2)"
"538398807986274304","rzioma","2025-11-20T12:01:18.8900000+00:00","In contrast my awkward attempts at `INSERT_ECO_DIODES` eventually did fix the antennas, but made LVS to fail 😐","",""
"538398807986274304","rzioma","2025-11-20T12:01:45.1990000+00:00","@Leo Moser (mole99) Thanks for OpenROAD.**Detailed**Routing: Odb.InsertECODiodes tip. Got me thinking! 🙂","",""
"538398807986274304","rzioma","2025-11-20T12:04:27.1550000+00:00","@LukeW could you try `DRT_ANTENNA_REPAIR_ITERS: 10` and see if it helps you too?","",""
"538398807986274304","rzioma","2025-11-20T12:05:17.1200000+00:00","Now lets see if DRC is going to pass :awkwardsweat:","",""
"803213471402688522","_luke_w_","2025-11-20T12:43:16.6650000+00:00","Thanks, my report was with the unmodified template repo, I haven't been running the klayout DRC for development. I can take a look later on tonight.","",""
"323371864074485771","mole99","2025-11-20T14:29:40.4490000+00:00","@ReJ aka Renaldas Zioma I'm wondering how you found out about `DRT_ANTENNA_REPAIR_ITERS`? By chance?
Because it's not yet in the docs, as it was a pretty recent addition to LibreLane :)

The only reason I can think of for why `DRT_ANTENNA_REPAIR_ITERS` is 0 by default is because the whole rip-up and partial routing was quite buggy in OpenROAD until recently. But it seems that it works mostly fine now? If so, I can add this as a default option to the template and we can see how well it fixes antenna violations in different designs.","",""
"538398807986274304","rzioma","2025-11-20T14:33:10.4000000+00:00","@Leo Moser (mole99) by reading logs :awkwardsweat:

There was a warning in the log after detailed routing that DRT_ANTENNA_REPAIR_ITERS is set to 0 and the pass going to be skipped.","",""
"323371864074485771","mole99","2025-11-20T14:36:01.6660000+00:00","Haha, I see 😄 Well done!
I think I'll enable antenna repair after DRT in the template by default. If OpenROAD crashes, we can disable it again. If partial route produces strange results, LVS will alert us.","","👍 (1)"
"169786952432746498","mithro_","2025-11-20T21:55:58.1760000+00:00","@Leo Moser (mole99) - Do we have a tracking bug for the antenna stuff somewhere?","",""
"169786952432746498","mithro_","2025-11-20T21:57:01.7170000+00:00","@Leo Moser (mole99) - BTW The OpenROAD team owes me a few favours (but they are quite busy), so if we need anything from them it should be pretty easy to get fixes done.","",""
"803213471402688522","_luke_w_","2025-11-21T00:37:15.8350000+00:00","Just to confirm, `DRT_ANTENNA_REPAIR_ITERS: 10` fixes my antenna violations","","🎉 (2)"
"323371864074485771","mole99","2025-11-21T06:02:44.6260000+00:00","I will open a LibreLane PR to enable `DRT_ANTENNA_REPAIR_ITERS` by default so that we can track any regressions through the LibreLane CI.","",""
"323371864074485771","mole99","2025-11-21T06:03:39.2050000+00:00","There might be a different issue that I would like to get fixed by the OpenROAD team. I'll let you know 👌🏻","",""
