AuthorID,Author,Date,Content,Attachments,Reactions
"323371864074485771","mole99","2026-05-27T12:57:03.0030000+00:00","","",""
"323371864074485771","mole99","2026-05-27T12:57:04.7110000+00:00","It will mainly be about the logos: besides the QR code, we will also add a readable ID, which will look like this:","",""
"323371864074485771","mole99","2026-05-27T12:57:08.6090000+00:00","","2026-05_media/Bildschirmfoto_vom_2026-05-05_09-35-00-2FCEE.png",""
"323371864074485771","mole99","2026-05-27T12:58:33.6240000+00:00","And for the bonding, it was suggested that the opposite corner should be empty to make it is easier to differentiate. The wafer.space logo will likely be moved in the top left corner. So only the bottom right corner can be used for a user logo.","",""
"596068704471482370","246tnt","2026-05-27T13:00:04.5980000+00:00","Ok, we have a custom bonding setup anyway ( and the changes discussed in #cob would make TT incompatible anyway ) so that shouldn't be an issue.","",""
"262706220073222144","namibj","2026-05-27T13:11:06.9490000+00:00","Oh, custom bonding?
Can I read enough on it two weeks from now to make at least an attempt at respecting the package inductance?","",""
"596068704471482370","246tnt","2026-05-27T13:13:17.8800000+00:00","Huh no ...","",""
"596068704471482370","246tnt","2026-05-27T13:14:44.1900000+00:00","The wire we use is the same, posted in some of the picture, the PCB we wirebond to is on the TT github ... feel free to run an EM simulation if you fancy it, but that's not something we will do as it's inconsequential to 99.99% of TT users ...","",""
"262706220073222144","namibj","2026-05-27T13:19:38.8410000+00:00","That's enough documentation for me then.","",""
"596068704471482370","246tnt","2026-05-27T13:41:39.5940000+00:00","Because of the COB process that means you have to use our big standard breakout so I'm not sure it'll be suitable for anything ""high speed"" in any case.  Processes where you can get the QFN ( sky or ihp ) are more suitable.

I'm hoping TT would also offer ""bare chip"" bonded to a small COB PCB like the W.S one of run.1. but not sure that will happen, that's not my decision.","",""
"262706220073222144","namibj","2026-05-27T15:09:25.3300000+00:00","Huh, are you not doing the same mezzanine plug (just different pinout/bonding diagram) as https://discord.com/channels/1361349522684510449/1361349523724570941/1501331867973193728 ?","",""
"262706220073222144","namibj","2026-05-27T15:10:48.4480000+00:00","(I couldn't find anything that clearly looked like a COB PCB on the TT GitHub that sounded like it applied; the ""best"" I could find was `cobbler`?)","",""
"262706220073222144","namibj","2026-05-27T15:19:05.6410000+00:00","I'd assume TT won't put all 1k dies of the `ttgf0p3`on the fancy breakout boards if there's sufficient interest in some going through the W.S COB ""packaging"" line, but even if not, I don't _think_ extracting an analog pin pair to HF-appropriate and probing-suitable pads/pins would be too much for @azonenberg 's rework skills.","",""
"596068704471482370","246tnt","2026-05-27T15:20:28.7770000+00:00","https://github.com/htfab/breakout-ttgf0p2-cob/tree/main","",""
"596068704471482370","246tnt","2026-05-27T15:21:04.2900000+00:00","We wouldn't put 1k dies on it ... just what we deem necessary and just not do anything with the rest.","",""
"262706220073222144","namibj","2026-05-27T17:08:47.5980000+00:00","Hmmm, if it's JLC04161H-3313, they should be 50Ω single-ended/90~95Ω differential.","",""
"596068704471482370","246tnt","2026-05-27T17:14:28.5470000+00:00","@stuart Do we know what the stackup of the PCBs we use for production is ?","",""
"262706220073222144","namibj","2026-05-27T17:32:25.0050000+00:00","I don't have to know until in those about 14 days from now.","",""
"262706220073222144","namibj","2026-05-27T17:48:17.1200000+00:00","_after_ I have a functional design filed, and if I have several days left until the deadline, I would work to tune performance with PEX to the reasonably-accessible outside interface. I'd not need anything detailed I couldn't quick-maths from the bonding diagram and the analog mux structure before then.","",""
"1184268085822238821","saladchap","2026-05-27T18:02:33.2080000+00:00","Which boards/production?","",""
"262706220073222144","namibj","2026-05-27T18:03:39.9810000+00:00","ttgf0p3 COB/""package""","",""
