AuthorID,Author,Date,Content,Attachments,Reactions
"738396032295108721","bailey8889","2025-12-02T00:32:56.7880000+00:00","","",""
"738396032295108721","bailey8889","2025-12-02T00:32:57.7010000+00:00","Ok, so it's just a big design then. Can you tell which rule it's stuck on by looking at the current log file?","",""
"1187141985530818611","ravenslofty","2025-12-02T00:33:20.9760000+00:00","```
2025-12-01 13:25:53 +0000: Memory Usage (1206676K) : Starting deriving base layers.
2025-12-01 13:28:27 +0000: Memory Usage (2314588K) : Construct connectivity for the design.
2025-12-01 13:28:28 +0000: Memory Usage (2314588K) : Connectivity rules enabled, Netlist object will be generated.
Chip' - Stage 68 - Design Rule Check (KLayout) ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╸━━━━━ 67/77 11:58:20
```","",""
"738396032295108721","bailey8889","2025-12-02T00:33:40.5680000+00:00","Is it thrashing? How's your memory usage?","",""
"1187141985530818611","ravenslofty","2025-12-02T00:33:54.9050000+00:00","57.1 GiB free memory","",""
"1187141985530818611","ravenslofty","2025-12-02T00:34:05.3410000+00:00","4.17GiB used by klayout","",""
"1187141985530818611","ravenslofty","2025-12-02T00:34:39.3390000+00:00","","2025-12_media/WindowsTerminal_FDNGlZY0Mx-04DD1.png",""
"738396032295108721","bailey8889","2025-12-02T00:40:13.8570000+00:00","If you do a 
```
find openlane/<block>/runs/<timestamp>
```
you should see a lot of files generated at each step. If you look in the directory for klayout-drc (not sure of the name), there should be a real time log showing how much time was spent on each rule. Depending on the output buffering, you may be able to tell which rule is currently being checked.","",""
"1187141985530818611","ravenslofty","2025-12-02T00:41:40.4080000+00:00","","2025-12_media/message-AD9A0.txt",""
"738396032295108721","bailey8889","2025-12-02T01:28:55.8890000+00:00","@Lofty So that looks like it's been running for about 2 min. Maybe the step after that is where it's stuck. Might be helpful to look at the log after it completes.

Is there a openlane configuration variable to do `deep` vs `flat` drc? All the configuration variables (including defaults) are in the `openlane/<block>/runs/<timestamp>/resolved.json` file.","",""
"1187141985530818611","ravenslofty","2025-12-02T01:29:52.3720000+00:00","(I killed the run, because I didn't have any reason to believe it would complete after another twelve hours of runtime)","",""
"738396032295108721","bailey8889","2025-12-02T01:30:48.1710000+00:00","@Lofty do you have any old runs still around in a different timestamp directory that completed?","",""
"1187141985530818611","ravenslofty","2025-12-02T01:31:16.0830000+00:00","not anymore, no","",""
"1187141985530818611","ravenslofty","2025-12-02T01:32:06.9510000+00:00","also, I should maybe point out the timezone there. it wasn't running for 2 minutes.","",""
"738396032295108721","bailey8889","2025-12-02T01:40:16.6030000+00:00","@Lofty Not sure what you mean about timezone.
Start time `2025-12-01 13:24:36`
Last enty `2025-12-01 13:25:41`","",""
"1187141985530818611","ravenslofty","2025-12-02T01:40:38.9020000+00:00","yes, and it is currently `2025-12-02 01:40`","","👍 (1)"
"738396032295108721","bailey8889","2025-12-02T01:42:48.8500000+00:00","Ok, either the last few log entries were buffered or it prints after completion and it was stuck somewhere. Probably need a complete log to know for sure.","",""
"1187141985530818611","ravenslofty","2025-12-02T01:43:02.8420000+00:00","that *was* the complete log","",""
"738396032295108721","bailey8889","2025-12-02T01:44:40.6840000+00:00","Sorry, I mean a log file after klayout-drc has completely finished.","",""
"1187141985530818611","ravenslofty","2025-12-02T01:46:29.5480000+00:00","like, even in stdout there were no rules mentioned; I genuinely don't think it made it far enough to get stuck on a rule","",""
"738396032295108721","bailey8889","2025-12-02T01:57:06.8170000+00:00","You may be correct. I have seen log files that are piped or tee'd get buffered though.","",""
"805909190333038612","trev5514","2025-12-02T06:54:30.6860000+00:00","Are you on macOS? I've been running into the same issue","",""
"1187141985530818611","ravenslofty","2025-12-02T10:55:03.4020000+00:00","WSL","",""
"1187141985530818611","ravenslofty","2025-12-02T10:56:31.6160000+00:00","well, I re-ran the flow overnight, and...it's stuck on klayout again","",""
"323371864074485771","mole99","2025-12-02T11:52:03.9350000+00:00","@Lofty Did you came this far?","",""
"323371864074485771","mole99","2025-12-02T11:52:06.6570000+00:00","","2025-12_media/image-30DF2.png",""
"1187141985530818611","ravenslofty","2025-12-02T11:52:12.2630000+00:00","yes.","",""
"1187141985530818611","ravenslofty","2025-12-02T11:52:16.1580000+00:00","and then it hangs.","",""
"323371864074485771","mole99","2025-12-02T11:52:26.3890000+00:00","Alright, let's wait for a while.","",""
"1187141985530818611","ravenslofty","2025-12-02T12:53:23.6840000+00:00","It's been an hour. Any luck?","",""
"323371864074485771","mole99","2025-12-02T12:55:29.3050000+00:00","It's still generating the netlist object. For KianV this took 1-2h iirc. Since your design is all combinatorial I would assume it to take even longer.","",""
"323371864074485771","mole99","2025-12-02T12:57:26.5750000+00:00","However, you can try something else on your end: Go to `gf180mcu/gf180mcuD/libs.tech/librelane` and open `config.tcl`.
Set `conn_drc` to false: `dict set ::env(KLAYOUT_DRC_OPTIONS) conn_drc false`","",""
