AuthorID,Author,Date,Content,Attachments,Reactions
"403695211408130049","_.social._","2025-11-01T03:58:21.4820000+00:00","hi there. anyone down to talk about silicon production (analog chips) in older processes? i'm talking to a fab and they're telling me the kind of design that i am talking to them about could result in a bunch of crosstalk, so i'm looking for ideas on how to mitigate that. the chip carries analog audio, so this is about capacitive coupling.","",""
"169786952432746498","mithro_","2025-11-04T01:00:49.4340000+00:00","I would just do a tapeout with Tiny Tapeout and see if it matches expectations","",""
"403695211408130049","_.social._","2025-11-04T01:01:37.0460000+00:00","tiny tapeout is great, but my ultimate goal is to go into commercial production with a fab","",""
"403695211408130049","_.social._","2025-11-04T01:02:07.2380000+00:00","however, i resolved the crosstalk issue. i guess it was a translation problem between russian and english.","",""
"403695211408130049","_.social._","2025-11-04T01:02:39.4570000+00:00","they didn't mean to say it was going to create a bunch of crosstalk, they were telling me they had a solution which has low cross talk.","",""
"403695211408130049","_.social._","2025-11-04T01:02:56.1070000+00:00","they just didn't know how to say it 🙂","",""
"596068704471482370","246tnt","2025-11-24T16:13:52.8990000+00:00","So I'm trying to work on the power gates for TT but hitting some DRC errors. In particular `NP.12` I don't understand.","",""
"596068704471482370","246tnt","2025-11-24T16:15:12.8680000+00:00","`NP.12 : Overlap with P-channel poly2 gate extension is forbidden within 0.32um of P-channel gate.`

Which I understand as, ""NPlus can't overlap poly that's used by a pmos if that poly is closer than 0.32um to the actual gate zone""","",""
"596068704471482370","246tnt","2025-11-24T16:16:14.1600000+00:00","But then I get this from the DRC. ( Only `COMP` / `Nplus` / `Poly` shown ). And the `Nplus` doesn't overlat `Poly` _at_ _all_ ...","2025-11_media/2025-11-24_998x540_scrot-E94DC.png",""
"738396032295108721","bailey8889","2025-11-25T02:45:35.0930000+00:00","Started a thread.","",""
