AuthorID,Author,Date,Content,Attachments,Reactions
"169786952432746498","mithro_","2026-04-01T00:41:57.7680000+00:00","@Matt Venn - I think it is one of those things where it reduces reliability by like 2% which is bad for 100k units but not noticable for these small runs","",""
"756011607603019777","anfroholic","2026-04-07T11:07:24.4700000+00:00","The robot has arrived in Singapore!!","2026-04_media/20260407_170624-C7373.jpg,2026-04_media/20260407_185544-005F0.jpg,2026-04_media/20260407_173535-52BB3.jpg,2026-04_media/20260407_175349-880C5.jpg,2026-04_media/20260407_180302-89FB0.jpg,2026-04_media/20260407_180600-1139F.jpg,2026-04_media/20260407_181756-993EF.jpg,2026-04_media/20260407_182149-E45C2.jpg,2026-04_media/20260407_182514-714D1.jpg,2026-04_media/20260407_183252-355E2.jpg","🎉 (9),😮 (2),❤️ (1),wowtherebuddy (1),🤖 (3)"
"492702620759228416","mattvenn","2026-04-08T15:12:54.9110000+00:00","I still can't quite believe you're actually doing this!","",""
"596068704471482370","246tnt","2026-04-08T15:14:37.1820000+00:00","Yeah, I want to see that thing running ...","",""
"596068704471482370","246tnt","2026-04-08T15:14:59.4020000+00:00","@Andrew Wingate did you run it on a dummy diced wafer already ?","",""
"756011607603019777","anfroholic","2026-04-08T15:15:02.4910000+00:00","Do we have a choice?","",""
"756011607603019777","anfroholic","2026-04-08T15:15:25.7250000+00:00","Not fully, should be getting things going tomorrow","",""
"492702620759228416","mattvenn","2026-04-08T15:16:04.0850000+00:00","well, yeah, you could use a wafer dicing and packaging service","",""
"756011607603019777","anfroholic","2026-04-08T15:16:14.9400000+00:00","Had some shipping casualties","2026-04_media/20260408_210500-D4BBF.jpg,2026-04_media/20260408_225431-BC796.jpg,2026-04_media/20260408_225427-D2CA8.jpg",""
"492702620759228416","mattvenn","2026-04-08T15:16:31.6990000+00:00","did you bring a spare 3d printer?","",""
"756011607603019777","anfroholic","2026-04-08T15:17:43.8810000+00:00","No, we found this local service and they were very friendly and quick. They printed for us
https://www.additiveinn.com/services","","👍 (1)"
"169786952432746498","mithro_","2026-04-09T00:38:57.1960000+00:00","FWIW - No sorting house is able to deal with 50 wafers with 40 bins to sort things into. The industry is set up to either deal with 1 wafer and 40 bins or >1,000 wafers with at most 10 bins.","",""
"169786952432746498","mithro_","2026-04-09T00:39:50.3000000+00:00","Basically the machines they use have at *most* 10 bins to sort things into to, because who would be silly enough to need more than that 😛","",""
"169786952432746498","mithro_","2026-04-09T00:40:15.4740000+00:00","So the way they sort 1 wafer into 40 bins is that they program the tool 4 times.","",""
"169786952432746498","mithro_","2026-04-09T00:41:25.5840000+00:00","And as they need to pick a whole wafer before moving onto the next wafer, when doing multiple wafers they would have to reprogram the machine 4 times for every wafer. And the programming / setup of the machine can take hours, even though the pick itself can take only minutes.","",""
"169786952432746498","mithro_","2026-04-09T00:42:06.1590000+00:00","@Matt Venn - All the quotes for sorting 40 bins come out to be more per wafer than the silicon manufacturing!","","😮 (3)"
"492702620759228416","mattvenn","2026-04-09T05:31:09.7110000+00:00","I'm surprised efabless didn't hit this, weren't they were doing multiple wafers into 40 ?","",""
"738396032295108721","bailey8889","2026-04-09T07:27:09.9360000+00:00","Does Efabless/ChipFoundry's use of a single pad frame (same for caravel, caravan, and openframe) make things easier?","",""
"596068704471482370","246tnt","2026-04-09T07:31:12.1750000+00:00","Not sure how that would help. Here the reticle is also sliced into die of mostly the same size ( there is the ""border ones"" which are smaller but all the other are the same ).
I don't understand why they can't program the machine to pick up 10 dies, then run the 24 wafer through though. They have adheside backing right ? so you can pick some dies and then remove them and reload them later ?","",""
"169786952432746498","mithro_","2026-04-09T09:07:17.5810000+00:00","I believe they are worried about the risk every time they do the mounting. I'm sure it's fine for like every 99 out of 100 attempts (or even better) but that last one has an issue and everyone is like super sue happy in this space and such.","",""
"169786952432746498","mithro_","2026-04-09T09:09:15.9430000+00:00","They did a bit, it is the reason you got a smaller bunch of chips back then I would have liked and there where a whole bunch of undiced wafers from each run left over.","",""
"492702620759228416","mattvenn","2026-04-10T13:31:22.0930000+00:00","got your wafers yet?","","😮 (1)"
"169786952432746498","mithro_","2026-04-11T03:19:25.4330000+00:00","We have some wafers!","","🎉 (8),❤️ (1)"
"492702620759228416","mattvenn","2026-04-12T17:22:52.7380000+00:00","How's the sorting?","",""
"756011607603019777","anfroholic","2026-04-13T02:19:52.3000000+00:00","A bit slower than hoped. The dies are harder to get off the tape than I would have thought. 
We're pretty close though and need to modify the machine and code as the frames they're sitting on and the layout of the reticles are different.","2026-04_media/IMG-20260412-WA0010-FB9AD.jpg,2026-04_media/20260413_101627-2C00E.jpg","👍 (1),❤️ (1)"
"252198343764213760","dnaltews","2026-04-13T03:27:02.3410000+00:00","are the Ls an artifact of the dicing process or just the first pieces you're removing?","",""
"756011607603019777","anfroholic","2026-04-13T04:36:53.6500000+00:00","Just the first removed pieces. I was also thinking because these wafers are fairly tall (respectively) they may have been getting caught on the edges as well.","",""
"596068704471482370","246tnt","2026-04-13T06:45:13.2820000+00:00","I'm surprised you're not expanding the wafer to space out the dies.","",""
"596068704471482370","246tnt","2026-04-13T06:47:13.6300000+00:00","Something like https://www.youtube.com/shorts/USmGBEEa8OE","",""
"756011607603019777","anfroholic","2026-04-13T07:01:35.6750000+00:00","We're looking into possibly trying to make something like that.","",""
"756011607603019777","anfroholic","2026-04-13T07:03:10.3690000+00:00","It also seems there are many types of tape. UV will release, stretching will release, temperature will release","",""
"252198343764213760","dnaltews","2026-04-13T07:03:40.4870000+00:00","this is fascinating specialized gear (they've got a more extensive promo video on youtube <https://www.youtube.com/watch?v=S63L7-xYGDI>)","",""
"756011607603019777","anfroholic","2026-04-13T07:05:01.4310000+00:00","Yeah, more things we don't have just in an apartment in Singapore 😜","",""
"1184268085822238821","saladchap","2026-04-13T07:29:49.7170000+00:00","Do we know what kind of backing tape is on these wafers?

Whenever I've seen division done (manually) the tape has been stretched as @tnt 's video example above shows","",""
"1184268085822238821","saladchap","2026-04-13T07:30:12.1700000+00:00","Also any videos of the robot in action?","",""
"756011607603019777","anfroholic","2026-04-13T07:30:43.4660000+00:00","We do not know what kind of tape. Also I have not made any videos","","👌 (1)"
"1184268085822238821","saladchap","2026-04-13T07:31:22.6120000+00:00","Any idea who the best person is/place to ask re the tape?","",""
"756011607603019777","anfroholic","2026-04-13T07:32:41.9680000+00:00","Not sure, as I understand it, we never really had much if any contact from the dicing house. It was mostly handled by the people who helped work with GF","",""
"756011607603019777","anfroholic","2026-04-13T12:47:01.0270000+00:00","For those curious, this is how the whole wafer is laid out and how all the projects tile across it. 
There is a band that we were unable to use as GF used it for their own purposes. That is the blank spot. 
Also not sure why this isn't rendering. I will also post a low res version that should show","2026-04_media/wafer_map-70B77.jpg,2026-04_media/image-6AB2D.png","👍 (2)"
"756011607603019777","anfroholic","2026-04-13T12:47:53.2500000+00:00","Greyed out areas are places that could fit a few projects,  but GF didn't even make shots in those areas.","",""
"732347216412278825","urish","2026-04-13T12:58:26.4450000+00:00","It renders for me","",""
"756011607603019777","anfroholic","2026-04-13T12:59:07.1340000+00:00","wierd, it just shows as a file for me. Thanks for letting me know","",""
"732347216412278825","urish","2026-04-13T13:06:06.7270000+00:00","Any idea why GF didn't make shots in those areas?","",""
"756011607603019777","anfroholic","2026-04-13T13:07:01.3950000+00:00","No idea about a lot of things 😂","",""
