AuthorID,Author,Date,Content,Attachments,Reactions
"797470890765582377","deempak","2026-07-02T19:48:11.1140000+00:00","In my design while i was checking out the numbers  I found that  fanout/design repair is  using dlyb_1 as for ordinary buffer is the what's suppose to happen ? 

These are being added by the repair_design command in the flow","",""
"323371864074485771","mole99","2026-07-03T06:29:11.3160000+00:00","Unfortunately, OpenROAD does not currently differentiate between data and hold buffers during buffer selection: https://github.com/The-OpenROAD-Project/OpenROAD/issues/10622

While you can disable all delay buffers, this would also mean that they could not be used for hold repair.","",""
"323371864074485771","mole99","2026-07-03T06:29:41.0410000+00:00","@RebelMike did a workaround for his design where he replaced all setup-repair dlyb with normal buffers iirc.","",""
"691780627338625077","rebelmike","2026-07-03T11:22:43.8010000+00:00","Yes, I used the foundry cell library for my TT design and it had this issue. I wrote a quick librelane plugin to fix it that’s linked from here https://github.com/librelane/librelane/issues/967
you can see how I injected it into the config here: https://github.com/MichaelBell/ttgf0p3-tinyQV/blob/c02a42568e2f9dcf6b6ba6f78fe7b5f818b97e76/src/config.json#L73 (will need converting to yaml)
And then I think you just need that plugin on the PYTHONPATH and it should work","","👍 (1)"
"797470890765582377","deempak","2026-07-04T08:57:45.5010000+00:00","ohh ok I tried to disable the delay cells this but the hold timing got bad so 
I will check the work around 


Btw would it effect the tapeout if the dlyb buffers are used instead of normal buffer ?","",""
"323371864074485771","mole99","2026-07-04T08:59:35.8570000+00:00","As long as STA says that you meet your timing requirements, then it should be fine even with dlyb.","",""
"797470890765582377","deempak","2026-07-04T09:00:25.9860000+00:00","yup the STA is fine , Then i guess i will let it be","","👌 (1)"
"591049455499739147","crockpotveggies","2026-07-09T18:25:26.1020000+00:00","Anyone here have full SOC designs and having issues with very long synthesis times? Our same design for fpga on vivado takes 15-30 minutes to synth, but on yosys we’re seeing 12+ hours despite enabling multi threading and other usual suspects. Is this a known issue?

I opened a PR with yosys to merge some optimizations and it was rejected because it was “AI assisted” and I must admit the attitude was very disappointing despite providing follow ups, asking questions, etc.","",""
"596068704471482370","246tnt","2026-07-09T19:16:51.5070000+00:00","That's usually a sign you have synthesized memories or something like that","",""
"323371864074485771","mole99","2026-07-09T20:09:01.2110000+00:00","@J-Lo If you haven't read this page yet, you should do so before contributing to Yosys: https://yosyshq.readthedocs.io/projects/yosys/en/latest/yosys_internals/extending_yosys/contributing.html
There are also some rules on LLM usage.","",""
"323371864074485771","mole99","2026-07-09T20:09:43.5630000+00:00","Often you can also speed up synthesis by keeping some parts of your design hierarchical.","",""
"591049455499739147","crockpotveggies","2026-07-09T20:24:53.8360000+00:00","Yes we do leverage the keep_hierarchy. I’m aware of the LLM rules but frankly it felt like an aversion not a guardrail. But I’m not keen to focus this discussion on that, I’m trying to understand if our synth times are abnormal and if we need to investigate a problem","",""
"738396032295108721","bailey8889","2026-07-10T00:04:39.1380000+00:00","Just to be clear, you're referring to the actual yosys synthesis step and not the any of the place and routing steps, right?","",""
