AuthorID,Author,Date,Content,Attachments,Reactions
"169786952432746498","mithro_","2026-05-26T06:57:57.3720000+00:00","@Greg - could you explain more about your USB stuff with Luna here?","",""
"169786952432746498","mithro_","2026-05-26T06:58:30.2360000+00:00","@tnt - I have already forgotten the state of your USB core on gf180mcu","",""
"169786952432746498","mithro_","2026-05-26T07:00:58.8100000+00:00","@Lofty - Have you had a chance to test your UTMI (or was it ULPI) interface yet?","",""
"1187141985530818611","ravenslofty","2026-05-26T07:01:19.5380000+00:00","not yet (it was ULPI)","",""
"691780627338625077","rebelmike","2026-05-26T07:26:11.8980000+00:00","There’s https://tinytapeout.com/chips/ttgf0p2/tt_um_urish_usb_cdc on the run 1 Tiny Tapeout. I might grab that for the next TinyQV","","👍 (1)"
"169786952432746498","mithro_","2026-05-26T08:45:03.2010000+00:00","@urish - I think you showed that your USB-CDC design was working on the GF180MCU shuttle?","",""
"596068704471482370","246tnt","2026-05-26T08:50:02.3340000+00:00","I tested it. Although it's based off the tinyfpga code, so not sure exactly how ""spec compliant"" it is, I never ran test suites on it to validate behavior in the various edge cases.","",""
"169786952432746498","mithro_","2026-05-26T08:57:09.8600000+00:00","@Greg has been getting some stuff going @ https://github.com/gregdavill/tinyfpga-boot/actions","",""
"169786952432746498","mithro_","2026-05-26T08:59:18.2470000+00:00","","2026-05_media/image-E42F2.png",""
"262706220073222144","namibj","2026-05-26T09:09:49.3190000+00:00","Hmmm, I should get started pre-layout-SPICE plus then drawing the MCML cells (of proportions approximately matching what the simulations suggest to be ideal) for what I had planned to get into my ttsky26a tile (an MCML partial positive feedback 2-delay-cell VCO (no inductor) plus between a mere PA to launch the clock directly and a an actual serializer launching a PRBS-31 stream to allow estimating/prediction/measuring what TX equalizer parameters would be needed).

I do for now at least still have hope to squeeze a (if it had TX equalization done, at least) USB 3.0 SS (the 5Gbit/s stuff) compliant signal out of it on W.S.","",""
"262706220073222144","namibj","2026-05-26T09:10:47.2200000+00:00","I'm assuming we'd expect Run2 chips to hit testbenches at least a week before the GDS deadline for Run3?","",""
"1187141985530818611","ravenslofty","2026-05-26T09:57:20.9520000+00:00","Um, did you mean to post this in #🖱️-usb","",""
"169786952432746498","mithro_","2026-05-26T10:09:26.7930000+00:00","He did say ""hope to squeeze a USB 3.0 Super Speed compliant signal out of it on wafer.space""","",""
"169786952432746498","mithro_","2026-05-26T10:09:48.6830000+00:00","I have yet to plan things that far ahead 😛","",""
"274535015969456128","greg.hashtag.9468","2026-05-26T10:39:50.5550000+00:00","I probably need to rename this at some point. Since with the luna backend it's supporting FS/HS(ULPI), and already builds for ECP5 and iCE40 targets. not just the tinyfpga bx.","",""
"262706220073222144","namibj","2026-05-26T11:15:21.6990000+00:00","USB 3.0 5 Gbit/s SS, PCIe 2.0, and 5GBASE-KR (which is just a 10 Gbit/s SFP+ port's PHY but for backplane (think: where PCIe would have been a normal/expected sight) which is then called 10GBASE-KR, just clocked at half with adjusted error counter thresholds/timeouts) are the 5GBaud high speed standards I hope to be feasible on gf180mcuD with at least ""usable"" (if not spec-compliant) link margin, to connect to modern computers.

I'd expect PCIe to be the hardest to pull off (it's quite complicated), 5GBASE-KR to suffer from relatively expensive switch ports to get one's that'll do that speed (most only do 1G/10G[/25G]) but possibly lowest-overhead and lowest required buffer size (SRAM space usage!), and SS to be at most risk of sad trade-offs between SRAM allocation and feasible goodput.

With luck and prayers at least TX for 10GBASE-KR should be possible though and would allow cheap exfiltration of bulk data from a W.S die.
We'd know more after my SPICE trials that are looking for feasible frequency performance of the core buffer cell (needed for VCO and clock tree) and especially after that has hit layout (w/ PEX, to do post-layout SPICE of at least a VCO core and it's clock extraction/take-off clock tree buffers.","",""
"262706220073222144","namibj","2026-05-26T11:16:43.6910000+00:00","Oh I thought you at least would have an expectation and probably a ""yes, per current expectations, ofc conditional on Run3 even happening"".","",""
"1187141985530818611","ravenslofty","2026-05-26T11:16:52.4070000+00:00","I feel these might be possible on gf180bcd; gf180mcuD might be a stretch","",""
"169786952432746498","mithro_","2026-05-26T13:28:41.2160000+00:00","I think my goal is something like atleast 6-8 weeks between people getting back silicon and the next run closing","","ferrisCatOwO (1),🔥 (1)"
"169786952432746498","mithro_","2026-05-26T13:29:08.3210000+00:00","Possibly! But I'm not going to stop people from trying 🙂","",""
