AuthorID,Author,Date,Content,Attachments,Reactions
"509798510170865675","essen__","2026-08-06T14:31:19.0200000+00:00","","",""
"509798510170865675","essen__","2026-08-06T14:31:21.6810000+00:00","Looks amazing. 
Are these generic tapes or did you need to order custom sizes ?","",""
"756011607603019777","anfroholic","2026-08-06T14:31:47.4410000+00:00","They're for sure custom","",""
"756011607603019777","anfroholic","2026-08-06T14:34:34.7190000+00:00","Just because you have expressed interest. 
These are a few of the prints I made along the way.","2026-08_media/ws_run2-F1E3C.pdf","👀 (1)"
"509798510170865675","essen__","2026-08-06T14:44:18.5910000+00:00","Much impressive 👍","","💜 (1)"
"509798510170865675","essen__","2026-08-06T14:59:54.5960000+00:00","Very nice. 
So how does this work, do you have custom competent tape making vendors that can do this or did you go another route ?","",""
"756011607603019777","anfroholic","2026-08-06T15:03:48.4490000+00:00","That's correct, there are companies out there that make this stuff. 
You talk with them, give them prints, and some time later you get some parts.","","👍 (1)"
"509798510170865675","essen__","2026-08-06T15:13:24.7440000+00:00","If it's not to indiscreet, how expensive are these to make custom?","",""
"509798510170865675","essen__","2026-08-06T15:13:41.5160000+00:00","( orders of magnitude are fine )","",""
"756011607603019777","anfroholic","2026-08-06T15:14:39.7080000+00:00","Minimum order is 1km lol, I think $400?
You also need to have a tool made (that's the custom bit) I think that was about $200?","",""
"509798510170865675","essen__","2026-08-06T15:22:25.9000000+00:00","> 1km
Can we combine the tape types or does it have to be per type 🤣","",""
"756011607603019777","anfroholic","2026-08-06T15:23:21.1390000+00:00","I don't understand the question? 
When you order from wafer.space you only get your size.","",""
"509798510170865675","essen__","2026-08-06T15:23:29.9520000+00:00","I have extra tape: reserved for Christmas tree decorations 👌","",""
"756011607603019777","anfroholic","2026-08-06T15:23:41.4750000+00:00","haha","",""
"509798510170865675","essen__","2026-08-06T15:24:33.3680000+00:00","Yes, but on your end, can you do :
- 1km total (eg: 250 m per tape type) 
- 1km per tape type, so 4km minimum.","",""
"756011607603019777","anfroholic","2026-08-06T15:24:57.7960000+00:00","I think I understand. 
Basically with companies there's a MOQ (miniumum order qty) 
This is basically raw materials + setup cost and whatever it takes to cover that cost. 
There is a chance we could have ordered more.","",""
"756011607603019777","anfroholic","2026-08-06T15:25:36.2440000+00:00","Basically when you work with companies like this it's $400 for 1km
$390 for 0.5 km lol","","👍 (1)"
"509798510170865675","essen__","2026-08-06T15:27:44.3190000+00:00","Thanks for the info. 
I am also quite curious about the process of putting on the protective clear plastic film on top of the tape.
So if you ever take a video of that machine in action I would be very interested.","",""
"756011607603019777","anfroholic","2026-08-06T15:34:07.3080000+00:00","Yep, I'll get there. 
And of course, I like sharing!","","🙏 (1),🥳 (1)"
