AuthorID,Author,Date,Content,Attachments,Reactions
"509798510170865675","essen__","2025-12-05T21:11:58.7210000+00:00","Decided to start a list to track all my terrible ideas in case someone else wants to start a fab in there garage.","",""
"509798510170865675","essen__","2025-12-05T21:12:27.0450000+00:00","Wafer-dicer, using the scribe-and-break method.
auction opens : Dec 8 at 6:00AM PST

 https://edispositions.placebids.net/auctions/1779013/lots/46529596","",""
"509798510170865675","essen__","2025-12-05T21:12:39.4590000+00:00","","2025-12_media/optimized-large-392279b9cf2e4754be159485fd-42AB8.png",""
"509798510170865675","essen__","2025-12-05T21:32:09.2560000+00:00","Die sorter, based on a map : https://www.govdeals.com/en/asset/23504/20379","",""
"509798510170865675","essen__","2025-12-05T21:35:11.8140000+00:00","","2025-12_media/20379_23504_ea1adef1-11c3-4172-a9e1-256f16-6D598.png",""
"509798510170865675","essen__","2025-12-06T01:42:42.5690000+00:00","the die sorted was mischaracterized in the ""metal work equipment"" category, so if anyone is planning on bidding, I doubt you will have much competition 🤣","",""
"169786952432746498","mithro_","2025-12-06T07:38:53.5570000+00:00","@Essen - Have you see hackerfab?","",""
"169786952432746498","mithro_","2025-12-06T07:40:15.1840000+00:00","I was about to say ""mine"" but it is only Wafer Size: 2-4 inches -- I need 8 inch 🙂","",""
"169786952432746498","mithro_","2025-12-06T07:40:56.8800000+00:00","@Essen - These types of terrible ideas are quite common on the SiliconPrawn and fossf-silicon discord servers.","",""
"509798510170865675","essen__","2025-12-06T17:24:12.1750000+00:00","No, I had not, but now I cannot unsee it. That is truly such a cool project they have set up at cmu.","",""
"509798510170865675","essen__","2025-12-06T17:28:27.5590000+00:00","Oh no, so close. 😅 
You definitely see a majority of 4 inch compatible equipment. Want me to ping you in the event I happen across the 8"" die sorter ? 💸","",""
"169786952432746498","mithro_","2025-12-06T23:25:10.8660000+00:00","Definitely - or 8 inch compatible wafer saw / dicer. Wire bonders too.

However, I'm now based in Australia and wafer.space is based in Singapore, so US based equipement is less useful. I'm still probably interested but you should also ping @carlfk and @Andrew Wingate, if the equipment is in the US and I'm paying for it then they will most certainly end up having to deal with the physical object 🙂","","💜 (1),👍 (1)"
"538398807986274304","rzioma","2025-12-07T23:11:02.9370000+00:00","BTW what could be a price for a used wirebonder? Asking for friend 🙂","","🤣 (1)"
"169786952432746498","mithro_","2025-12-08T01:08:21.1700000+00:00","@ReJ aka Renaldas Zioma - Anywhere between $1k and $500k USD depending on the functionality, type, age, etc.","",""
"509798510170865675","essen__","2025-12-10T13:55:07.8130000+00:00","Haha, if your friend is still looking, the auction closes tomorrow 😉","",""
"538398807986274304","rzioma","2025-12-12T17:07:35.4140000+00:00","Turns out EECS at KTH university in Stockholm have wirebonder machine that is not used. Need to figure out who knows how to operate it 🙂","","🤣 (1)"
"509798510170865675","essen__","2025-12-12T17:14:00.3370000+00:00","Nice, how did you convince them to let you use it ?","",""
"538398807986274304","rzioma","2025-12-12T19:52:01.4580000+00:00","I haven’t convinced them (yet), but I will go to visit them and check it out 😉","","🤣 (1)"
"509798510170865675","essen__","2025-12-12T20:17:57.2790000+00:00","Sounds like a strategy 💪","",""
