AuthorID,Author,Date,Content,Attachments,Reactions
"323371864074485771","mole99","2026-03-17T07:37:34.5030000+00:00","","",""
"323371864074485771","mole99","2026-03-17T07:37:35.3780000+00:00","If you're interested, the [IHP Open PDK](https://github.com/IHP-GmbH/IHP-Open-PDK) uses a hermetic sealring. This is also specified in the documentation:","",""
"323371864074485771","mole99","2026-03-17T07:37:47.7640000+00:00","","2026-03_media/Bildschirmfoto_vom_2026-03-17_08-36-38-AD409.png",""
"376976238528692225","nmz787","2026-03-17T07:47:33.0130000+00:00","oO","",""
"376976238528692225","nmz787","2026-03-17T08:34:46.8810000+00:00","do you know if wafer.space is planning to offer a shuttle on this process?","",""
"596068704471482370","246tnt","2026-03-17T08:40:26.8230000+00:00","On IHP ?","",""
"596068704471482370","246tnt","2026-03-17T08:41:08.4040000+00:00","The foundry themselves provide a MPW service on there.","",""
"376976238528692225","nmz787","2026-03-17T08:53:03.2650000+00:00","just found their page on that... seems the non-open run is 7.3k €/mm^2... but the open one is 2800€ /mm^2 but no one has signed up so far","",""
"376976238528692225","nmz787","2026-03-17T08:58:23.0310000+00:00","hard for me to tell if the min die size is 0.8 mm^2 or is it 10 mm^3... the differentiator is bold and I can't tell (tried adding css font-weight:bold property to the text, and it didn't change the line thickness... but I can't be sure that means the dates are actually in bold or if the css was blocked)","",""
"596068704471482370","246tnt","2026-03-17T09:05:57.5110000+00:00","There is a shuttle tape-in in a bit more than a week so I think most people are finishing their stuff for it ... it doesn't show the registration for it becaus it's closed ( registration dead line was beginning of the month IIRC ).","",""
"376976238528692225","nmz787","2026-03-17T09:07:51.1080000+00:00","ah, I was looking at the next open one on G2 with the ** (open-source)","",""
"596068704471482370","246tnt","2026-03-17T09:08:52.0800000+00:00","Yes, the current one doesn't even show up on that page anymore.","",""
"596068704471482370","246tnt","2026-03-17T09:09:20.9930000+00:00","Not sure about the min area but definitely not 10 mm^2, we made dies smaller than that.","",""
