AuthorID,Author,Date,Content,Attachments,Reactions
"509798510170865675","essen__","2026-08-10T22:26:27.8820000+00:00","","",""
"509798510170865675","essen__","2026-08-10T22:26:29.5180000+00:00","Thanks @Andrew Wingate , this is a great start though it would be ideal to have it for our bondhouse.
Can you share what they are called ?","",""
"756011607603019777","anfroholic","2026-08-10T22:27:43.0310000+00:00","They don't have a guide like this","",""
"509798510170865675","essen__","2026-08-10T22:39:29.5540000+00:00","Sad, nothing you can do about that. 
Can you share the wirehouse is called ?","",""
"756011607603019777","anfroholic","2026-08-10T22:39:59.4050000+00:00","I can't read chinese","",""
"262706220073222144","namibj","2026-08-10T22:51:46.4950000+00:00","I think knowing what machine it is would be more useful?","",""
"262706220073222144","namibj","2026-08-10T22:52:26.9890000+00:00","Assuming it's a standard machine that has specifications on e.g. it's toolhead's clearance and the general principles of it's guidance/alignment system, etc.?","",""
"509798510170865675","essen__","2026-08-10T22:54:52.8670000+00:00","That and the wire dimension and material would be a golden trio.","",""
"756011607603019777","anfroholic","2026-08-10T22:56:03.5800000+00:00","I don't have a model number","2026-08_media/image-4428E.png",""
"509798510170865675","essen__","2026-08-10T23:01:54.5580000+00:00","Man the packaging house pictures always look so cool. 😍","",""
"509798510170865675","essen__","2026-08-10T23:02:07.0810000+00:00","Can you confirm it is gold wire?","",""
"756011607603019777","anfroholic","2026-08-10T23:02:19.0200000+00:00","Aluminum iirc","","👀 (1)"
"509798510170865675","essen__","2026-08-10T23:03:20.2500000+00:00","Hum, looks like I missed something then 🤔","",""
"262706220073222144","namibj","2026-08-10T23:23:26.5300000+00:00","yeah it's like 0.8 mil or such, a lil thinner than what's more-standard, but something about these chips dictated the pick. mithro had posted a pic of it a few months ago.","",""
"262706220073222144","namibj","2026-08-10T23:24:05.1520000+00:00","The only gold in the Run1 COBs as they get shipped is at the mezzazine and the ENIG of the PCB.","",""
"262706220073222144","namibj","2026-08-10T23:25:56.7000000+00:00","awww that optical system looks like it could track not just the die but also the board.... 🙁","",""
