AuthorID,Author,Date,Content,Attachments,Reactions
"1184268085822238821","saladchap","2026-09-17T05:28:58.8470000+00:00","","",""
"1184268085822238821","saladchap","2026-09-17T05:29:00.8720000+00:00","This looks great @Stephan Bökelmann! 

I wonder if anybody can try running their chip designs through this to see how it works and help us? Looking at you @Essen @Leo Moser (mole99) @RebelMike @ReJ aka Renaldas Zioma (and of course everybody else 😉 )","","🫡 (1)"
"1184268085822238821","saladchap","2026-09-17T05:32:57.3160000+00:00","@Tim 'mithro' Ansell FYI","",""
"169786952432746498","mithro_","2026-09-17T05:38:02.3350000+00:00","@kris - We should certainly get this in some type of write up.","",""
"262706220073222144","namibj","2026-09-17T09:42:54.3240000+00:00","..... Actually..... _how_ is the ""oh so manual"" interface to the wire bonder anyways?

""Botting"" TUIs and GUIs is far from a new thing...

If there's any storage media import/export for bond configurations that are normally very manually keyed in to the machine we could see about at least covering the happy path of work with automation; I'm assuming the interactive mode has some sort of single stepping that'd allow visual confirmation of no tool head movements into unacceptable positions and then confirmation it's doing the bonding in an acceptable fashion?

@stuart perhaps try to grab such config files during next opportunity, for bond jobs that we could run through this kind of automation tooling such as `open.cob.json` and let some AI agent work out the file format and then match it's ""G-code"" (or w/e) to the json?","",""
"1184268085822238821","saladchap","2026-09-17T09:57:15.9470000+00:00","this is a pretty good idea, thanks for the suggestion! @Stephan Bökelmann I know you know this pain 🙂","",""
"262706220073222144","namibj","2026-09-17T10:34:26.1310000+00:00","If the plan is to intercept a serial or such terminal connection from a frontend to the brain, I'd see about sniffing that and video recording the screen to go with it. 

Might be fairly easy to do.

Also keyboard emulation (especially with some state feedback to keep it from veering off into doing stupid things) can do wonders without notably interrupting the usability in normal ways.","",""
"169786952432746498","mithro_","2026-09-18T00:31:12.7590000+00:00","@namibj - Keyboard emulation and a vga or hdmi capture device can definitely go a long way.","",""
"509798510170865675","essen__","2026-09-20T02:21:27.5750000+00:00","Very nice @Stephan Bökelmann, looking forwards to giving this a spin in the coming days. 🙂","","🫶 (1)"
"169786952432746498","mithro_","2026-09-20T05:17:00.0850000+00:00","@Tim Edwards - As ""owner"" of Magic, it probably makes sense for you to be involved / offer opinions here.","",""
