AuthorID,Author,Date,Content,Attachments,Reactions
"169786952432746498","mithro_","2026-09-20T08:20:48.3500000+00:00","","",""
"169786952432746498","mithro_","2026-09-20T08:20:49.6430000+00:00","https://wafer.space/ws-run1-cob/TQVA/2026-09-20/index.html","",""
"169786952432746498","mithro_","2026-09-20T08:21:10.1750000+00:00","https://wafer.space/ws-run1-cob/HZ80/2026-09-20/index.html","",""
"169786952432746498","mithro_","2026-09-20T08:21:18.3850000+00:00","@Lauri - Those two, right?","",""
"908721221682733106","lauri4332","2026-09-20T08:21:23.3140000+00:00","yes","",""
"169786952432746498","mithro_","2026-09-20T08:23:20.3190000+00:00","What shape is the TQVA? Is that the one quarter slot?","",""
"169786952432746498","mithro_","2026-09-20T08:23:44.8740000+00:00","TQVA    TinyQV - Crowdsourced Risc-V SoC    0p5x0p5    A Risc-V RV32EC SoC with peripherals from the Tiny Tapeout Risc-V competition. This version uses a quarter sized slot.    https://github.com/MichaelBell/ws01-tinyQV","",""
"169786952432746498","mithro_","2026-09-20T08:25:19.7340000+00:00","The HZ80 page says `0p5x1` -- but the TQVA page doesn't say `0p5x0p5`?","",""
"908721221682733106","lauri4332","2026-09-20T08:25:37.1200000+00:00","There was one HZ80 that failed. I inspected it and the bond looked okau. So I resoldered failed bonds  connector pin. After this it passed. (these restests are visible in the raw json in gh)","",""
"908721221682733106","lauri4332","2026-09-20T08:25:58.5230000+00:00","TQVA - 0.5x0.5
HZ80 - 0.5x1","",""
"169786952432746498","mithro_","2026-09-20T08:26:29.5490000+00:00","@Leo Moser (mole99) - Do we publish some type of manifest / inventory type json for a run?","",""
"169786952432746498","mithro_","2026-09-20T08:27:06.4800000+00:00","@Lauri","2026-09_media/image-F0221.png,2026-09_media/image-FD8AA.png",""
"323371864074485771","mole99","2026-09-20T08:35:25.6170000+00:00","Not exactly sure what you mean by that? We do have the `manifest.csv` for each run. It contains a number of things such as the slot size for each project.","",""
"169786952432746498","mithro_","2026-09-20T08:53:25.9640000+00:00","@Leo Moser (mole99) - I was wondering if we had something that Lauri could use to populate the cob output web pages with a bit of extra details & links without having to think about it at all?","",""
"323371864074485771","mole99","2026-09-20T08:55:02.4240000+00:00","These are currently all the keys we have in our manifest: CODE,PROJECT,SLOT_SIZE,TOP,SHA256,LAYOUT,VISIBILITY,PROJECT_DETAILS,REPOSITORY","",""
"323371864074485771","mole99","2026-09-20T08:55:19.8520000+00:00","The reticle stitcher does not mind additional keys","",""
"323371864074485771","mole99","2026-09-20T08:55:50.1590000+00:00","Also, the precheck generates a render of the layout that could be displayed","",""
"908721221682733106","lauri4332","2026-09-20T08:57:33.6070000+00:00","It's because this die uses custom TQVA PCB. It's not generic 0.5x0.5","",""
"908721221682733106","lauri4332","2026-09-20T09:01:30.6570000+00:00","I actually have a repo that renders the dies (for bonding diagrams) and already thought about using these renders for the results page as well. Just haven't gotten around to updating the results page.  Should add camera photos as well","",""
"908721221682733106","lauri4332","2026-09-20T09:22:54.1870000+00:00","@Leo Moser (mole99) Could this (public) information be included in the ws-run1 repo? (i think the manifest you're referring to is private?)","",""
"169786952432746498","mithro_","2026-09-20T10:31:01.8050000+00:00","@Leo Moser (mole99) - It doesn't seem to be in the https://github.com/wafer-space/ws-run1 repo?","",""
"169786952432746498","mithro_","2026-09-20T10:31:28.2380000+00:00","@Leo Moser (mole99) - But I could also be blind 😛","",""
"323371864074485771","mole99","2026-09-20T10:48:31.6280000+00:00","We cannot publish the full manifest which includes information about the private projects. I could push the manifest for the public ones, but all the information is already in the Readme.","",""
"323371864074485771","mole99","2026-09-20T10:49:30.6490000+00:00","@Lauri you should be able to get the manifest directly from the server. I can also send it to you tomorrow morning.","",""
"169786952432746498","mithro_","2026-09-20T11:24:15.2050000+00:00","@Leo Moser (mole99) - Could we publish a redacted .csv / .json file with the same info at the README so people don't have to pull it back out of the README table?","",""
"908721221682733106","lauri4332","2026-09-20T12:46:14.3530000+00:00","Made a test version that uses die renders instead of generic box. imo generic box is better, less distracting  😆","2026-09_media/image-AE295.png",""
"908721221682733106","lauri4332","2026-09-20T12:47:41.0290000+00:00","Yes, this would be great","",""
